"business_type","id","name","start_date","physical_address","mailing_address","mailing_city","business_phone","email","owner"
"BANK - BRANCH OFFICE","44618","TRUIST BANK (NEWBERRY RD)","2019-12-06T00:00:00.000","5080 W NEWBERRY RD","16650 WOODCREST WAY","CLERMONT","352-264-2000","MGOMEZ@BBANDT.COM","TRUIST  BANK"
"LOAN OR FINANCE COMPANY CHAPTER 560","26334","ALLIGATOR MORTGAGE COMPANY","2000-10-01T00:00:00.000","2630 NW 41ST ST, STE. B","2630 NW 41ST ST, STE. B","GAINESVILLE","352-264-0011","ALLIGATORMORTCO@AOL.COM","ALLIGATOR MORTGAGE COMPANY"
"BANK - BRANCH OFFICE","42823","SOUTH STATE BANK, N.A","2017-06-19T00:00:00.000","4100 NW 37TH PL","4100 NW 37TH PL","GAINESVILLE","352-416-0330","NANCY.ARMSTRONG@SOUTHSTATEBANK.COM","SOUTH STATE BANK, N.A"
"ACCOUNTANT/AUDITOR","21742","ALLEN & WILSON, CPA'S","1995-09-06T00:00:00.000","2630 NW 41ST ST, SUITE B","PO BOX 357009","GAINESVILLE","352-336-1594","KDALLEN@ALLENANDWILSONCPA.COM","MERRY LYNNE  WILSON"
"BANK - BRANCH OFFICE","42564","HARBOR COMMUNTIY BANK","2015-12-04T00:00:00.000","2810 NW 43RD ST","PO BOX 709","PALM CITY","352-339-7260","LUISVERA@HARBORCB.COM","HARBOR COMMUNTIY BANK"
"ACCOUNTANT/AUDITOR","35103","CAUTHEN, GEORGE R","2008-01-01T00:00:00.000","3927 NW 21ST TER","3927 NW 21ST TER","GAINESVILLE","352-338-9030","RAYTHECPA@BELLSOUTH.NET","GEORGE  CAUTHEN"
"LOAN OR FINANCE COMPANY CHAPTER 560","44756","MOVEMENT MORTGAGE, LLC","2021-06-28T00:00:00.000","2772 NW 43RD ST, STE M","8024 CALVIN HALL RD","INDIAN LAND","877-314-1499","bus.license@movement.com","MOVEMENT  MORTAGE, LLC"
"BANK - MAIN OFFICE","43090","JPMORGAN CHASE BANK, N.A.","2017-10-24T00:00:00.000","5464 NW 43RD ST","1111 POLARIS PKWY FL 2A, ATTN: ANGELA MORGAN","COLUMBUS","352-204-4441","CBDN.BUSINESS.LICENSE@JPMCHASE.COM","JPMORGAN CHASE BANK, N.A."
"BANK - BRANCH OFFICE","44392","AMERIS BANK","2015-05-23T00:00:00.000","5010 NW 43RD ST","3490 PIEDMONT RD NE, SUITE 1550","ATLANTA","404-693-6524","SYDNEE.WILSON@AMERISBANK.COM","AMERIS BANK"
"ACCOUNTANT/AUDITOR","34998","PHYSICIAN ADVISORY GROUP, INC.","2007-05-18T00:00:00.000","2631 NW 41ST ST, SUITE A","2631 NW 41ST ST, SUITE A","GAINESVILLE","352-224-7635","PAGNEIL@AOL.COM","PHYSICIAN ADVISORY GROUP, INC"
"ACCOUNTANT/AUDITOR","18470","PIERCE, DEEGAN & HODGIN, P.A.","1995-09-26T00:00:00.000","4001 W NEWBERRY RD, A4","4001   NEWBERRY RD, STE. A-4","GAINESVILLE","352-375-7739","PDHCPA@BELLSOUTH.NET","CAROL  DEEGAN"
"ACCOUNTANT/AUDITOR","34661","HENDRICKSON, KATHY L.","2007-05-11T00:00:00.000","5126 NW 24TH TER","5126 NW 24TH TER","GAINESVILLE","352-222-8058","CPAKLH@COX.NET","KATHY  HENDRICKSON"
"BANK - MAIN OFFICE","43873","SOUTH STATE BANK, N.A","2017-12-31T00:00:00.000","3919 W NEWBERRY RD","3919 W NEWBERRY RD","GAINESVILLE","352-332-4727","BPAGE@SOUTHSTATEBANK.COM","SOUTH STATE BANK, N.A"
"ACCOUNTANT/AUDITOR","39885","MCGRAW AND MAURER ACCOUNTING, INC.","2012-10-01T00:00:00.000","1216 NW 13TH ST","1216 NW 13TH ST","GAINESVILLE","352-374-6789","MAURER1216@YAHOO.COM","RICHARD  MCGRAW"
"ACCOUNTANT/AUDITOR","20296","STEVENS, SHARON M., CPA","1995-09-20T00:00:00.000","2801 W UNIVERSITY AVE","2801 W UNIVERSITY AVE","GAINESVILLE","352-375-7480","SMSTEVENS@SMSCPA.CFCOXMAIL.COM","SHARON  STEVENS"
"BANK - BRANCH OFFICE","39601","WELLS FARGO BANK, N.A.","2011-06-11T00:00:00.000","3505 SW ARCHER RD","2030 MAIN ST, FL 10 #E2231-101","IRVINE","352-335-3460","BUSINESSLICENSES@WELLSFARGO.COM","WELLS FARGO BANK, N.A."
"BANK - MAIN OFFICE","44387","AMERIS BANK","2015-05-23T00:00:00.000","3631 N MAIN ST","3490 PIEDMONT RD NE, SUITE 1550","ATLANTA","404-693-6521","SYDNEE.WILSON@AMERISBANK.COM","AMERIS BANK"
"ACCOUNTANT/AUDITOR","10445","AMERICAN ACCOUNTING AND TAX CO., PA","1985-07-01T00:00:00.000","3463 NW 13TH ST, SUITE A","3463 NW 13TH ST, SUITE A","GAINESVILLE","352-378-5233","JOHN@AAT.CPA","AMERICAN  ACCOUNTING AND TAX COMPANY, P.A."
"BANK - BRANCH OFFICE","43091","JPMORGAN CHASE BANK, N.A.","2017-11-27T00:00:00.000","1340 W UNIVERSITY AVE, STE 20","1111 POLARIS PKWY FL 2A, ATTN: ANGELA MORGAN","COLUMBUS","352-204-4429","CBDN.BUSINESS.LICENSE@JPMCHASE.COM","JPMORGAN CHASE BANK, N.A."
"LOAN OR FINANCE COMPANY - CHAPTER 520","42512","D & S OF GAINESVILLE INC.","2016-11-04T00:00:00.000","2501 N MAIN ST, STE B","2501 N MAIN ST, STE B","GAINESVILLE","818-859-0736","ARMANIAUTOFL@GMAIL.COM","D & S OF GAINESVILLE INC."
"ACCOUNTANT/AUDITOR","44584","ROSS, CHARLES A.","2020-12-21T00:00:00.000","2501 NW 30TH TER","2501 NW 30TH TER","GAINESVILLE","305-710-6629","CHUCK.ROSSCPA@COMCAST.NET","CHARLES ALAN ROSS, PA"
"BANK - MAIN OFFICE","26062","BANK OF AMERICA, NA - NW 43RD ST","1998-10-09T00:00:00.000","2627 NW 43RD ST","2627 NW 43RD ST","GAINESVILLE","352-338-6615","DANIELA.ANDRADE_NUNEZ@BOFA.COM","BANK OF AMERICA, NA"
"ACCOUNTANT/AUDITOR","39886","MCGRAW CERTIFIED PUBLIC ACCOUNTING, INC.","2012-10-01T00:00:00.000","01216 NW 13TH ST","1216 NW 13TH STREET","GAINESVILLE","352-374-6789","maurer1216@yahoo.com","RICHARD  MCGRAW"
"BANK - BRANCH OFFICE","35305","REGIONS BANK / SW 38TH ST","2006-11-04T00:00:00.000","3710 SW 38TH ST","15051 S TAMIAMI TRAIL, ATTN: SANDI COX","FT. MYERS","352-244-8250","SANDI.COX@REGIONS.COM","REGIONS BANK"
"BANK - MAIN OFFICE","32280","FLORIDA CAPITAL BANK, NA","2005-03-01T00:00:00.000","241 SW 7TH TER","241 SW 7TH TER","GAINESVILLE","352-692-5280","WROBERTSON@FLCB.COM","FLORIDA CAPITAL BANK, NA"
"ACCOUNTANT/AUDITOR","38560","CARR, RIGGS & INGRAM, LLC","2010-01-01T00:00:00.000","4010 NW 25TH PL","4010 NW 25TH PL","GAINESVILLE","352-372-6300","PESTIS@CRICPA.COM","CARR, RIGGS & INGRAM, LLC"
"BANK - BRANCH OFFICE","45018","PNC BANK, N.A.","2021-10-08T00:00:00.000","1140 N MAIN ST","2875 PGA BLVD, SUITE 200","PALM BEACH GARDENS","561-622-2600","FRANK.MARTINO@PNC.COM","PNC BANK, N.A."
"BANK - MAIN OFFICE","42042","RENASANT BANK","2015-07-01T00:00:00.000","4373 W NEWBERRY RD","PO BOX 709","TUPELO","352-224-1900","ROSS.WEBB@RENASANT.COM","RENASANT CORP"
"ACCOUNTANT/AUDITOR","24771","DONALD G FOREMAN & COMPANY","1999-01-04T00:00:00.000","711 NW 23RD AVE, SUITE 2","711 NW 23RD AVE, SUITE 2","GAINESVILLE","352-375-2448","NIGHTRIDER269000@YAHOO.COM","DONALD G FOREMAN & COMPANY CPA'S & FINANCIAL CONSU"
"LOAN OR FINANCE COMPANY CHAPTER 560","44994","AMERICAN FINANCIAL NETWORK, INC","2021-11-16T00:00:00.000","2790 NW 43RD ST, SUITE 200","2790 NW 43RD ST, SUITE 200","GAINESVILLE","352-505-5040","FRITZ@LMPLOANS.COM","AMERICAN   FINANCIAL NETWORK, INC"
"BANK - BRANCH OFFICE","32954","CAPITAL CITY BANK / NW 16 BLVD","2005-05-20T00:00:00.000","4040 NW 16TH BLVD","PO BOX 900","TALLAHASSEE","850-402-7241","DESCHNER.BEN@CCBG.COM","CAPITAL CITY BANK"
"BANK - BRANCH OFFICE","39599","WELLS FARGO BANK, N.A.","2011-06-11T00:00:00.000","1717 NW 13TH ST","2030 MAIN ST, FL 10 #E2231-101","IRVINE","352-260-1082","BUSINESSLICENSES@WELLSFARGO.COM","WELLS FARGO BANK, N.A."
"ACCOUNTANT/AUDITOR","32189","KATTELL AND COMPANY, P.L.","2004-10-18T00:00:00.000","00808 NW 16TH AVE, B","808-B NW 16TH AVE","GAINESVILLE","352-395-6565","SKATTELL@KATTELL.COM","KATTELL AND COMPANY, P.L."
"BANK - MAIN OFFICE","34623","CAPITAL CITY BANK/ W NEWBERRY RD","2007-04-01T00:00:00.000","5200 W NEWBERRY RD","PO BOX 900","TALLAHASSEE","850-402-7241","DESCHNER.BEN@CCBG.COM","CAPITAL CITY BANK"
"ACCOUNTANT/AUDITOR","17283","METZLER, MICHAEL C.P.A., P.A.","1987-11-15T00:00:00.000","2630 NW 41ST ST, STE. A","P.O. BOX 357295","GAINESVILLE","352-374-9717","DONNA@METZLERCPA.COM","MICHAEL  METZLER"
"ACCOUNTANT/AUDITOR","18754","PURVIS, GRAY, & COMPANY","1995-09-25T00:00:00.000","222 NE 1ST ST","PO BOX 141270","GAINESVILLE","352-378-2461","LEAH@PURVISGRAY.COM","PURVIS GRAY AND COMPANY"
"ACCOUNTANT/AUDITOR","13184","DOCTORS MANAGEMENT,LLC","2000-01-01T00:00:00.000","2631 NW 41ST ST, SUITE A","2631 NW 41ST ST, SUITE A","GAINESVILLE","352-642-1242","PEVANS@DRSMGMT.COM","CORPORATION  DOCTORS MANAGEMENT, LLC"
"BANK - MAIN OFFICE","44617","TRUIST BANK (MAIN ST)","2019-12-06T00:00:00.000","411 N MAIN ST","16650 WOODCREST WAY","CLERMONT","352-415-4706","MGOMEZ@BBANDT.COM","TRUIST  BANK"
"LOAN OR FINANCE COMPANY CHAPTER 560","23977","ADVANCE AMERICA #219","1998-03-12T00:00:00.000","2406 N MAIN ST","251 LITTLE FALLS DRIVE","WILIMINGTON","352-373-9992","ADVANCEAMERICA@CSCGLOBAL.COM","ADVANCE AMERICA  CASH ADVANCE CENTERS OF FL LLC"
"BANK - BRANCH OFFICE","26058","BANK OF AMERICA, NA - NW 13TH ST","1998-10-09T00:00:00.000","2815 NW 13TH ST","2815 NW 13TH ST, STE 100","GAINESVILLE","352-336-9011","HEATHER.R.WILSON@BOFA.COM","BANK OF AMERICA, NA"
"BANK - BRANCH OFFICE","39742","PNC BANK, NA","2012-07-19T00:00:00.000","01807 NW 13TH ST","2875 PGA BLVD, #200","PALM BEACH GARDENS","561-622-3788","FRANK.MARTINO@PNC.COM","PNC BANK, N.A."
"ACCOUNTANT/AUDITOR","10687","ARVIN, JOHN P.","1990-02-05T00:00:00.000","2731 NW 41ST ST, SUITE B3","2731 NW 41ST ST, SUITE B-3","GAINESVILLE","352-372-6586","JPACPA@EARTHLINK.NET","JOHN P ARVIN, CPA PA"
"BANK - MAIN OFFICE","35304","REGIONS BANK / NW 16TH BLVD","2006-11-04T00:00:00.000","4100 NW 16TH BLVD","15051 S TAMIAMI TRAIL, ATTN:  SANDI COX","FT. MYERS","352-244-8300","SANDI.COX@REGIONS.COM","REGIONS BANK"
"BANK - BRANCH OFFICE","44619","TRUIST BANK (43RD ST)","2019-12-06T00:00:00.000","3814 NW 43RD ST","16650 WOODCREST WAY","CLERMONT","352-339-7006","MGOMEZ@BBANDT.COM","TRUIST  BANK"
"BANK - MAIN OFFICE","26140","CREDIT U.S. INC","2000-07-01T00:00:00.000","3320 N MAIN ST","3320 N MAIN ST","GAINESVILLE","352-371-6440","PNASSOIY@AOL.COM","CREDIT U.S. INC"
"ACCOUNTANT/AUDITOR","40843","ABA PRO INC","2014-04-01T00:00:00.000","2631 NW 41ST ST, STE. A","2631 NW 41ST ST, STE. A","GAINESVILLE","352-443-3532","BKING@ABA-ADVISORS.COM","ABA PRO INC"
"BANK - BRANCH OFFICE","37919","CAPITAL CITY BANK/ N MAIN ST","2009-11-16T00:00:00.000","1417 N MAIN ST","PO BOX 900","TALLAHASSEE","850-402-7241","DESCHNER.BEN@CCBG.COM","CAPITAL CITY BANK"
"BANK - BRANCH OFFICE","45020","PNC BANK, N.A.","2021-10-08T00:00:00.000","5901 W NEWBERRY RD","2875 PGA BLVD, SUITE 200","PALM BEACH GARDEN","561-622-2600","FRANK.MARTINO@PNC.COM","PNC BANK, N.A."
"BANK - BRANCH OFFICE","39602","WELLS FARGO BANK, N.A.","2011-06-11T00:00:00.000","4210 NW 37TH PL, STE 100","2030 MAIN ST, FL 10 #E2231-101","IRVINE","352-335-3450","BUSINESSLICENSES@WELLSFARGO.COM","WELLS FARGO BANK, N.A."
"ACCOUNTANT/AUDITOR","20902","LINDA F. TRIPLETT, C.P.A, P.A.","1996-01-02T00:00:00.000","2630 NW 41ST ST, SUITE B","2630 NW 41ST ST, SUITE B","GAINESVILLE","352-378-4126","LINDA@TRIPLETTCPA.COM","LINDA F. TRIPLETT, C.P.A, P.A."
"BANK - MAIN OFFICE","39597","WELLS FARGO BANK, N.A.","2011-06-11T00:00:00.000","104 N MAIN ST","2030 MAIN ST, FL 10 #E2231-101","IRVINE","352-335-3300","BUSINESSLICENSES@WELLSFARGO.COM","WELLS FARGO BANK, N.A."
"BANK - BRANCH OFFICE","26064","BANK OF AMERICA, NA - W UNIV. AVE","1998-10-09T00:00:00.000","1116 W UNIVERSITY AVE","1116 W UNIVERSITY AVE","GAINESVILLE","352-335-0411","JULIA.M.WILLIAMS@BOFA.COM","BANK OF AMERICA, NA"
"ACCOUNTANT/AUDITOR","15730","JAMES MOORE & CO., P.L.","1995-09-11T00:00:00.000","5931 NW 1ST PL","5931 NW 1ST PL","GAINESVILLE","352-378-1331","JOSHUA.KIMMELL@JMCO.COM","JAMES MOORE & CO., P.L."
"LOAN OR FINANCE COMPANY CHAPTER 560","26997","FAST PAYDAY LOANS INC.","2005-04-30T00:00:00.000","4053 NW 13TH ST","8601 DUNWOODY PL, SUITE 406","ATLANTA","352-374-9800","BBRIDGES@CLACORP.COM","COMMUNITY LOANS OF AMERICA INC."
"ACCOUNTANT/AUDITOR","17069","WILLIAM MCDAVID CO., P.A.","1981-07-01T00:00:00.000","2531 NW 41ST ST, STE E","3521 NW 42ND TER","GAINESVILLE","352-373-7505","MCDAVIDCO@AOL.COM","WILLIAM MCDAVID CO., P.A."
"BANK - MAIN OFFICE","39224","TD BANK, NATIONAL ASSOCIATION","2011-06-30T00:00:00.000","600 NW 43RD ST","600 NW 43RD ST","GAINESVILLE","352-367-9800","MIRIAM.NICASTRO@TD.COM","TD BANK, NATIONAL ASSOCIATION"
"ACCOUNTANT/AUDITOR","20325","DANIEL J. CHALMERS, CPA, PA","1995-10-03T00:00:00.000","2750 NW 43RD ST, SUITE 101","2750 NW 43RD ST, SUITE 101","GAINESVILLE","352-376-6686","DCCPA1040@AOL.COM","DANIEL J. CHALMERS, CPA, PA"
