"case_number","arrest_date","arrest_day_of_week","arr_chrg","chrgdesc","name_id","race","sex","age"
"220015482","2020-10-30T00:00:00.000","Friday","784-03     DOM","SIMPLE BATTERY (DOMESTIC)","764","Black","Female","37"
"220015495","2020-10-30T00:00:00.000","Friday","810-02/3A","BURGLARY OF OCCUPIED DWELLING","356958","Black","Male","26"
"220015536","2020-10-30T00:00:00.000","Friday","316-193/1A","DRIVE UNDER INFLUENCE ALCOHOL OR DRUGS","8558","Black","Male","59"
"220015538","2020-10-30T00:00:00.000","Friday","784-021","AGGRAVATED ASSAULT","275332","Black","Male","44"
"220015550","2020-10-31T00:00:00.000","Saturday","784.041","DOMESTIC BATTERY BY STRANGULATION","731701","Black","Male","26"
"220015550","2020-10-31T00:00:00.000","Saturday","784-03     DOM","SIMPLE BATTERY (DOMESTIC)","731701","Black","Male","26"
"220015536","2020-10-30T00:00:00.000","Friday","316-193/1C","DRIVING UNDER THE INFLUENCE BREATH ALCOHOL .08 OR MORE","731703","White","Male","43"
"220015578","2020-11-01T00:00:00.000","Sunday","741-31","VIOLATION DOMESTIC VIOLENCE INJUNCTION","602919","Black","Male","45"
"220015580","2020-11-01T00:00:00.000","Sunday","810-02/3A","BURGLARY OF OCCUPIED DWELLING","148553","Black","Male","31"
"220015580","2020-11-01T00:00:00.000","Sunday","806-13","CRIMINAL MISCHIEF","148553","Black","Male","31"
"220015576","2020-11-01T00:00:00.000","Sunday","316-193/1C","DRIVING UNDER THE INFLUENCE BREATH ALCOHOL .08 OR MORE","721469","White","Female","24"
"220015587","2020-11-01T00:00:00.000","Sunday","784-07(2)(C)","AGGRAVATED ASSAULT ON A LEO","189073","White","Male","46"
"220015595","2020-11-01T00:00:00.000","Sunday","784-041     DOM|1","DOMESTIC BATTERY BY STRANGULATION","707086","White","Male","42"
"220015595","2020-11-01T00:00:00.000","Sunday","914-22/1E","HINDER, DELAY, PREVENT COMMUNICATION TO LAW ENFORCEMENT","707086","White","Male","42"
"220015595","2020-11-01T00:00:00.000","Sunday","784-03     DOM","SIMPLE BATTERY (DOMESTIC)","707086","White","Male","42"
"220015629","2020-11-02T00:00:00.000","Monday","810-02/4B","BURGLARY TO UNOCCUPIED CONVEYANCE (UNARMED)","246334","Black","Male","34"
"220015629","2020-11-02T00:00:00.000","Monday","812-014(1)     |1","THEFT PETIT","246334","Black","Male","34"
"220015623","2020-11-01T00:00:00.000","Sunday","316-193/1A","DRIVE UNDER INFLUENCE ALCOHOL OR DRUGS","6628","White","Female","48"
"220015674","2020-11-02T00:00:00.000","Monday","810-09(2)(B)","TRESPASS AFTER WARNING","510","Black","Male","45"
"220015674","2020-11-02T00:00:00.000","Monday","784-048/2","STALKING (SIMPLE)","510","Black","Male","45"
"220015707","2020-11-03T00:00:00.000","Tuesday","893-13/1(A)1","SALE/POSS W/INTENT SELL/MANUF/DELIVER A CONTROLLED SUBSTANCE","1869","Black","Male","58"
"220015707","2020-11-03T00:00:00.000","Tuesday","893-147/1","POSSESS/USE DRUG PARAPHERNALIA","1869","Black","Male","58"
"220015727","2020-11-03T00:00:00.000","Tuesday","784-03     DOM","SIMPLE BATTERY (DOMESTIC)","15185","White","Male","42"
"220015744","2020-11-03T00:00:00.000","Tuesday","784-03     DOM","SIMPLE BATTERY (DOMESTIC)","401664","Black","Male","23"
"220015749","2020-11-03T00:00:00.000","Tuesday","893-13/6A","POSSESSION OF A CONTROLLED SUBSTANCE","26008","Black","Male","48"
"220015749","2020-11-03T00:00:00.000","Tuesday","951-22","INTRODUCTION OF CONTRABAND INTO COUNTY DETENTION FACILITY","26008","Black","Male","48"
"520000316","2020-11-03T00:00:00.000","Tuesday","322-212/1A","UNAUTH USE/POSSESSION OF BLANK/STOLEN/FORGED DRIVERS LICENSE","732052","White","Male","28"
"520000316","2020-11-03T00:00:00.000","Tuesday","322-03(1)","NO VALID DRIVER`S LICENSE","732052","White","Male","28"
"220015786","2020-11-04T00:00:00.000","Wednesday","812-014/2C1","THEFT GRAND - VALUE 750 TO 4,999","200182","White","Female","39"
"220015786","2020-11-04T00:00:00.000","Wednesday","901-36(1)","GIVING FALSE NAME OR FALSE ID TO LEO","200182","White","Female","39"
"220015786","2020-11-04T00:00:00.000","Wednesday","893-147/1","POSSESS/USE DRUG PARAPHERNALIA","200182","White","Female","39"
