"business_type","id","name","start_date","physical_address","mailing_address","mailing_city","business_phone","email","owner"
"BOOKKEEPING OR INCOME TAX SERVICE","39410","EXCELLENT MULTI SERVICES INC.","2011-12-01T00:00:00.000","714 NW 23RD AVE","714 NW 23RD AVE","GAINESVILLE","352-377-7674","EXCELLENTMULTISERVICES@GMAIL.COM","EXCELLENT MULTI SERVICES INC."
"BOOKKEEPING OR INCOME TAX SERVICE","45267","ACCOUNTING PERSONALIZED INC","2021-01-01T00:00:00.000","4210 NW 37TH PL, STE 300","4210 NW 37TH PL, STE 300","GAINESVILLE","352-224-9530","MICHAEL@ACCOUNTINGPERSONALIZED.COM","ACCOUNTING PERSONALIZED INC"
"BOOKKEEPING OR INCOME TAX SERVICE","44855","BREADWINNER FINANCIALS LLC","2021-09-01T00:00:00.000","3601 SW 2ND AVE, STE D","6815 W UNIVERSITY AVE, #11207","GAINESVILLE","352-554-5741","FCORENDA@YAHOO.COM","BREADWINNER FINANCIALS LLC"
"ABSTRACTS OF TITLE","38482","BOSSHARDT TITLE INSURANCE AGENCY, LLC","2010-08-01T00:00:00.000","05532 NW 43RD ST","5532 NW 43RD STREET","GAINESVILLE","352-240-9105","KIM@BOSSHARDTTITLE.COM","BOSSHARDT  TITLE INSURANCE AGENCY, LLC"
"BOOKKEEPING OR INCOME TAX SERVICE","44462","SUNRISE TAX SERVICES, LLC","2020-01-24T00:00:00.000","1136 NE 8TH AVE, STE B","1136 NE 8TH AVE, STE B","GAINESVILLE","954-293-0364","SUNRISETAXES@GMAIL.COM","SUNRISE  TAX SERVICES, LLC"
"BOOKKEEPING OR INCOME TAX SERVICE","39315","TAX SERVICES OF AMERICA, INC.","2011-10-03T00:00:00.000","01800 NE 12TH AVE","ATTN: MARIA SATTIZAHN, P O BOX 941290","MAITLAND","407-691-0004","JTAX@RETAILTAXSOLUTIONS.COM","TAX SERVICES OF AMERICA, INC."
"ACCOUNTANT/AUDITOR","21742","ALLEN & WILSON, CPA'S","1995-09-06T00:00:00.000","2630 NW 41ST ST, SUITE B","PO BOX 357009","GAINESVILLE","352-336-1594","KDALLEN@ALLENANDWILSONCPA.COM","MERRY LYNNE  WILSON"
"BOOKKEEPING OR INCOME TAX SERVICE","32343","H & R BLOCK","2005-01-01T00:00:00.000","1507 NW 23RD AVE, STES. 1 & 2","P.O. BOX 32208","KANSAS CITY","877-880-5222","OCOEBUSINESSLICENSE@HRBLOCK.COM","HRB TAX GROUP, INC."
"ACCOUNTANT/AUDITOR","35103","CAUTHEN, GEORGE R","2008-01-01T00:00:00.000","3927 NW 21ST TER","3927 NW 21ST TER","GAINESVILLE","352-338-9030","RAYTHECPA@BELLSOUTH.NET","GEORGE  CAUTHEN"
"ACCOUNTANT/AUDITOR","34998","PHYSICIAN ADVISORY GROUP, INC.","2007-05-18T00:00:00.000","2631 NW 41ST ST, SUITE A","2631 NW 41ST ST, SUITE A","GAINESVILLE","352-224-7635","PAGNEIL@AOL.COM","PHYSICIAN ADVISORY GROUP, INC"
"BOOKKEEPING OR INCOME TAX SERVICE","41975","HINES, TAWANNA","2015-12-23T00:00:00.000","2214 NE 16TH TER","2214 NE 16TH TER","GAINESVILLE","352-219-4841","TAWANNAHINES@AOL.COM","TAWANNA  HINES"
"ACCOUNTANT/AUDITOR","18470","PIERCE, DEEGAN & HODGIN, P.A.","1995-09-26T00:00:00.000","4001 W NEWBERRY RD, A4","4001   NEWBERRY RD, STE. A-4","GAINESVILLE","352-375-7739","PDHCPA@BELLSOUTH.NET","CAROL  DEEGAN"
"BOOKKEEPING OR INCOME TAX SERVICE","45290","MANDRELL'S CFO SERVICES, LLC","2021-10-01T00:00:00.000","235 S MAIN ST","4821 NE 3RD PL","GAINESVILLE","352-505-1294","CFO@MADRELLS.COM","MANDRELL'S  PRESSURE CLEANING, LLC"
"ACCOUNTANT/AUDITOR","34661","HENDRICKSON, KATHY L.","2007-05-11T00:00:00.000","5126 NW 24TH TER","5126 NW 24TH TER","GAINESVILLE","352-222-8058","CPAKLH@COX.NET","KATHY  HENDRICKSON"
"BOOKKEEPING OR INCOME TAX SERVICE","41968","NORTH FLORIDA MONEY MANAGEMENT LLC","2016-01-01T00:00:00.000","4631 NW 53RD AVE, STE 101","4631 NW 53RD AVE, STE 101","GAINESVILLE","352-505-3069","krisgibson@nflmoney.com","NORTH FLORIDA  MONEY MANAGEMENT LLC"
"ACCOUNTANT/AUDITOR","39885","MCGRAW AND MAURER ACCOUNTING, INC.","2012-10-01T00:00:00.000","1216 NW 13TH ST","1216 NW 13TH ST","GAINESVILLE","352-374-6789","MAURER1216@YAHOO.COM","RICHARD  MCGRAW"
"ACCOUNTANT/AUDITOR","20296","STEVENS, SHARON M., CPA","1995-09-20T00:00:00.000","2801 W UNIVERSITY AVE","2801 W UNIVERSITY AVE","GAINESVILLE","352-375-7480","SMSTEVENS@SMSCPA.CFCOXMAIL.COM","SHARON  STEVENS"
"BOOKKEEPING OR INCOME TAX SERVICE","43680","LIBERTY TAX SERVICE","2018-10-01T00:00:00.000","3442 W UNIVERSITY AVE","4110 SW 34TH ST, STE 16","GAINESVILLE","352-505-5525","MGLASPEY@LIBERTYTAX.COM","DANIEL  MANNWEILER"
"BOOKKEEPING OR INCOME TAX SERVICE","38674","TAX SERVICES OF AMERICA, INC","2000-01-01T00:00:00.000","2900 SW 42ND ST","ATTN: MARIA SATTIZAHN, P O BOX 941290","MAITLAND","407-691-0004","JTAX@RETAILTAXSOLUTIONS.COM","TAX SERVICES OF AMERICA, INC"
"ABSTRACTS OF TITLE","29240","U.S. TITLE","1992-03-01T00:00:00.000","2622 NW 43RD ST, SUITE B2","2622 NW 43RD ST, SUITE B2","GAINESVILLE","352-372-7000","INGER@USTITLEGAINESVILLE.COM","INGER  MCRAE"
