"business_type","id","name","start_date","physical_address","mailing_address","mailing_city","business_phone","email","owner"
"REAL ESTATE BROKER","20635","TEISS, LARAINE R/E","1995-11-30T00:00:00.000","4141 NW 37TH PL","4141 NW 37TH PL","GAINESVILLE","352-225-4622","MOVEWITHTEISS@GMAIL.COM","LARAINE  TEISS"
"CONSULTANT","44425","BEYOND GRIEVING, LLC","2020-07-06T00:00:00.000","1225 NW 10TH AVE","1225 NW 10TH AVE","GAINESVILLE","352-410-9344","tedwards@beyondgrieving.us","BEYOND  GRIEVING, LLC"
"ELECTRONICS-COMPUTER PROGRAMMERS","29273","ATMOSPHERE APPS, INC","2001-02-01T00:00:00.000","747 SW 2ND AVE, STE 281","747 SW 2ND AVE, IMB 40","GAINESVILLE","352-213-1282","TPORTER@ATMOAPPS.COM","ATMOSPHERE APPS, INC"
"REAL ESTATE BROKER","44634","LEIGHTMAN, ERIC","2021-01-01T00:00:00.000","1107 SW 2ND AVE","311 NE 1ST ST","GAINESVILLE","352-219-2879","ERIC.LEIGHTMAN@GMAIL.COM","UNIVERSITY  ASSOCIATION MANAGEMENT LLC"
"CONSULTANT","43946","THOMAS, MARK A","2019-07-02T00:00:00.000","2705 NW 50TH PL","2705 NW 50TH PL","GAINESVILLE","229-474-5853","MARK@EAGLESSPRING.COM","EAGLE'S  SPRING CONSULTING GROUP, LLC"
"REAL ESTATE BROKER","41335","SHULTZ, DEBRA W","2011-06-10T00:00:00.000","4137 NW ALPINE DR","4137 NW ALPINE DR","GAINESVILLE","352-214-4994","SHULTZ.RDC@COX.NET","SHULTZ REALTY INC"
"CONSULTANT","24955","ROSSELLE CONSULTING","1999-02-01T00:00:00.000","112 NW 33RD CT","112 NW 33RD CT","GAINESVILLE","352-373-7741","CAROSSEL@BELLSOUTH.NET","ROSSELLE CONSULTING INC"
"REAL ESTATE BROKER","16292","LAMB, JOHN J.","1991-01-01T00:00:00.000","05408 NW 9TH LN, STE. E","5200 NW 43RD ST, STE 102-338","GAINESVILLE","352-380-9965","APPRAISALS@JOHNJLAMB.COM","JOHN  LAMB"
"CONSULTANT","24745","GLE ASSOCIATES, INC.","1998-11-01T00:00:00.000","2228 NW 40TH TER, SUITE C","5405 CYPRESS CENTER DR, SUITE 110","TAMPA","813-241-8350","ACCOUNTING@GLEASSOCIATES.COM","CORPORATION  GLE ASSOCIATES, INC."
"CONSULTANT","41536","MOBELY, LORRAINE","2015-04-08T00:00:00.000","3201 NW 38TH ST","3201 NW 38TH ST","GAINESVILLE","352-246-7275","RAINPHARM@AOL.COM","GUIDELIGHT  PHARMACY SERVICES, LLC"
"CONSULTANT","44600","BANKS, JONATHAN","2020-10-26T00:00:00.000","2503 NE 10TH TER","2503 NE 10TH TER","GAINESVILLE","907-385-2503","vipperevents@gmail.com","VIPPER  EVENTS LLC"
"ELECTRONICS-COMPUTER PROGRAMMERS","41758","LEVEN LABS INC.","2015-09-01T00:00:00.000","747 SW 2ND AVE, STE 265","747 SW 2ND AVE, IMB #7","GAINESVILLE","440-316-9632","JAMES@LEVENLABS.COM","LEVEN LABS INC."
"CONSULTANT","44929","CAPSTONE AGENCY LLC, THE","2021-04-01T00:00:00.000","2153 SE HAWTHORNE RD, #221","2153 SE HAWTHORNE RD, #221","GAINESVILLE","855-438-2271","YOURFRIENDS@THECAPSTONEAGENCY.COM","THE CAPSTONE  AGENCY LLC"
