"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
"Treasurer, Oregon State",Oregon Short-Term Fund (OSTF) Board Meeting,The OSTF Board will review and comment on various entities Investment Policies.,01/12/2012 10:00:00 AM,01/12/2012 12:00:00 PM,"Orrick, Herrington & Sutcliffe LLP", Portland,OR,,,Heidi Rawe,503-378-4552,heidi.rawe@ost.state.or.us,http://www.ost.state.or.us/About/OSTF/Agendas/OSTF.Agenda.011212.pdf,,,,,,,Please contact Heidi Rawe at 503-378-4552 for call-in information,,http://www.ost.state.or.us/About/OSTF/Agendas/OSTF.Agenda.011212.pdf,"Orrick Herrington & Sutcliffe LLP Portland, OR
(45.511789999609, -122.675629999625)",36,18,2410
"Treasurer, Oregon State",Private Activity Bond Committee Carryforward Meeting,Consideration of 2011 Carry Forward and 2012 Current Year Requests for PAB Allocations,01/17/2012 02:00:00 PM,01/17/2012 03:30:00 PM,"Oregon State Treasurer's Columbia Conference Room, 350 Winter Street NE, Suite 100", Salem,OR,,,Matthew Harris,(503)378-4930,DMD@ost.state.or.us,http://www.ost.state.or.us/About/PAB/,,,,,,,,,http://www.ost.state.or.us/About/PAB/Meetings.asp,,,,
"Treasurer, Oregon State",Oregon Investment Council,OIC Regular Meeting,01/25/2012 09:00:00 AM,01/25/2012 12:00:00 PM,PERS Building, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the time, date, and location listed below.  Meeting end time is approximate.

Wednesday, January 25, 2012
9:00 AM
PERS Headquarters
11410 S.W. 68th Parkway 
Tigard, Oregon   97223

The meeting location is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury – Investment Division, Attention:  Martha Kellams at 503-378-4111.  In Martha’s absence, other staff will be glad to assist with these requests.

The agenda may be accessed one week prior to the scheduled meeting on our web site at http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp or by calling the phone number listed above.
",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,http://www.ost.state.or.us/Contact/Directions/Pers.asp,http://www.ost.state.or.us/News/calendar/Month.asp,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,"PERS Building Tigard, OR
(45.425149999873, -122.765769999785)",35,18,724
"Treasurer, Oregon State",Oregon Investment Council,Workshop,01/25/2012 11:30:00 AM,01/25/2012 01:30:00 PM,PERS Building, Tigard,OR,"Workshop covering a survey of pension fund governance by Funston Advisory Services, LLC",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,http://www.ost.state.or.us/Contact/Directions/Pers.asp,http://www.ost.state.or.us/News/calendar/Month.asp,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,02/29/2012 09:00:00 AM,02/29/2012 12:00:00 PM,PERS Building, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location.  Meeting end time is approximate.  The meeting loction is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111.  In Martha's absence, other staff will assist with these requests.  The agenda may be accessed one week prior to the scheduled meeting on web site http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp or by called the phone number listed above.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,http://www.ost.state.or.us/Contact/Directions/Pers.asp,http://www.ost.state.or.us/News/calendar/Month.asp,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,"11410 68th Parkway
Tigard, OR 97223
(45.438892233851, -122.74681693689)",35,18,724
"Treasurer, Oregon State",Oregon Short-Term Fund (OSTF) Board Meeting,The OSTF Board will review and comment on various entities Investment Policies,04/12/2012 10:00:00 AM,04/12/2012 12:00:00 PM,"Oregon State Treasury, Labor & Industries Building", Salem,OR,,,Heidi Rawe,503-378-4552,heidi.rawe@ost.state.or.us,,,,,,,,Contact Heidi Rawe at 503-378-4552 for call-in information,,http://www.ost.state.or.us/about/OSTF/,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,04/25/2012 09:00:00 AM,04/25/2012 12:00:00 PM,PERS Building, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location.  The Oregon Investment Council also may hold an executive session as part of the regular meeting at the time, date, and location listed pursuant to ORS 192.660(2)(f) & (h).  Meeting end time is approximate.  The meeting loction is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111.  In Martha's absence, other staff will assist with these requests.  The agenda may be accessed one week prior to the scheduled meeting on web site http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp or by called the phone number listed above.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/Investment/,http://www.ost.state.or.us/Contact/Directions/Pers.asp,http://www.ost.state.or.us/News/calendar/Month.asp,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,05/30/2012 09:00:00 AM,05/30/2012 12:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting and the Oregon Investment Council will hold an executive session as part of the regular meeting pursuant to ORS 192.660(2)(f) & (h) at the listed date, time and location.  Meeting end time is approximate.  The meeting loction is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111.  In Martha's absence, other staff will assist with these requests.  The agenda may be accessed one week prior to the scheduled meeting on web site http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp or by called the phone number listed above.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/Investment/,http://www.ost.state.or.us/Contact/Directions/Pers.asp,http://www.ost.state.or.us/News/calendar/Month.asp,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,,,,
"Treasurer, Oregon State",Oregon Short Term Fund (OSTF) Board Meeting,The OSTF Board will review and comment on various entities Investment Policies,07/12/2012 10:00:00 AM,07/12/2012 12:00:00 PM,Oregon State Treasury, Salem,OR,,,Heidi Rawe,503-378-4552,heidi.rawe@ost.state.or.us,http://www.ost.state.or.us/about/OSTF,,,,,,,Please contact Heidi Rawe at 503-378-4552 for call-in information,,http://www.ost.state.or.us/about/OSTF,,,,
"Treasurer, Oregon State",Private Activity Bond Committee Meeting,Private Activity Bond Committee Meeting,07/17/2012 09:00:00 AM,07/17/2012 10:30:00 AM,"350 NE Winter Street, Suite 100", Salem,OR,,,Jennifer Bingham,503-378-4930,jennifer.bingham@ost.state.or.us,,,,,,,,,,,,,,
"Treasurer, Oregon State",Oregon Investment Council,Regular Meeting,07/25/2012 09:00:00 AM,07/25/2012 12:00:00 PM,PERS Headquarters, Tigard,OR,"The Oregon Investment Council will hold a regular meeting at the listed date, time and location.  Meeting end time is approximate.  The meeting loction is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Oregon State Treasury - Investment Division, Attention: Martha Kellams at 503-378-4111.  In Martha's absence, other staff will assist with these requests.  The agenda may be accessed one week prior to the scheduled meeting on web site http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp or by called the phone number listed above.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/Investment/,http://www.ost.state.or.us/Contact/Directions/Pers.asp,http://www.ost.state.or.us/News/calendar/Month.asp,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,,,,
"Treasurer, Oregon State",Oregon Investment Council,Special Meeting - Public Equity Symposium,07/25/2012 12:30:00 PM,07/25/2012 04:00:00 PM,Hilton Hotel, Portland,OR,"The Oregon Investment Council will hold a special meeting at the time, date, and location listed as follows: July 25, 2012, 12:30pm, Hilton Hotel, 921 SW 6th Avenue, Portland, OR  97201.  The meeting location is accissible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made the day before the meeting to the Oregon State Treasurer's Office - Investment Division, Attention: Martha Kellams, 503-378-4111.  In the event Martha is not available, other staff will assist.",,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,http://www.ost.state.or.us/About/OIC/AgendasAndMinutes.asp,,,Martha Kellams,503-378-4111,martha.kellams@ost.state.or.us,,,,,,,,
