"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
"Geology and Mineral Industries, Oregon Department of",Calico Grassy Mountain Project - Project Coordinating Committee (PCC),,02/12/2020 01:00:00 PM,02/12/2020 04:30:00 PM,"Four Rivers Cultural Center, Malheur River Room, 676 SW 5th Ave.", Ontario,OR,"The Project Coordinating Committee (PCC) for the Calico Resources proposed gold mine in Malheur County is scheduled to meet by phone and in person on February 12, 2020, from 1:00 pm – 4:30 pm Mountain Time (Noon – 3:30 pm Pacific). 

The PCC is an interdisciplinary team of agencies sharing information and coordinating county, state and federal permitting requirements, to facilitate exchange of ideas, optimize communication, and avoid contradictions or duplications.

The public may listen to the meeting in person at the Four Rivers Cultural Center, in the Malheur River Room, at 676 SW 5th Ave, Ontario, Oregon or by phone. To listen by phone dial (866) 434-5269 and enter the access code (8863532#).

Meeting materials may also be presented online at: www.webmeeting.att.com (Meeting number 866-434-",yes,mlrr.info@oregon.gov,,mlrr.info@oregon.gov,,,,mlrr.info@oregon.gov,541-967-2083,mlrr.info@oregon.gov,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources USA Technical Review Team (TRT) Meeting,,02/14/2020 09:30:00 AM,02/14/2020 11:00:00 AM,"DOGAMI Mineral Land Regulation & Reclamation Office, 229 Broadalbin Street SW",Albany,OR,"The Technical Review Team (TRT) for the Calico Resources proposed gold mine in Malheur County is scheduled to meet by phone and in person on February 14, 2020 from 9:30 am – 11:00 am (PST). The TRT is an inter-disciplinary team of state agencies that reviews information related to a proposed mine during all phases of the application process, and ultimately develops consolidated permit conditions that conform to Oregon regulations.

The public may listen to the meeting in person at the Oregon Department of Geology and Mineral Industries (DOGAMI) Mineral Land Regulation & Reclamation Office at 229 Broadalbin Street SW, Albany, Oregon 97321 or by phone. To listen by phone dial 1 (866) 434-5269 and enter the access code (8863532#).

Meeting materials may also be presented online at: www.webmeeting.att.com (Meeting number 1-866-434-5269; Access code 8863532). For assistance, please contact the DOGAMI Albany office at (541) 967-2083.

REASONABLE ACCOMMODATION OF DISABILITIES
Reasonable accommodation, such as assisted hearing devices, sign language interpreters, and materials in large print or audiotape, will be provided as requested. In order to ensure availability, please contact the DOGAMI Albany Office at (541) 967-2083 at least 72 hours prior to the meeting to make your request. Services for persons with a hearing or speech disability are available by dialing 711.

PUBLIC MEETING
Technical Review Team (TRT) and subcommittee meetings are public meetings under Oregon’s Public Meeting Law. The meeting will be tape recorded and a summary of the meeting will be prepared. The public is able to listen to the TRT discussion in person or by phone.

ADDITIONAL INFORMATION
More about the Oregon Consolidated Application and Permitting process is posted at: http://www.oregongeology.org/mlrr/chemicalprocessmining.htm",no,mlrr.info@oregon.gov,541-967-2083,mlrr.info@oregon.gov,,,,mlrr.info@oregon.gov,541-967-2083,mlrr.info@oregon.gov,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,,03/09/2020 08:30:00 AM,03/09/2020 12:30:00 PM,"Portland State Office Building (PSOB), 800 NE Oregon St., Suite 965", Portland,OR,"PLEASE NOTE:
AGENDA
The Board meeting will begin at 8:30 a.m. and proceed chronologically through the agenda.

PUBLIC TESTIMONY
If you wish to give testimony on any item scheduled on this agenda, please sign up on the sheets provided on the day of the meeting and you will be called to testify by the Board Chair. The Board places great value on information received from the public. Persons desiring to testify or otherwise present information to the Board are encouraged to:
1. Provide written summaries of information to the Board (7 sets);
2. Limit testimony to 3 minutes, recognizing that substance, not length, determines the value of testimony or written information;
3. Endorse rather than repeat testimony of other witnesses; and
4. Designate one spokesperson whenever possible when groups or organizations wish to testify.

THANK YOU FOR TAKING TIME TO PRESENT YOUR VIEWS
If you bring written materials to the meeting, please provide seven (7) copies. If you have questions regarding this agenda, please contact Lori Calarruda at (971) 673-1537 or you may email her at lori.calarruda@oregon.gov

REASONABLE ACCOMMODATION OF DISABILITIES
Reasonable accommodation, such as assisted hearing devices, sign language interpreters, and materials in large print or audiotape, will be provided as requested. In order to  ensure availability, please contact the Director's Office at (971) 673-1555 at least 72 hours prior to the meeting to make your request.",yes,Lori Calarruda,(971) 673-1537,lori.calarruda@oregon.gov,,,,Lori Calarruda,(971) 673-1537,lori.calarruda@oregon.gov,,,,,https://www.oregongeology.org/about/govboard/boardagenda_3_9_2020.pdf,,,,https://www.oregongeology.org/about/govboard.htm,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources USA TECHNICAL REVIEW TEAM- Geochemistry Subcommittee,Calico TRT Geochemistry Subcommittee,01/14/2020 08:30:00 AM,01/14/2020 10:15:00 AM,"Teleconference with public access at the Portland State Office Building, 800 NE Oregon St., Suite 965",Portland,OR,"The Geochemistry Subcommittee of the Technical Review Team (TRT) for the Calico Resources proposed
gold mine in Malheur County is scheduled to meet by phone on January 14, 2020 from 8:30am – 10:15am
(Pacific). The TRT is an interdisciplinary team of state agencies that reviews information related to a proposed
mine during all phases of the application process, and ultimately develops consolidated permit conditions that
conform to Oregon regulations.

The public may listen to the meeting in person at the Oregon Department of Geology and Mineral Industries
(DOGAMI) offices Portland Office at 800 NE Oregon Street, Suite 965, Portland, Oregon 97232 or by phone.
To listen by phone dial (866) 434-5269 and enter the access code (8863532#). 

Public notice:
https://www.oregongeology.org/mlrr/noi/TRT-GCS_PublicNotice_20200114_FINAL.pdf
",no,mlrr.info@oregon.gov,,mlrr.info@oregon.gov,,,,,,,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources USA TECHNICAL REVIEW TEAM Meeting,Calico Resources USA TRT Meeting,01/16/2020 01:00:00 PM,01/16/2020 04:00:00 PM,"Teleconference with public access at the Portland State Office Building, 800 NE Oregon St., Suite 965", Portland,OR,"The Technical Review Team (TRT) for the Calico Resources proposed gold mine in Malheur County is
scheduled to meet by phone on January 16, 2020 from 1:00pm – 4:00pm (Pacific). The TRT is an interdisciplinary team of state agencies that reviews information related to a proposed mine during all phases of the
application process, and ultimately develops consolidated permit conditions that conform to Oregon regulations.

The public may listen to the meeting in person at the Oregon Department of Geology and Mineral Industries
Portland Office at 800 NE Oregon Street, Suite 965, Portland, Oregon 97232 or by phone. To listen by phone
dial (866) 434-5269 and enter the access code (8863532#). 

Public notice:
https://www.oregongeology.org/mlrr/noi/TRT_PublicNotice_20200116_FINAL.pdf
",no,mlrr.info@oregon.gov,,mlrr.info@oregon.gov,,,,,,,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources USA TECHNICAL REVIEW TEAM – Water Resources Subcommittee,Calico Resources USA TRT Water Resources Subcommittee,01/14/2020 01:30:00 PM,01/14/2020 03:30:00 PM,"Teleconference with public access at the Portland State Office Building, 800 NE Oregon St., Suite 965", Portland,OR,"The Water Resources Subcommittee of the Technical Review Team (TRT) for the Calico Resources
proposed gold mine in Malheur County is scheduled to meet by phone on January 14, 2020 from 1:30pm –
3:30pm (Pacific). The TRT is an interdisciplinary team of state agencies that reviews information related to a
proposed mine during all phases of the application process, and ultimately develops consolidated permit
conditions that conform to Oregon regulations.
The public may listen to the meeting in person at the Oregon Department of Geology and Mineral Industries
(DOGAMI) Portland Office at 800 NE Oregon Street, Suite 965, Portland, Oregon 97232 or by phone. To
listen by phone dial (866) 434-5269 and enter the access code (8863532#). 

Public notice:
https://www.oregongeology.org/mlrr/noi/TRT-WRS_PublicNotice_20200114_FINAL.pdf
",no,mlrr.info@oregon.gov,,mlrr.info@oregon.gov,,,,,,,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico Resources USA TECHNICAL REVIEW TEAM – Wildlife Subcommittee,Calico Resources USA TRT Wildlife Subcommittee,01/14/2020 10:30:00 AM,01/14/2020 12:15:00 PM,"Teleconference with public access at the Portland State Office Building, 800 NE Oregon St., Suite 965", Portland,OR,"The Wildlife Subcommittee of the Technical Review Team (TRT) for the Calico Resources proposed gold
mine in Malheur County is scheduled to meet by phone on January 14, 2020 from 10:30am to 12:15pm
(Pacific). The TRT is an interdisciplinary team of state agencies that reviews information related to a proposed
mine during all phases of the application process, and ultimately develops consolidated permit conditions that
conform to Oregon regulations.

The public may listen to the meeting in person at the Oregon Department of Geology and Mineral Industries
(DOGMAI) Portland Office at 800 NE Oregon Street, Suite 965, Portland, Oregon 97232 or by phone. To
listen by phone dial (866) 434-5269 and enter the access code (8863532#). 

Public notice:
https://www.oregongeology.org/mlrr/noi/TRT-WLS_PublicNotice_20200114_FINAL.pdf
",no,mlrr.info@oregon.gov,,mlrr.info@oregon.gov,,,,,,,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,Special Board Meeting,01/10/2020 01:00:00 PM,01/10/2020 03:00:00 PM,"Portland State Office Building (PSOB), 800 NE Oregon St., Suite 965", Portland,OR,,,Lori Calarruda,971-673-1555,dogami-info@oregon.gov,,,,Lori Calarruda,971-673-1555,dogami-info@oregon.gov,,,,,,,,,https://www.oregongeology.org/about/govboard.htm,,,,
"Geology and Mineral Industries, Oregon Department of","CANCELLED: OAR 632, Div. 20 - Notice of Proposed Rulemaking Hearing","OAR 632, Div. 20 - Notice of Proposed Rulemaking Hearing Geothermal Regulations",11/15/2012 10:00:00 AM,11/15/2012 12:00:00 PM,"DOGAMI Albany Office, 229 Broadalbin St., SW", Albany,OR,"11/1/2012: This meeting has been cancelled. OAR 632, Div. 20 - Notice of Proposed Rulemaking Hearing Geothermal Regulations 

Rule caption: Adopt revised rule language that addresses ORS 522 revisions. The last day for public comment is November 28, 2012.

Public Notice: 
http://www.oregongeology.org/mlrr/rules/Div_20_Notice_Rule_Hearing_10-15-12.pdf

Draft Rules: 
http://www.oregongeology.org/mlrr/rules/Div_20_Final_Draft_09-01-12.pdf",yes,ReNeea Gordon,541-976-2051,Reneea.J.Gordon@mlrr.OregonGeology.com,http://www.oregongeology.org/mlrr/regulations.htm,,,,,,,,,,,deb.schueller@dogami.state.or.us,,,,,,,
"Geology and Mineral Industries, Oregon Department of",Calico TRT Meeting,Calico TRT Water Resources Subcommittee Meeting,07/18/2013 10:00:00 AM,07/18/2013 12:00:00 PM,teleconference, Albany,OR,"The Technical Review Team Water Resources Subcommittee for the Calico Resources proposed gold mine in Malheur County is scheduled to meet by phone, July 18, 2013 from 10:00 am - noon (Pacific Time). The meeting may be monitored by the public and interested news media. Contact DOGAMI in Albany at (541) 967-2040 for information on how to monitor the meeting by phone. You will be provided the call-in number when you register. The public and interested news media can also monitor the phone call in person at the DOGAMI Portland offices, 800 NE Oregon, Portland, OR. See agenda link below.",no,Reneea Gordon,(541) 967-2040,ReNeea.J.Gordon@mlrr.oregongeology.com,http://www.oregongeology.org/mlrr/chemicalprocess_Calico-GrassyMtn.htm,,,Reneea Gordon,(541) 967-2040,ReNeea.J.Gordon@mlrr.oregongeology.com,,,,,http://www.oregongeology.org/mlrr/noi/TRT-water-sub-07-18-13agenda.pdf,deb.schueller@dogami.state.or.us,,,,,,,
