"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Environmental Quality Dept.,Public Hearing: Aquatic Life Water Quality Standards for Copper,DEQ will hold the following information sessions and public hearings on this rulemaking,08/30/2016 06:00:00 PM,08/30/2016 07:30:00 PM,"811 SW 6th Ave., 10th Floor, Room EQC A", Portland,OR,"DEQ proposes the following changes to OAR 340, division number 041 that will:
• Revise Oregon’s copper criteria to protect freshwater aquatic life. The revised criteria are based on U.S. Environmental Protect Agency (EPA)’s 2007 national recommendations to use the Biotic Ligand Model (BLM). This model derives copper criteria based on the water chemistry of a site that affects the bioavailability and toxicity of copper in freshwaters.
• Address EPA's January 31, 2013, disapproval of Oregon's current copper criteria in response to a National Marine Fisheries Service’s (NMFS) Biological Opinion that concluded the current criteria would cause jeopardy to threatened and endangered species",yes,Meyer Goldstein,,goldstein.meyer@deq.state.or.us,,,,,,,true,https://connect9.uc.att.com/service32/meet/?ExEventID=81910322,888-363-4734,1910322,,,,,http://www.oregon.gov/deq/RulesandRegulations/Pages/2015/Rwqcopper.aspx,,,,
Public Utility Commission,Public Meeting with the potential of an executive session under ORS 192.660(2)(f) to review public records exempt from disclosure.​,,08/30/2016 09:30:00 AM,08/30/2016 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,503-373-0885,kristi.collins@state.or.us,,,,,,,,,,,,,,,,PM Agenda 08302016.docx (https://data.oregon.gov/views/gs36-7t8m/files/bc86ea1f-38d6-44b4-8816-d437a3abcf5f?download=true&filename=PM%20Agenda%2008302016.docx),,,
"Community Colleges and Workforce Development, Department of",OYCC Advisory Committee Strategic Planning,,08/29/2016 10:45:00 AM,08/30/2016 03:00:00 PM,The RiverHouse, Bend,OR,,,Doug Denning,503-947-2420,douglas.denning@state.or.us,,,,,,,,,,,,,,,,,,,
Medical Assistance Program Administration,CANCELED: Tentative Rule Advisory Committee - Psychiatric Emergency Services,Meeting tentatively scheduled to discuss rule changes effective 1/1/2017. This meeting has been canceled.,08/29/2016 10:00:00 AM,08/29/2016 01:00:00 PM,"Barbara Roberts Human Services Building, 500 Summer St NE, Room 252", Salem,OR,,,"Justin Hopkins, Contracts and Compliance Director",503-945-7818,justin.hopkins@state.or.us,,,,,,,,,1-866-390-1828,639037,,,,,,,,,
"Parole & Post Prison Supervision, State Board of",Business Meeting,,08/29/2016 10:00:00 AM,08/29/2016 11:00:00 AM,2575 Center Street NE - Room 157, Salem,OR,,,Jaime Ferguson,,jaime.r.ferguson@doc.state.or.us,,,,,,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting - UE 307 TAM Hearing  with the potential of an executive session under ORS 192.660(2)(f) to review public records exempt from disclosure.​,,08/29/2016 09:30:00 AM,08/29/2016 03:30:00 PM,"201 High Street SE, Hearing Room", Salem,OR,,,Candice Menza,503-378-6607,candice.menza@state.or.us,,,,,,,,,,,,,,,,,,,
Linn Benton Lincoln ESD,LBL Board Work Session,,08/27/2016 09:30:00 AM,08/27/2016 05:00:00 PM,Adair Village Clubhouse, Adair Village,OR,Board Work Session.  See agenda.,,Debbie Herndon,541-812-2601,debbie.herndon@lblesd.k12.or.us,,,,,,,,,,,,,,,,2016 Worksession Agenda 8 27 mm.pdf (https://data.oregon.gov/views/gs36-7t8m/files/cccd5ad8-da24-483c-bfea-d993de26d5f9?download=true&filename=2016%20Worksession%20Agenda%208%2027%20mm.pdf),,,
"Health Licensing Agency, Oregon",Advisory Council on Hearing Aids,,08/26/2016 01:00:00 PM,08/26/2016 04:00:00 PM,700 Summer St. Suite 320, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,,,,,,
"Library, Oregon State","Oregon State Library Board Meeting in Salem, August 26, 2016",Board Meeting,08/26/2016 09:30:00 AM,08/26/2016 02:00:00 PM,"Oregon State Library, 250 Winter St NE, Room 103", Salem,OR,,,Jessica Rondema,503-378-2464,jessica.rondema@state.or.us,,,,,,,,,,,http://www.oregon.gov/osl/Pages/2bdinfo.aspx,,,,http://www.oregon.gov/osl/Pages/2bdinfo.aspx,,,,
"Lottery Commission, Oregon State",Oregon State Lottery Executive Session & Commission Meeting,"Executive session, Monthly commission meeting",08/26/2016 09:30:00 AM,08/26/2016 12:00:00 PM,"500 Airport Road, SE", Salem,OR,"9:30-10:30 Executive session - The Oregon State Lottery Commission will hold an executive session to consult with legal counsel concerning the legal rights and duties of the commission with regard to current litigation and litigation that is likely to be filed.  The executive session is being held pursuant to ORS 192.660(2)(h).  This session is closed to the public.
10:30-12 Monthly commission meeting",Yes,Alisa Zavala,503-540-1490,Alisa.Zavala@state.or.us,,,,,,,,,,,http://oregonlottery.org/about/commission-meetings,,,,http://oregonlottery.org/about/commission-meetings,,,,
