"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
"Black Affairs, Commission on",Regular Meeting,,11/15/2019 12:15:00 PM,11/15/2019 01:15:00 PM,"200 SW Market Street, Suite 1900 (Bullard Law office), ZIP 97201", Portland,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,https://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular Meeting,,10/10/2020 09:30:00 AM,10/10/2020 11:30:00 AM,Zoom: https://us02web.zoom.us/j/87947411678?pwd=dFN6a0J3ZHpSS1JFSmlCRFhoMmZBUT09, Tigard,OR,"Join Zoom Meeting
https://us02web.zoom.us/j/87947411678?pwd=dFN6a0J3ZHpSS1JFSmlCRFhoMmZBUT09

Meeting ID: 879 4741 1678
Passcode: FVPma2
One tap mobile
+16699006833,,87947411678#,,,,,,0#,,538710# US (San Jose)

Dial by your location
        +1 253 215 8782 US (Tacoma)
Meeting ID: 879 4741 1678
Passcode: 538710
Find your local number: https://us02web.zoom.us/u/kbXh7j7LyM",Yes,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,,,,,,https://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular Meeting - virtual only,,06/13/2020 09:30:00 AM,06/13/2020 11:30:00 AM,https://us02web.zoom.us/j/83070519578?pwd=eldaUTRFTk1tcVZLWHdYUXZWcnc3dz09,Portland,OR,,Yes,Nancy Kramer,5033029725,nancy.kramer@oregon.gov,,,,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,https://us02web.zoom.us/j/83070519578?pwd=eldaUTRFTk1tcVZLWHdYUXZWcnc3dz09,,,,,,,https://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular Meeting,,08/08/2020 09:30:00 AM,08/08/2020 11:30:00 AM,Oregon State Bar - Sandy Room - 16037 SW Upper Boones Ferry Road, Tigard,OR,,Yes,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,,,,,,https://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular Meeting,,02/08/2020 09:30:00 AM,02/08/2020 11:30:00 AM,Oregon State Bar - Sandy Room - 16037 SW Upper Boones Ferry Road,Tigard,OR,,Yes,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,,,,,,https://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,04/18/2015 09:00:00 AM,04/18/2015 12:00:00 PM,"PCC Cascade Campus, 705 N. Killingsworth St., Terrell Hall Room 208, ZIP 97217", Portland,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,http://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Strategic Planning Session,Strategic Planning Session,06/22/2013 11:00:00 AM,06/22/2013 02:00:00 PM,"Oregon Civic Justice Center, Hearing Room, Willamette University, 790 State St. SE (97301)", Salem,OR,,,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,http://www.oregon.gov/OCBA/PDFs/Willamette%20University%20campus%20map.pdf,,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Regular meeting,Regular meeting,08/16/2014 09:00:00 AM,08/16/2014 12:00:00 PM,"Portland Community College Cascade, 705 N. Killingsworth St., Terrell Hall Room 112, Portland 97217", Portland,OR,,Yes,Nancy Kramer,503.302.9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503.302.9725,nancy.kramer@oregon.gov,,,,,,nancy.kramer@oregon.gov,,,http://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,10/18/2014 09:00:00 AM,10/18/2014 12:00:00 PM,"Portland Community College Cascade Campus, 705 N. Killingsworth St., exact room to be announced, ZIP 97217", Portland,OR,,Yes,Nancy Kramer,503 302 9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503 302 9725,nancy.kramer@oregon.gov,,,,,,nancy.kramer@oregon.gov,,,http://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Legislative Committee,Legislative Committee,07/19/2013 10:00:00 AM,07/19/2013 11:00:00 AM,"421 SW Oak Street, 1st floor Oak Room 97204", Portland,OR,,,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,06/20/2015 09:00:00 AM,06/20/2015 12:00:00 PM,"To be determined, anticipate a location in N. Portland",Portland,OR,,Y,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,http://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,10/15/2016 09:00:00 AM,10/15/2016 12:00:00 PM,"Concordia University, 2811 NE Holman St., White Library Room 120, ZIP 97211", Portland,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,http://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,02/21/2015 09:00:00 AM,02/21/2015 12:00:00 PM,"PCC Cascade Campus, 705 N. Killingsworth St., Terrell Hall Room 201, ZIP 97217", Portland,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,http://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,12/05/2015 09:00:00 AM,12/05/2015 12:00:00 PM,"Portland Community College Cascade Campus, Terrell Hall Room 202, 705 N. Killingsworth St., ZIP 97217", Portland,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,http://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,06/22/2013 09:00:00 AM,06/22/2013 11:00:00 AM,"Oregon Civic Justice Center, Hearing Room, Willamette University, 790 State St. SE,  (97301) ", Salem,OR,,Yes,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,http://www.oregon.gov/OCBA/PDFs/Willamette%20University%20campus%20map.pdf,,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Legislative Committee Meeting,Legislative Committee Meeting,01/17/2014 09:00:00 AM,01/17/2014 10:00:00 AM,"Lincoln Building, 421 SW Oak Street, Oak Room, 1st floor, 97204", Portland,OR,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Legislative Meeting,Legislative Meeting,11/15/2013 09:00:00 AM,11/15/2013 12:00:00 PM,"Room 435, Willamette University College of Law, 245 Winter St. SE, ZIP code 97301", Portland,OR,,,Nancy Kramer,503 302 9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503 302 9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,12/03/2016 09:00:00 AM,12/03/2016 12:00:00 PM,"Concordia Univeristy, 2811 NE Holman St., White Library Room 120., ZIP 97211", Portland,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,http://www.oregon.gov/OCBA/Pages/meetings.aspx,,,
"Black Affairs, Commission on",Regular meeting,Regular meeting,06/16/2012 09:00:00 AM,06/16/2012 11:00:00 AM,"PCC Cascade, Terrell Hall rm 112, 705 N. Killingsworth St., Portland 97217", Portland,OR,"The meeting will cover elections for the 2012-2013 OCBA Officers of Chair and Vice Chair, Commissioner reports and other items of interest to the Commission. John Yasutake, Conciliation Specialist for the U.S. Department of Justice Community Relations Service, is an invited speaker.",Yes,Nancy Kramer,503 302 9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503 302 9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Advocacy Committee Meeting,Advocacy Committee Meeting,07/30/2013 04:00:00 PM,07/30/2013 05:30:00 PM,"200 SW Market St, 16th floor", Portland,OR,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Regular Meeting,Regular Meeting,06/21/2014 09:00:00 AM,06/21/2014 11:00:00 AM,"Center for Intercultural Organizing, 700 N. Killingsworth St., ZIP 97217", Portland,OR,Officer elections for Chair and Vice Chair will be held at this meeting.,Yes,Nancy Kramer,503.302.9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503.302.9725,nancy.kramer@oregon.gov,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Regular meeting,Regular meeting,08/18/2012 09:00:00 AM,08/18/2012 11:00:00 AM,"PCC Cascade, room to be announced, 705 N. Killingsworth St., Portland 97217", Portland,OR,,Yes,Nancy Kramer,503 302 9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503 302 9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Legislative Committee,Legislative Committee,09/20/2013 09:00:00 AM,09/20/2013 10:00:00 AM,"800 NE Oregon St., Room 612, Zip 97232", Portland,OR,,,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Black Affairs, Commission on",Legislative Committee Meeting,Legislative Committee Meeting,03/21/2014 09:00:00 AM,03/21/2014 10:00:00 AM,"800 NE Oregon St., Room 1A, ZIP 97232", Portland,OR,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
