"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,01/14/2021 08:30:00 AM,01/14/2021 10:30:00 AM,Microsoft Teams Meeting,Salem,OR,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara L. Caton,,tara.l.caton@odot.state.or.us,,,,,,,,,971-277-1965,882496482#,https://www.oregon.gov/odot/MCT/MCTAC%20Minutes/01-14-21_MCTACAgenda.pdf,,,,https://www.oregon.gov/odot/MCT/Pages/MCTAC.aspx,,,,
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,07/09/2020 08:30:00 AM,07/09/2020 10:30:00 AM,Teleconference,Salem,OR,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries",,Tara L. Caton,,tara.l.caton@odot.state.or.us,,,,,,,,,1-971-277-1965,937442643,https://www.oregon.gov/odot/MCT/MCTAC%20Minutes/July2020Agenda.pdf,,,,http://www.oregon.gov/odot/mct/pages/mctac.aspx,,,,
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,07/09/2020 08:30:00 AM,07/09/2020 10:30:00 AM,Teleconference,Salem,OR,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries",,Tara L. Caton,,tara.l.caton@odot.state.or.us,,,,,,,,,1-971-277-1965,937442643,https://www.oregon.gov/odot/MCT/MCTAC%20Minutes/July2020Agenda.pdf,,,,http://www.oregon.gov/odot/mct/pages/mctac.aspx,,,,
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,05/21/2020 09:00:00 AM,05/21/2020 10:30:00 AM,Skype Meeting, Salem,OR,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara L. Caton,,tara.l.caton@odot.state.or.us,,,,,,,,https://meet.lync.com/odot.state.or.us/tara.l.caton/W8NF57VF,1-971-277-1965,356038720,https://www.oregon.gov/odot/MCT/MCTAC%20Minutes/May2020Agenda.pdf,,,,https://www.oregon.gov/odot/mct/pages/mctac.aspx,,,,
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,03/12/2020 08:30:00 AM,03/12/2020 10:30:00 AM,3930 Fairview Industrial Dr. SE (2nd Floor - Ashland Conf. Rm.), Salem,OR,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara L. Caton,,tara.l.caton@odot.state.or.us,,,,,,,,,1-971-277-1965,985109371,https://www.oregon.gov/odot/MCT/MCTAC%20Minutes/March2020Agenda.pdf,,,,https://www.oregon.gov/odot/MCT/Pages/MCTAC.aspx,,,,
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,03/12/2020 08:30:00 AM,03/12/2020 10:30:00 AM,3930 Fairview Industrial Dr. SE (2nd Floor - Ashland Conf. Rm.), Salem,OR,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara L. Caton,,tara.l.caton@odot.state.or.us,,,,,,,,,1-971-277-1965,985109371,https://www.oregon.gov/odot/MCT/MCTAC%20Minutes/March2020Agenda.pdf,,,,https://www.oregon.gov/odot/MCT/Pages/MCTAC.aspx,,,,
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,01/09/2020 08:30:00 AM,01/09/2020 10:30:00 AM,3930 Fairview Industrial Dr. SE (2nd Floor - Ashland Conf. Rm.), Salem,OR,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara L. Caton,,tara.l.caton@odot.state.or.us,,,,,,,,https://meet.lync.com/odot.state.or.us/andrea.comer/QFFBLHMN,1-971-277-1965,985109371,https://www.oregon.gov/ODOT/MCT/MCTAC%20Minutes/January2020Agenda.pdf,,,,https://www.oregon.gov/odot/mct/pages/mctac.aspx,,,,
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,11/14/2019 08:30:00 AM,11/14/2019 11:30:00 PM,3930 Fairview Industrial Dr. SE (2nd Floor - Ashland Conf. Rm.), Salem,OR,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara L. Caton,,tara.l.caton@odot.state.or.us,,,,,,,,,1-888-204-5984,1401540##,https://www.oregon.gov/ODOT/MCT/MCTAC%20Minutes/November2019Agenda.pdf,,,,https://www.oregon.gov/ODOT/MCT/Pages/MCTAC.aspx,,,,
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,09/12/2019 08:30:00 AM,09/12/2019 11:30:00 AM,3930 Fairview Industrial Dr. SE (2nd Floor - Ashland Conf. Rm.), Salem,OR,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara L. Caton,,tara.l.caton@odot.state.or.us,,,,,,,,https://meet.lync.com/odot.state.or.us/tara.l.caton/DNL90BP6,1-888-204-5984,1401540##,,,,,https://www.oregon.gov/odot/mct/pages/mctac.aspx,,,,
Transportation Department,Motor Carrier Transportation Advisory Committee,Panel of state government and industry representatives,07/11/2019 08:30:00 AM,07/11/2019 11:30:00 AM,3930 Fairview Industrial Dr. SE (2nd Floor - Ashland Conf. Rm.), Salem,OR,"The committee is made up of representatives from the Oregon Department of Transportation, Oregon State Police, the trucking industry, and related industries.",,Tara L. Caton,,tara.l.caton@odot.state.or.us,,,,,,,,,1-888-204-5984,1401540##,https://www.oregon.gov/ODOT/MCT/MCTAC%20Minutes/July2019Agenda.pdf,,,,https://www.oregon.gov/ODOT/MCT/Pages/MCTAC.aspx,,,,
