"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
Agriculture Board,State Board of Agriculture,Quarterly meeting of the State Board of Agriculture,03/06/2012 11:00:00 AM,03/07/2012 04:00:00 PM,Oregon Department of Agriculture, Salem,OR,,"10:15 a.m. on Wednesday, March 7",Sherry Kudna,503-986-4619,skudna@oda.state.or.us,http://www.oregon.gov/ODA/boardoverview.shtml,,http://www.oregon.gov/ODA/meetings.shtml,Sherry Kudna,503-986-4619,skudna@oda.state.or.us,,,,http://www.oregon.gov/ODA/docs/pdf/120306bd_agenda.pdf,,,,
Agriculture Department,PARC Board Meeting,Pesticide Analytical Response Center (PARC),03/21/2012 09:00:00 AM,03/21/2012 12:00:00 PM,800 NE Oregon St RM 1E, Portland,OR,,,Jessica Haavisto,503-986-4562,jhaavisto@oda.state.or.us,,,,,,,,,,http://www.oregon.gov/ODA/PEST/docs/pdf/parcdraftagenda.pdf,,,,
Agriculture Department,Notice of Proposed Rulemaking Hearing,Imported Firewood Proposed Rulemaking Hearing,03/15/2012 11:00:00 AM,,"Oregon Dept of Agriculture, Basement Hearings Rm., 635 Capitol Street NE", Salem,OR,"Proposed rule hearing to Establish treatment and labeling requirements for firewood imported from outside the Pacific Northwest
Last day submit comments is 3/31/12 send sgooch@oda.state.or.us
Request a copy of proposed rule from tberg@oda.state.or.us",yes until 3/31/12 ,Tristen Berg,503-986-4660,tberg@oda.state.or.us,,,,,,,,,,,,,,
Agriculture Department,Oregon Soil and Water Conservation Commission Quarterly Meeting,SWCC quarterly meeting,01/31/2012 08:00:00 AM,01/31/2012 05:00:00 PM,"650 Hawthorne Ave. SE, Suite 130, Salem, OR  97301", Salem,OR,"The Oregon Soil and Water Conservation Commission (SWCC) will hold its quarterly meeting Tuesday, January 31, 2012, from 8:00 a.m. to 5:00 p.m. The meeting will be held at the Marion SWCD Conference Room located at 650 Hawthorne Ave. SE, Suite 130, Salem, OR 97301. The meeting agenda covers SWCC reports and strategic plan, advisor reports, updates on Soil and Water Conservation District programs and funding, and other agenda items.
  
The Oregon Department of Agriculture complies with the Americans with Disabilities Act (ADA). If you need special accommodations to participate in this meeting, please contact Heather Rickenbach at (503) 986-4775, at least 72 hours prior to the meeting.",,Heather Rickenbach,503 986-4775,hrickenbach@oda.state.or.us,,,,Heather Rickenbach,503 986-4775,hrickenbach@oda.state.or.us,,,,,"650 Hawthorne Ave. Suite 130 Salem OR Salem OR, SE 97301
(44.92247998554, -122.994973832742)",21,11,2409
Agriculture Department,Oregon State Weed Board,Quarterly Winter Meeting,02/23/2012 08:30:00 AM,02/23/2012 12:00:00 PM,"Oregon Department of State Lands Meeting Room, 775 Summer Street NE", Salem,OR,,yes 10:30 am,Jo Davis,503-986-4757,jdavis@oda.state.or.us,,,,,,,,,,http://egov.oregon.gov/ODA/PLANT/WEEDS/agenda.shtml,,,,
Agriculture Department,Oregon State Weed Board,Quarterly Winter Meeting,02/22/2012 08:00:00 AM,02/22/2012 05:00:00 PM,"Oregon Department of State Lands Meeting Room, 775 Summer Street NE", Salem,OR,,yes,Jo Davis,503-986-4757,jdavis@oda.state.or.us,,,,Jo Davis,503-986-4757,jdavis@oda.state.or.us,,,,http://egov.oregon.gov/ODA/PLANT/WEEDS/agenda.shtml,,,,
"Albacore Commission, Oregon",Commission Meeting,General meeting of the commission,02/27/2012 10:00:00 AM,02/27/2012 04:00:00 PM,U.S. Fish & Wildlife (Conf. Room) 2127 SE Marine Drive, Newport,OR,,Yes,Nancy Fitzpatrick,541-994-2647,nanjfitz@gmail.com,,,,,,,,,,,,,,
"Beef Council, Oregon",Oregon Beef Council Meeting,February Meeting,02/20/2012 01:00:00 PM,02/20/2012 05:00:00 PM,"Salem Conference Center,", Salem,OR,"The Oregon Beef Council will hold a meeting on Monday, February 20th at the Salem Conference Center in Conjunction with the Oregon Dairy Farmers Annual Convention. 

The address is 201 Liberty Street S.E. Salem, Oregon 97301",,Julie Hoffman,503-274-2333,julie@orbeef.org,,,,,,,,,,,,,,
"Beef Council, Oregon",Oregon Beef Council Research Committee Meeting,Animal Science Research and Rangeland Research Proposals,02/20/2012 09:00:00 AM,02/20/2012 11:00:00 AM,"Salem Conference Center,", Salem,OR,"The Research Committees will be funding
proposals for research to be completed in the 2012-2013 fiscal year.",,Julie Hoffman,,julie@orbeef.org,,,,,,,,,,,,,,
"Black Affairs, Commission on",Regular Meeting,The meeting will cover topics of interest to the OCBA,03/17/2012 09:00:00 AM,03/17/2012 11:00:00 AM,"PCC Cascade, Terrell Hall Rm 112, 705 N. Killingsworth St., Portland 97217", Portland,OR,More info coming soon.,Yes,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,,,
