"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Land Conservation & Development Department,Land Conservation and Development Commission meeting,,11/17/2022 08:30:00 AM,11/18/2022 05:30:00 PM,Lincoln City,Lincoln City,OR,"View with YouTube.
https://www.youtube.com/user/oregonDLCD",,Casaria Taylor,,Casaria.TAYLOR@dlcd.oregon.gov,,,,,,,,,,,,,,,,,,,
Land Conservation & Development Department,Land Conservation and Development Commission meeting,,09/22/2022 08:30:00 AM,09/23/2022 05:30:00 PM,Best Western John Day,John Day,OR,"View with YouTube.
https://www.youtube.com/user/oregonDLCD",,Casaria Taylor,,Casaria.TAYLOR@dlcd.oregon.gov,,,,,,,true,,,,,,,,,,,,
Land Conservation & Development Department,Land Conservation and Development Commission (LCDC) meeting,,07/21/2022 08:30:00 AM,07/22/2022 05:00:00 PM,"Hybrid Meeting (Salem and Virtual) Basement Hearing Room, Department of Agriculture Building. 635 Capitol St NE, Salem, OR 97301​",Salem,OR,"Reminder: Climate Friendly and Equitable Communities Rulemaking: written comments will be accepted through 11:59 p.m. July 1, 2022. Email: esther.johnson@dlcd.oregon.gov​. Oral testimony will not be accepted at the meeting.​​

More information/links:
https://www.oregon.gov/lcd/Commission/Pages/Meetings.aspx",,Esther Johnson,,esther.johnson@dlcd.oregon.gov,,,,,,,,,,,,,,,,2022-07-LCDC-Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/d73179df-364e-4211-b4c0-492563375e26?download=true&filename=2022-07-LCDC-Agenda.pdf),,,
Land Conservation & Development Department,Land Conservation and Development Commission Meeting,Special hearing: Petition for Enforcement - City of Eugene,09/04/2019 10:00:00 AM,09/04/2019 12:00:00 PM,"Basement Hearing Room, 635 Capitol St. NE", Salem,OR,"The commission will decide whether there is good cause to proceed to a contested-case hearing regarding a petition for enforcement alleging the City of Eugene has failed to regulate or prohibit short-term rental uses in its R-1 low density housing zoning district. The commission will make a decision, based on whether there is good cause to either proceed to a contested-case hearing or deny the petition pursuant to OAR 660-045-0090(5) and (6). Only the Department of Land Conservation and Development and parties to the proceeding may present testimony during the good-cause hearing. (OAR 660-045-0090(2)).","Limited testimony will be accepted, as described above",Esther Kooistra,503-934-0045,esther.kooistra@state.or.us,,,,,,,,,,,https://www.oregon.gov/lcd/Commission/Documents/2019-09_Agenda_SpecialMtg.pdf,,,,,2019-08_Agenda_SpecialMtg.pdf (https://data.oregon.gov/views/gs36-7t8m/files/67a45e98-92df-4598-84ce-b5c7739127d0?download=true&filename=2019-08_Agenda_SpecialMtg.pdf),,,
Land Conservation & Development Department,Land Conservation and Development Commission (LCDC),,11/17/2016 08:00:00 AM,11/18/2016 05:00:00 PM,"Deschutes County Expo Center - North Sister Main Hall, 3800 SW Airport Way", Redmond,OR,,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://www.expo.deschutes.org/,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Land Conservation & Development Department,Land Conservation and Development Commission (LCDC),,09/22/2016 08:00:00 AM,09/23/2016 05:00:00 PM,"Agriculture Building - Basement Hearing Room, 635 Capitol St. NE", Salem,OR,,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Land Conservation & Development Department,Land Conservation and Development Commission (LCDC),,07/21/2016 08:00:00 AM,07/22/2016 05:00:00 PM,"Port of Morrow/Riverfront Center - Riverfront Room, 2 Marine Drive", Boardman,OR,,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://www.portofmorrow.com/contact.htm,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Land Conservation & Development Department,Land Conservation and Development Commission (LCDC),,05/19/2016 08:00:00 AM,05/20/2016 05:00:00 PM,"Linn County Fair & Expo Center, 3700 Knox Butte Rd", Albany,OR,,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://www.lcfairexpo.com/facilities.conference.html,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Land Conservation & Development Department,Land Conservation and Development Commission (LCDC),,03/10/2016 08:00:00 AM,03/11/2016 05:00:00 PM,"Curry County Event Center, 29392 Ellensburg Ave.", Gold Beach,OR,,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://www.curryfair.com/,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Land Conservation & Development Department,Land Conservation and Development Commission (LCDC),,01/13/2016 01:00:00 PM,01/14/2016 05:00:00 PM,"Medford Library, 205 South Central", Medford,OR,,Yes,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,http://jcls.org/,,Amie Abbott,503-934-0045,amie.abbott@state.or.us,,,,,http://www.oregon.gov/LCD/docs/meetings/lcdc/011416/Agenda_LCDC_Jan_2016.pdf,,,,http://www.oregon.gov/LCD/Pages/meetings.aspx#LCDC,,,,
Land Conservation & Development Commission,Land Conservation and Development Commission Meeting,November LCDC Meeting,11/16/2012 08:30:00 AM,,"Newberg, Location TBD", Newberg,OR,,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Land Conservation & Development Commission,Land Conservation and Development Commission Meeting,November LCDC Meeting,11/15/2012 08:30:00 AM,,"Newberg, Location TBD", Newberg,OR,,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Land Conservation & Development Commission,Land Conservation and Development Commission Meeting,November LCDC Meeting,11/14/2012 08:30:00 AM,,"Newberg, Location TBD", Newberg,OR,,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
Land Conservation & Development Commission,Land Conservation and Development Commission Meeting,September LCDC Meeting,09/21/2012 08:30:00 AM,,Salem or Independence, Salem,OR,,,Casaria Tuttle,,casaria.r.tuttle@state.or.us,,,,,,,,,,,,jon.dunsmore@state.or.us,,,,,,,
