"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Justice Department,Attorney General's Foreclosure Mediation Workgroup Meeting,The Attorney GeneralÛªs Foreclosure Mediation Workgroup is charged with developing guidelines for the foreclosure mediation program established under SB 1552,04/13/2012 01:30:00 PM,04/13/2012 03:30:00 PM,"Justice Building, Kulongoski Room, 1162 Court Street NE", Salem,OR,The Attorney General convened a 16-member Attorney General’s Foreclosure Mediation Workgroup to aid in the development of rules for administering the Foreclosure Mediation Program established under Senate Bill 1552 (2012). The April 13 meeting will include updates on the program budget and impending E-Board request and reports by workgroup subcommittees.,,Kate Medema,,kate.e.medema@doj.state.or.us,,,,,,,,,,,http://www.doj.state.or.us/consumer/pdf/workgroup_agenda_04-13-12.pdf,kate.e.medema@doj.state.or.us,,,,,,
Justice Department,SB 814 Environmental Claims Mediation Program - Advisory Committee Meeting,An Advisory Committee is being convened to assist the Attorney General with the rulemaking and contractor selection activities needed to implement this program.,03/06/2014 02:30:00 PM,03/06/2014 04:00:00 PM,"Kulongoski Room, Justice Building", Salem,OR,,Yes,"Mike Niemeyer, ADR Coordinator",,Mike.Niemeyer@doj.state.or.us,http://www.doj.state.or.us/adr/pages/environmental_claims.aspx,,,,,,,,,,,martin.altenhofen@doj.state.or.us,,,,,,
Justice Department,Oregon Attorney General's Public Records Law Reform Task Force,,12/16/2015 01:00:00 PM,12/16/2015 03:00:00 PM,"Oregon State Capitol, Room 343, 900 Court Street NE", Salem,OR,"Public attendance is welcome and encouraged.

Agenda and other materials will be added to this site once available.

Please note that public testimony will not be taken at this meeting.

The meeting location is accessible to persons with disabilities. Requests for accommodations for people with disabilities should be made at least 48 hours in advance. ",No,Michal Kron,503 378 6002,Michael.C.Kron@doj.state.or.us,,,,,,,,,,,,,,,,,,
Justice Department,Law Enforcement Profiling (HB 2002) Task Force,Subcommittee on Accountability & Monitoring,10/13/2015 01:00:00 PM,10/13/2015 03:00:00 PM,"1515 SW Fifth Avenue, Ste. 410", Portland,OR,Marquam Conference Room - 4th Floor,No - there will be future opportunity for public comment,Aaron Knott,,aaron.d.knott@doj.state.or.us,,,,Chrystal Bader,,chrystal.m.bader@doj.state.or.us,,,712-775-7031,622-624-527,,,,,,,,
Justice Department, Task Force on Profiling by Law Enforcement ,Public Hearing,11/05/2015 06:00:00 PM,11/05/2015 08:00:00 PM,"RCC/SOU Higher Education Center, 101 S. Bartlett, Room 129B", Medford,OR,"Attorney General Ellen Rosenblum will give a summary of the work of the Task Force followed by brief statements from attendees. She wants to hear from the community about how police profiling affects you and any suggestions you may have for the Task Force to consider. You may bring or send in written testimony instead of, or in addition to, your oral statement.  Please try to keep statements to no longer than five minutes. Thank you. 
 
Contact Sandi Lopez, sandi.lopez@doj.state.or.us or (503) 378-6002.  You may send your statement via email or U.S. mail to Department of Justice, Office of the Attorney General, re: Profiling Task Force; 1162 Court St NE, Salem, OR 97301.
 
The meeting location is accessible to persons with disabilities.  Please make requests for any special needs at least 48 hours in advance. Thank you.",Yes,Sandi Lopez,503 378 6002,sandi.lopez@doj.state.or.us,,,,Sandi Lopez,503 378 6002,sandi.lopez@doj.state.or.us,,,,,,,,,,,,
Justice Department,SB 814 Environmental Claims Mediation Program - Advisory Committee Meeting,An Advisory Committee is being convened to assist the Attorney General with the rulemaking and contractor selection activities needed to implement this program.,04/28/2014 02:30:00 PM,04/28/2014 04:00:00 PM,"Kulongoski Room, Justice Building", Salem,OR,,Yes,"Mike Niemeyer, ADR Coordinator ",,Mike.Niemeyer@doj.state.or.us,http://www.doj.state.or.us/adr/pages/environmental_claims.aspx,,,,,,,,,,,martin.altenhofen@doj.state.or.us,,,,,,
Justice Department,Law Enforcement Profiling Work Group Public Meeting,"The Law Enforcement Profiling Work Group was established by House Bill 2002, and signed into law by Governor Kate Brown on July 13, 2015.  The work group was created to propose ways to detect pattersn of improper profiling, and to help eliminate the practice.",09/21/2015 10:00:00 AM,09/21/2015 01:00:00 PM,Spinnaker Plaza - 2250 McGilchrist Street SE, Salem,OR,"Crater Conference Room - 4th Floor
Please check in with reception to be escorted to 4th floor.",,Aaron Knott,,aaron.d.knott@doj.state.or.us,,,,Chrystal Bader,,,,,,,,,,,,,,
Justice Department,Law Enforcement Profiling Work Group,"The Law Enforcement Profiling Work Group was established by House Bill 2002, and signed into law by Governor Kate Brown on July 13, 2015. The work group was created to propose ways to detect patterns of improper profiling, and to help eliminate the practice.",10/14/2015 09:00:00 AM,10/14/2015 12:00:00 PM,2250 McGilchrist St. SE, Salem,OR,Crater Conference Room - 4th Floor,No - there will be a future opportunity for public comment,Aaron Knott,,aaron.d.knott@doj.state.or.us,,,,Chrystal Bader,,chrystal.m.bader@doj.state.or.us,,,712-775-7031,622-624-527,,,,,,,,
Justice Department,SB 814 Environmental Claims Mediation Program - Advisory Committee Meeting,An Advisory Committee is being convened to assist the Attorney General with the rulemaking and contractor selection activities needed to implement this program. ,01/23/2014 02:30:00 PM,01/23/2014 04:00:00 PM,"Kulongoski Room, Justice Building", Salem,OR,,Yes,"Mike Niemeyer, ADR Coordinator",,Mike.Niemeyer@doj.state.or.us,http://www.doj.state.or.us/adr/pages/environmental_claims.aspx,,,,,,,,,,,martin.altenhofen@doj.state.or.us,,,,,,
Justice Department,HB 2002 Task Force on Law Enforcement Profiling,Subcommittee on Data,10/02/2015 02:00:00 PM,10/02/2015 04:00:00 PM,"1515 SW Fifth Avenue, Suite 410", Portland,OR,Marquam Conference Room - 4th Floor,,Aaron Knott,,aaron.d.knott@doj.state.or.us,,,,,,,,,712-775-7031,622-624-527,,,,,,,,
