"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Early Learning Council,Healthy Families Oregon (HFO) Sub Committee (workgroup),Subcommittee (work group) of the Best Beginnings HFO Advisory ,09/14/2017 01:00:00 PM,09/14/2017 04:00:00 PM,"Children's Institute-1411 SW Morrison Street, Suite 205", Portland,OR,This work group will be reviewing Standards 6 - 12,,Linda P Jones,5033730004,linda.p.jones@state.or.us,,,,,,,,,1-712-832-8310,273586#,,,,,,,,
Early Learning Council,"Measuring Success Committee December 6, 2017 Meeting",,12/06/2017 01:00:00 PM,12/06/2017 03:00:00 PM,255 Capitol St NE - Public Service Building - 4th Floor - Room 430, Salem,OR,,,Linda Jones,5033730004,linda.p.jones@state.or.us,,,,,,,true,https://global.gotomeeting.com/join/462409077,888-585-9008,719660767,,,,,,,,
Early Learning Council,Measuring Success February Meeting,,02/24/2017 09:30:00 AM,02/24/2017 11:30:00 AM,"3030 SW Moody Ave, Room 250C", Portland,OR,,,Linda Jones,,linda.p.jones@state.or.us,,,,,,,true,https://global.gotomeeting.com/join/493758357 (https://global.gotomeeting.com/join/493758357%20),1 888 585 9008,719660767,,,,,https://oregonearlylearning.com/public-meetings/measuring-success-committee/,,,
Early Learning Council,Best Beginnings Committee - May 2017 Meeting,,05/18/2017 01:30:00 PM,05/18/2017 04:30:00 PM,"OCDC - 9140 SW Pioneer Ct E, Training Room 2",Wilsonville,OR,,yes,Linda Jones,503-373-0004,linda.p.jones@state.or.us,,,,,,,,,1-877-810-9415,917134,,,,,,,,
Early Learning Council,"Measuring Success Committee September 6, 2017",,09/06/2017 01:00:00 PM,09/06/2017 03:00:00 PM,"OCDC - 9140 W Pioneer Ct, Training Room 2", Wilsonville,OR,,,Linda P Jones,5033730004,linda.p.jones@state.or.us,,,,,,,true,https://global.gotomeeting.com/join/980945773 (https://global.gotomeeting.com/join/980945773%20),1-888-585-9008,719-660-767,,,,,,,,
Early Learning Council,Measuring Success Committee May 2017 Meeting,,05/10/2017 01:00:00 PM,05/10/2017 04:00:00 PM,"9140 SW Pioneer Ct, Suite E", Wilsonville,OR,,,Linda Jones,,linda.p.jones@state.or.us,,,,,,,true,https://global.gotomeeting.com/join/684186053,888-585-9008,719660767,,,,,https://oregonearlylearning.com/meeting/meetingmeasuring-success-committee-may-10-2017/,,,
Early Learning Council,"Measuring Success Committee Meeting - September 6, 2017",,09/06/2017 01:00:00 PM,09/06/2017 03:00:00 PM,"OCDC, Training Room 2, 9140 Pioneer Ct, Suite E", Wilsonville,OR,,,Linda Jones,503-373-0004,linda.p.jones@state.or.us,,,,,,,true,,,,https://oregonearlylearning.com/meeting/meetingmeasuring-success-committee-september-6-2017/,,,,,,,
Early Learning Council,"Measuring Success Committee April 5, 2017 meeting",,04/05/2017 01:00:00 PM,04/05/2017 04:00:00 PM,"OCDC - 9140 SW Pioneer Ct, Training Room 2", Wilsonville,OR,,yes,Linda P Jones,5033730004,linda.p.jones@state.or.us,,,,,,,true,https://global.gotomeeting.com/join/858138317 (https://global.gotomeeting.com/join/858138317%20%20),,1-888-585-9008; 719660767 ,,,,,,,,
Early Learning Council,"Child Care and Education Committee - April 13, 2017",,04/13/2017 01:00:00 PM,04/13/2017 03:00:00 PM,Virtual Meeting, Salem,OR,,Yes,Cassandra Ferder,,cassandra.l.ferder@state.or.us,,,,,,,true,https://global.gotomeeting.com/join/225746709,1 866 899 4679,225-746-709,https://oregonearlylearning.com/public-meetings/child-care-education-committee/,,,,,,,
Early Learning Council,Equity Implementation Committee September 2017 Meeting,,09/19/2017 09:30:00 AM,09/19/2017 11:45:00 AM,Education Northwest - 101 SW Main St - Suite 500 (fifth floor),Portland,OR,"A virtual link will be posted on our website one week prior to the meeting.

Lot in the basement of the building, enter on 2nd Ave, automated parking with a credit card.
Smart Park SW Jefferson St between 1st and 2nd Ave. Enter on Jefferson St.",Yes,Sharon Kraw,503-373-1044,sharon.kraw@ode.state.or.us,,,,,,,true,,Link will be posted on our website one week prior.,,,,,,https://oregonearlylearning.com/equity-implementation,,,
Early Learning Council,"Measuring Success Committee June 7, 2017 meeting",,06/07/2017 01:00:00 PM,06/07/2017 03:00:00 PM,"OCDC - 9140 W Pioneer Ct, Training Room 2", Wilsonville,OR,,,Linda P Jones,5033730004,linda.p.jones@state.or.us,,,,,,,true,https://global.gotomeeting.com/join/386161269,1-888-585-9008,719660767,,,,,,,,
Early Learning Council,"Measuring Success Committee - January 31, 2017",,01/31/2017 01:00:00 PM,01/31/2017 03:00:00 PM,"Oregon State Library 250 Winter St NE, Room 103", Salem,OR,,,Linda Jones,503-373-0004,linda.p.jones@state.or.us,,,,,,,true,https://global.gotomeeting.com/join/453313757 (https://global.gotomeeting.com/join/453313757%20),888-585-9008, 719660767,,,,,,,,
Early Learning Council,"Best Beginnings September 21, 2017 meeting",,09/21/2017 01:00:00 PM,09/21/2017 04:30:00 PM,"OCDC - 9140 W Pioneer Ct, Training Room 2", Wilsonville,OR,,yes,Linda P Jones,5033730004,linda.p.jones@state.or.us,,,,,,,,,1-877-810-9415,917134,,,,,,,,
Early Learning Council,"Early Learning Council Meeting - June 22, 2017",,06/22/2017 09:00:00 AM,06/22/2017 04:00:00 PM,"775 Summer St NE, Room 201", Salem,OR,,Yes,Alyssa Chatterjee,,alyssa.chatterjee@state.or.us,,,,,,,true,https://livestream.com/accounts/5476400/EarlyLearningCouncil,,,https://oregonearlylearning.com/meeting/meetingearly-learning-council-meetings-june-22-2017/,,,,,,,
Early Learning Council,Early Learning Council - November 2017 Meeting,,11/16/2017 09:00:00 AM,11/16/2017 03:30:00 PM,Sheraton Portland Airport Hotel - Room TBD 8235 NE Airport Way, Portland,OR,,Yes,Alyssa Chatterjee,971-701-1535,alyssa.chatterjee@state.or.us,,,https://oregonearlylearning.com/early-learning-council/meeting-calendar/?term=82,,,,true,https://livestream.com/accounts/5476400/EarlyLearningCouncil,,,,,,,,,,
Early Learning Council,Equity Implementation Committee January 2018 Meeting,,01/16/2018 09:30:00 AM,01/16/2018 11:45:00 AM,Virtual Meeting via GoToMeeting Link,Salem,OR,The meeting GoToMeeting link will be posted on our website prior to the meeting.,Yes,Sharon Kraw,503-373-1044,sharon.kraw@ode.state.or.us,,,,,,,,,Will be posted on our website,,,,,,https://oregonearlylearning.com/equity-implementation,,,
Early Learning Council,Equity Implementation Committee November 2017 Meeting,,11/21/2017 09:30:00 AM,11/21/2017 11:45:00 AM,"Education Northwest, 101 SW Main St #500", Portland,OR,,Yes,Sharon Kraw,503-373-1044,sharon.kraw@state.or.us,,,,,,,,https://global.gotomeeting.com/join/277806181 (https://global.gotomeeting.com/join/277806181%20),1-877-309-2073,277-806-181,,,,,https://oregonearlylearning.com/equity-implementation,,,
Early Learning Council,"Best Beginnings - January 19, 2017 Meeting",,01/19/2017 01:00:00 PM,01/19/2017 04:00:00 PM,"9140 W Pioneer Court, Training Room 2", Wilsonville,OR,,yes,Linda Jones,503-373-0004,linda.p.jones@state.or.us,,,,,,,,,1-877-810-9415,917134,,,,,,,,
Early Learning Council,"Equity Implementation Committee - April 18, 2017",,04/18/2017 09:00:00 AM,04/18/2017 11:00:00 AM,webinar, Salem,OR,,,Sharon Kraw,,sharon.kraw@state.or.us,,,,,,,true,https://global.gotomeeting.com/join/631953517 (https://global.gotomeeting.com/join/631953517%20),1 877 568 4106,631-953-517 ,https://oregonearlylearning.com/equity-implementation#calendare2b0-5b8f,,,,,,,
Early Learning Council,Child Care and Education Committee Meeting,,11/09/2017 01:00:00 PM,11/09/2017 03:00:00 PM,Virtual Meeting, Salem,OR,"Join : https://zoom.us/j/412661763

Or Telephone&#65306;1 408 638 0968  
Meeting ID: 412 661 763
",Yes,Cassandra Ferder,,cassandra.l.ferder@state.or.us,,,,,,,,,,,,,,,https://oregonearlylearning.com/child-care-education,,,
Early Learning Council,CCEC Meeting December 2017,,12/14/2017 01:00:00 PM,12/14/2017 03:00:00 PM,Virtual Meeting,Salem,OR,"Link: https://zoom.us/j/293966852
Phone:  +1 408 638 0968 
Meeting ID: 293 966 852
",Yes,Cassandra Ferder,,cassandra.l.ferder@ode.state.or.us,,,,,,,,https://zoom.us/j/293966852,+1 408 638 0968,293 966 852,,,,,https://oregonearlylearning.com/early-learning-council/meeting-calendar/?term=87,,,
Early Learning Council,"Child Care & Education Committee - June 8, 2017",,06/08/2017 09:00:00 AM,06/08/2017 03:00:00 PM,"Roth's Founder's Room,1130 Wallace Rd NW", Salem,OR,,Yes,Cassandra Ferder,,cassandra.l.ferder@state.or.us,,,,,,,true,https://zoom.us/j/926254167,1 408 638 0968,926 254 167,https://oregonearlylearning.com/child-care-education#calendar6177-6bbb,,,,,,,
