"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
"Energy, Department of",Small-Scale Renewable Energy Study Workshop #4,,07/28/2022 09:00:00 AM,07/28/2022 02:00:00 PM,Virtual,Salem,OR,,,ODOE,,askenergy@oregon.gov,,,,,,,,,,,,,,,https://www.oregon.gov/energy/Data-and-Reports/Pages/SSREP-Study.aspx,,,,
"Energy, Department of",Small-Scale Renewable Energy Projects Study Workshop #3,,06/28/2022 09:00:00 AM,06/28/2022 01:00:00 PM,Virtual,Salem,OR,,,ODOE,,askenergy@oregon.gov,,,,,,,,,,,,,,,https://www.oregon.gov/energy/Data-and-Reports/Pages/SSREP-Study.aspx,,,,
"Energy, Department of",Energy Facility Siting Council Meeting,,06/23/2022 05:00:00 PM,06/24/2022 05:00:00 PM,Virtual,Salem,OR,,,Nancy Hatch,,nancy.hatch@energy.oregon.gov,,,,,,,,,,,,,,,https://www.oregon.gov/energy/Get-Involved/Pages/Energy-Code-Stakeholder-Panel.aspx,,,,
"Energy, Department of",Energy Code Stakeholder Panel Meeting,,06/14/2022 01:30:00 PM,06/14/2022 03:00:00 PM,Virtual,Salem,OR,,,ODOE,,askenergy@oregon.gov,,,,,,,,,,,,,,,https://www.oregon.gov/energy/Get-Involved/Pages/Energy-Code-Stakeholder-Panel.aspx,,,,
"Energy, Department of",Small-Scale Renewable Energy Projects Study Workshop #2,,06/03/2022 09:00:00 AM,06/03/2022 01:00:00 PM,Virtual,Salem,OR,,,ODOE,,askenergy@oregon.gov,,,,,,,,,,,,,,,https://www.google.com/url?q=https://www.oregon.gov/energy/Data-and-Reports/Pages/SSREP-Study.aspx&sa=D&source=calendar&usd=2&usg=AOvVaw2aTb4asAquN5Z5SsGejSwt,,,,
"Energy, Department of",Energy Facility Siting Council Meeting,,05/26/2022 05:00:00 PM,05/27/2022 05:00:00 PM,Virtual,Pendleton,OR,,,Nancy Hatch,,nancy.hatch@energy.oregon.gov,,,,,,,,,,,,,,,https://www.google.com/url?q=https://www.oregon.gov/energy/facilities-safety/facilities/Pages/Council-Meetings.aspx&sa=D&source=calendar&usd=2&usg=AOvVaw06yH09UoM-oNvhdVvIk6kS,,,,
"Energy, Department of",Community Renewable Energy Grant Program Advisory Committee Meeting,,05/20/2022 09:00:00 AM,05/20/2022 10:00:00 AM,Virtual,Salem,OR,,,ODOE,,askenergy@oregon.gov,,,,,,,,,,,,,,,https://www.oregon.gov/energy/Get-Involved/Pages/CREP-Advisory-Committee.aspx,,,,
"Energy, Department of",Floating Offshore Wind Study - Public Meeting,,05/11/2022 05:30:00 PM,05/11/2022 07:30:00 PM,The Mill Casino,North Bend,OR,,,Jason Sierman,,jason.sierman@energy.oregon.gov,,,,,,,,,,,,,,,https://www.oregon.gov/energy/energy-oregon/Pages/fosw.aspx,,,,
"Energy, Department of",Oregon Hanford Cleanup Board,,05/02/2022 08:00:00 AM,05/02/2022 02:00:00 PM,Virtual,Salem,OR,,,Mark Reese,,Mark.Reese@energy.oregon.gov,,,,,,,,,,,,,,,https://www.oregon.gov/energy/safety-resiliency/Pages/OHCB-Meetings.aspx,,,,
"Energy, Department of",Small-Scale Renewable Energy Projects Study Workshop #1,,04/28/2022 09:00:00 AM,04/28/2022 01:00:00 PM,Virtual,Salem,OR,,,ODOE,,askenergy@oregon.gov,,,,,,,,,,,,,,,https://www.oregon.gov/energy/Data-and-Reports/Pages/SSREP-Study.aspx,,,,
