"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
"Asian and Pacific Islander Affairs, Commission on",Regular Meeting,,11/15/2019 12:15:00 PM,11/15/2019 01:15:00 PM,"200 SW Market Street, Suite 1900 (Bullard Law office), ZIP 97201", Portland,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,https://www.oregon.gov/OCAPIA/Pages/calendar_of_events.aspx,,,
"Asian and Pacific Islander Affairs, Commission on",Regular Meeting,,01/15/2020 09:30:00 AM,01/15/2020 12:00:00 PM,Oregon State Bar - Sandy Room - 16037 SW Upper Boones Ferry Road, Tigard,OR,,Yes,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,,,,,,https://www.oregon.gov/OCAPIA/Pages/calendar_of_events.aspx,,,
"Asian and Pacific Islander Affairs, Commission on",Regular Meeting,,03/18/2020 09:30:00 AM,03/18/2020 12:00:00 PM,"NEW LOCATION: 421 SW Oak St., Suite 770, ZIP 97204", Portland,OR,,Yes,Nancy Kramer,5033029725,nancy.kramer@oregon.gov,,,,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,,,,,,https://www.oregon.gov/OCAPIA/Pages/calendar_of_events.aspx,,,
"Asian and Pacific Islander Affairs, Commission on",Regular Meeting,,05/20/2020 09:30:00 AM,05/20/2020 12:00:00 PM,Oregon State Bar - Sandy Room - 16037 SW Upper Boones Ferry Road, Tigard,OR,,Yes,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,,,,,,https://www.oregon.gov/OCAPIA/Pages/calendar_of_events.aspx,,,
"Asian and Pacific Islander Affairs, Commission on",Regular Meeting,,11/18/2020 09:30:00 AM,11/18/2020 12:00:00 PM,Zoom: https://us02web.zoom.us/j/81995865932?pwd=Rys3aFFvK0lhUWpjMnN0a3BZR3Q1Zz09, Tigard,OR,,Yes,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,,,,,,https://www.oregon.gov/OCAPIA/Pages/calendar_of_events.aspx,,,
"Asian and Pacific Islander Affairs, Commission on",Regular Meeting - virtual only,,07/15/2020 09:30:00 AM,07/15/2020 12:00:00 PM,https://us02web.zoom.us/j/86760671042?pwd=UFR2M2V5aU9Ndkc3YVVTR1BRVHB4QT09,Portland,OR,,Yes,Nancy Kramer,5033029725,nancy.kramer@oregon.gov,,,,Nancy Kramer,(503) 302-9725,nancy.kramer@oregon.gov,,,,,,,,,https://www.oregon.gov/oac/ocapia/Pages/meetings-OCAPIA.aspx,,,
"Asian and Pacific Islander Affairs, Commission on",Regular Meeting,Regular Meeting,09/17/2014 09:30:00 AM,09/17/2014 12:00:00 PM,"OS Bar, Sandy Meeting Room, 16037 SW Upper Boones Ferry Rd., Tigard OR 97224", Tigard,OR,,Yes,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,Nancy Kramer,503-302-9725,nancy.kramer@oregon.gov,,,,,,,,,http://www.oregon.gov/OCAPIA/Pages/calendar_of_events.aspx,,,
"Asian and Pacific Islander Affairs, Commission on",Regular meeting,Regular meeting,03/19/2014 10:00:00 AM,03/19/2014 12:00:00 PM,"Oregon State Bar, Oregon State Bar, 16037 SW Upper Boones Ferry Rd., 97224", Tigard,OR,,Yes,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Asian and Pacific Islander Affairs, Commission on",Regular meeting,Regular meeting,07/16/2014 09:30:00 AM,07/16/2014 12:00:00 PM,"Oregon State Bar, Sandy Meeting Room, 16037 SW Upper Boones Ferry Rd., ZIP 97224", Tigard,OR,,Yes,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503.302.9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
"Asian and Pacific Islander Affairs, Commission on",Regular Meeting,Regular Meeting,01/23/2012 09:00:00 AM,01/23/2012 12:00:00 PM,"800 NE Oregon St., Room 918, Portland OR 97232", Portland,OR,,,Nancy Kramer,503 302 9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503 302 9725,nancy.kramer@state.or.us,,,,,,nancy.kramer@state.or.us,,,,,,
