"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Accountancy State Board,Work Session,Review Rule and Policy Changes,06/01/2014 08:30:00 AM,06/01/2014 03:00:00 PM,"BOA Office, 2nd Floor Conference Room", Salem,OR,,,Kimberly Fast,503-378-2268,kimberly.fast@oregon.gov,,,,,,,,,,,,kimberly.sisk@state.or.us,https://data.oregon.gov/views/dvfy-gbe4/files/ttgTwOcsCmkmYVNyZfWDu_07Os1tj3C-KUMXG1Ca_nY?filename=application%2Fpdf%3B+charset%3Dbinary,,,,,
Administrative Services Department,HB 2667 Task Force,Task Force on Procuring Through Small and Local Business ,06/24/2014 09:30:00 AM,06/24/2014 11:30:00 AM,State Capitol Building | Hearing Room C | 900 Court St. NE, Salem,OR,,,SummerLWarner,,summer.l.warner@state.or.us,,,,,,,,,,,http://www.oregon.gov/DAS/HB2667_TaskForce/062414%20Agenda.pdf,summer.l.warner@state.or.us,https://data.oregon.gov/views/dvfy-gbe4/files/SYUkMrUwBr7uxUt4D40ocrDKaagXEKtSnurg61RL5h8?filename=application%2Fpdf%3B+charset%3Dbinary,,,,,
Administrative Services Department,Task Force on Transportation and Customer Service Efficiency,Study the efficiency of customer services provided by DMV field offices. ,06/23/2014 02:00:00 PM,06/23/2014 04:00:00 PM,Hearing Room E | Oregon State Capitol (900 Court St. NE), Salem,OR,,,Robert Underwood,,robert.underwood@oregon.gov,http://www.oregon.gov/DAS/Pages/HB4047_TaskForce.aspx,,,,,,,,,,,summer.l.warner@state.or.us,https://data.oregon.gov/views/dvfy-gbe4/files/Vgas2uRnXQCGPxl6Krmvvq-pWwHgnV7KU_A2uuLglr8?filename=application%2Fpdf%3B+charset%3Dbinary,,,,,
Administrative Services Department,HB 2345 Oregon Innovation in Infrastructure Task Force ,Meeting of the HB 2345 Task Force,01/23/2014 10:30:00 AM,01/23/2014 12:00:00 PM,"811 SW 6th Avenue, 10th Floor, Conference Room EQC-A", Portland,OR,,Yes,Erin Dimmitt,503-229-5372,dimmitt.erin@deq.state.or.us,,,,,,,,,1-888-251-2909,3286224#,,dimmitt.erin@deq.state.or.us,,,,,,
Administrative Services Department,Task force on procuring through small and local business,"Task force studying procurement for minority-owned, women-owned or emergin small businesses in the state.",06/13/2014 10:00:00 AM,06/13/2014 11:00:00 AM,Hearing Room C | Oregon State Capitol (900 Court St. NE), Salem,OR,,,SummerLWarner,503-378-2627,summer.l.warner@state.or.us,http://www.oregon.gov/DAS/Pages/HB2667_TaskForce.aspx,,,,,,,,,,,summer.l.warner@state.or.us,https://data.oregon.gov/views/dvfy-gbe4/files/uJXVPLaeUpX8M-zxUw2JsqbQXG7W67o8WPQkfAye86A?filename=application%2Fpdf%3B+charset%3Dbinary,,,,,
Agriculture Board,State Board of Agriculture,Quarterly Board Meeting,02/18/2014 12:00:00 AM,02/20/2014 12:00:00 AM,Agriculture Building, Salem,OR,,,Sherry Kudna,,sherry.a.kudna@state.or.us,,,,,,,,,,,,sean.k.fornelli@state.or.us,,,,,,
Agriculture Board,State Board of Agriculture,Quarterly meeting of the board of agriculture.,06/03/2014 12:00:00 AM,06/05/2014 12:00:00 AM,TBD, Tillamook,OR,,,Sherry Kudna,,sherry.a.kudna@state.or.us,,,,,,,,,,,,sean.k.fornelli@state.or.us,,,,,,
Agriculture Department,Oregon Invasive Species Council Meeting,Oregon Invasive Species Council Winter Meeting,02/24/2014 08:00:00 AM,02/25/2014 12:00:00 PM,"Portland State University, Smith Memorial Student Union, 1825 SW Broadway", Portland,OR,"Updates and Decisions-
Finances
Chair Rotation: decide on process for chair rotation
Membership: decide on desired outcomes and process for recruitment
Awards:  decide on process
Legislative Session: draft/discuss ideas for the 2014 legislative session.
External Review: decide whether or not to proceed
iMapInvasives:  decide whether or not to continue participation 
Communications strategy:  decide on next steps
Advisory committee:  decide on purpose, potential, next steps
100 worst:  agree to list for 2014; decide on next steps

Presentations &#10148; Increased Understanding-
Council Member Updates 
Consumer Perception - marketing approach/feral cats
iMap Invasives
Tunicates
Green Crabs
Shipping and Transport of Invasive Species",Yes,Carolyn M. Devine,503-704-2159,oisc@oregoninvasivespeciescouncil.org,,,,Carolyn M. Devine,503-704-2159,oisc@oregoninvasivespeciescouncil.org,,,,,http://www.oregon.gov/OISC/Pages/index.aspx,tristen.l.berg@state.or.us,,,,,,
Agriculture Department,Oregon Soil and Water Conservation Commission Quarterly Meeting,SWCC quarterly meeting,04/21/2014 12:00:00 PM,04/22/2014 12:00:00 PM,"Willow Lake Water Pollution Control Facility, 5915 Windsor Island Road", Keizer,OR,"The Oregon Soil and Water Conservation Commission (SWCC) will hold its regular quarterly meeting Monday, April 21, 2014, from 12:00 p.m. to 5:00 p.m. and Tuesday, April 22, 2014, from 8:30 a.m. to 12:00 p.m. at the Willow Lake Water Pollution Control Facility located at 5915 Windsor Island Road N., Keizer, OR 97303. The meeting agenda covers SWCC reports, advisor reports, Soil and Water Conservation District programs and funding, Agriculture Water Quality Management Program updates, and other agenda items.
  
The Oregon Department of Agriculture complies with the Americans with Disabilities Act (ADA). If you need special accommodations to participate in this meeting, please contact Heather Rickenbach at (503) 986-4775, at least 72 hours prior to the meeting.",Yes,Heather Rickenbach,,heather.rickenbach@state.or.us,,,,Heather Rickenbach,503-986-4775,heather.rickenbach@state.or.us,,,,,,heather.rickenbach@state.or.us,,,http://www.oregon.gov/ODA/SWCD/Pages/swcc.aspx,,,
Agriculture Department,Oregon Soil and Water Conservation Commission Quarterly Meeting,SWCC quarterly meeting,02/10/2014 12:00:00 PM,02/11/2014 12:00:00 PM,"Willow Lake Water Pollution Control Facility, 5915 Windsor Island Rd., Keizer, OR 97303", Keizer,OR,"The Oregon Soil and Water Conservation Commission (SWCC) will hold its regular quarterly meeting Monday, February 10, 2014, from 12:00 pm to 5:00 pm, and Tuesday, February 11, 2014, from 8:30 am to 12:00 pm. The meeting agenda covers SWCC reports, advisor reports, district programs and funding, Agriculture Water Quality Program updates, and other agenda items. ODA complies with the Americans with Disability Act (ADA). If you need special accommodations to participate in this meeting, please contact Heather Rickenbach at (503) 986-4775, at least 72 hours prior to the meeting.",Yes,Heather Rickenbach,503-986-4775,heather.rickenbach@state.or.us,,,,Heather Rickenbach,503-986-4775,heather.rickenbach@state.or.us,,,,,,heather.rickenbach@state.or.us,,,http://www.oregon.gov/ODA/SWCD/Pages/swcc.aspx,,,
