"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Construction Contractors Board,CCB Board Meeting,,02/19/2020 09:30:00 AM,02/19/2020 12:30:00 PM,"201 High Street, 1st Floor Hearings Room",OR - Oregon,OR,,Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,,,,,,,,,,
Construction Contractors Board,CCB Board Meeting,,02/19/2020 09:30:00 AM,02/19/2020 12:30:00 PM,"201 High Street, 1st Floor Hearings Room",OR - Oregon,OR,,Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,,,https://www.oregon.gov/CCB/board/Pages/board-info.aspx,,,,,,,
Construction Contractors Board,CCB Board Meeting,,12/04/2019 09:30:00 AM,12/04/2019 01:00:00 PM,"201 High Street, 1st Floor Hearings Room", Salem,OR,,Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,,,,
Construction Contractors Board,CCB Board Meeting with Executive Session,,12/02/2020 08:30:00 AM,12/02/2020 11:30:00 AM,GoTo Meeting,Salem,OR,,Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,true,https://global.gotomeeting.com/join/858778037,1 (646) 749-3122,858-778-037,,,,,,,,
Construction Contractors Board,CCB Stakeholder Meeeting re SB 205 & SB 207,CCB Stakeholder Meeting,10/10/2013 01:30:00 PM,10/10/2013 03:00:00 AM,"Conf. Rm B, 700 Summer St NE Ste 300", Salem,OR,CCB Stakeholder meeting to discuss implementation of SB 205 and SB 207 (2013).  ,Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb/Pages/board.aspx,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB New Contractor Workshop,New Contractor Workshop,07/16/2013 01:00:00 PM,07/16/2013 03:00:00 PM,"Blue Mountin Comm. College, 1901 Main St VAOI Bldg", Baker City,OR,"The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.

",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Board Meeting,Board Meeting,09/17/2014 09:00:00 AM,09/17/2014 12:00:00 PM,700 Summer St NE Suite 300 Conf Rm B, Salem,OR,CCB Board Meeting,Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,,,,,,,,,,,http://www.oregon.gov/ccb,catherine.a.dixon@state.or.us,https://data.oregon.gov/views/7by4-z82s/files/XHlvHJ6yvojRPa9aV_fJDw_mlSYYFOekt_nRAoxt6Uw?filename=application%2Fpdf%3B+charset%3Dbinary,,,,,
Construction Contractors Board,New Contractor Workshop,New Contractor Workshop,08/22/2013 01:00:00 PM,08/22/2013 03:00:00 PM,"Treasure Valley Community College ÛÒ SBDC, 650 College Blvd.", Ontario,OR,"New Contractor Workshop:
The 90-minute workshop is designed to “un-complicate” contractor licensing requirements and assist Oregonians thinking about obtaining a CCB license to take the next step to obtaining a CCB license. CCB staff will discuss the process involved in becoming licensed including:  1) Choosing a business entity and CCB license endorsement; 2) License, bonding and insurance requirements, and 3) Pre-licensure education and testing requirements.
",Yes,Cathy Dixon,503 9034-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,CCB Board Meeting Rulemaking Hearing,Rulemaking Hearing,04/22/2014 11:00:00 AM,04/22/2014 11:30:00 AM,"West Salem Roths IGA Hospitality Center, 425 Glen Creek Rd", Salem,OR,"Housekeeping and Cite Reference Revisions:
812-003-0260 is amended to correct cite references to match 2013 legislative changes and to correct the term Home Energy Performance Score Contractor; the word “Score” was left out the rule when filed.

812-005-0250 is amended to correct cite references and to remove redundant language in 812-0250(3)(d).

812-002-0640, 812-003-0100, 812-003-0160, 812-003-0190, 812-003-0390, 812-005-0200, 812-005-0210, 812-020-0071, 812-022-0000, 812-022-0005, 812-022-0011, 812-022-0016, 812-022-0018, 812-022-0033, 812-022-0036, 812-022-0037, 812-022-0040, 812-022-0042, 812-022-0045, 812-022-0047, 812-032-0000, 812-032-0100, 812-032-0110, 812-032-0120, 812-032-0123, 812-032-0130, 812-032-0135, 812-032-0140 and 812-032-0150 are amended to correct cite references.
",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb/Pages/board.aspx,,,,,,,,,,,catherine.a.dixon@state.or.us,,,,,,
Construction Contractors Board,Cancelled - CCB Stakeholder Meeting re SB 783,Stakeholder Meeting,10/11/2013 09:00:00 AM,10/11/2013 10:00:00 AM,"700 Summer St NE Ste 300, Conf. Rm B", Salem,OR,"Meeting CANCELLED.

Meeting to gather input from CCB stakeholders regarding implementation of SB 783.  CCB is seeking input, concerns, suggestions and recommendations on SB 783.",Yes,Cathy Dixon,503-934-2185,catherine.a.dixon@state.or.us,http://www.oregon.gov/ccb/Pages/board.aspx,,,,503 934-2185,catherine.a.dixon@state.or.us,,,,,,catherine.a.dixon@state.or.us,https://data.oregon.gov/views/7by4-z82s/files/00000000-0000-0000-0000-000000000000?,,http://www.oregon.gov/ccb/Pages/board.aspx,,,
