"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
Agriculture Department,Oregon Invasive Species Council (OISC) Meeting ,Virtual Meeting- April 21st ,04/21/2021 01:00:00 PM,04/21/2021 04:00:00 PM,Virtual Meeting , Salem,OR,,yes,Jalene Littlejohn,,j.littlejohn@samarapdx.com,,,,,,,,,,,,,,
Agriculture Department,Oregon Invasive Species Council Meeting,Oregon Invasive Species Council Winter Meeting,02/24/2014 08:00:00 AM,02/25/2014 12:00:00 PM,"Portland State University, Smith Memorial Student Union, 1825 SW Broadway", Portland,OR,"Updates and Decisions-
Finances
Chair Rotation: decide on process for chair rotation
Membership: decide on desired outcomes and process for recruitment
Awards:  decide on process
Legislative Session: draft/discuss ideas for the 2014 legislative session.
External Review: decide whether or not to proceed
iMapInvasives:  decide whether or not to continue participation 
Communications strategy:  decide on next steps
Advisory committee:  decide on purpose, potential, next steps
100 worst:  agree to list for 2014; decide on next steps

Presentations &#10148; Increased Understanding-
Council Member Updates 
Consumer Perception - marketing approach/feral cats
iMap Invasives
Tunicates
Green Crabs
Shipping and Transport of Invasive Species",Yes,Carolyn M. Devine,503-704-2159,oisc@oregoninvasivespeciescouncil.org,,,,Carolyn M. Devine,503-704-2159,oisc@oregoninvasivespeciescouncil.org,,,,http://www.oregon.gov/OISC/Pages/index.aspx,,,,
Agriculture Department,Oregon Invasive Species Council Planning Meeting,"OISC biennium budget discussions and fall meeting planning, along with committee updates ",07/30/2019 09:30:00 AM,07/30/2019 03:00:00 PM,"Oregon Department of Forestry, 2600 State Street, Salem, OR 97310", Salem,OR,"OISC biennium budget discussions and fall meeting planning, along with committee updates. ",yes,Jalene Littlejohn,9719980573,j.littlejohn@samarapdx.com,,,,,,,true,+1 669 900 6833  ,968 454 542,,,,,
Agriculture Department,Oregon Invasive Species Council (OISC) Fall Meeting and Forum,,10/15/2019 10:00:00 AM,10/17/2019 01:30:00 PM,"Port of Morrow, Riverfront Center (Wells Springs Conference Room) 2 Marine Dr NE, Boardman, OR 97818", Boardman,OR,,yes,Jalene Littlejohn,9719980573,j.littlejohn@samarapdx.com,,,,,,,true,+1 669 900 6833  ,968 454 542,,,,,
Agriculture Department,Oregon Invasive Species Council (OISC) Executive Session Meeting ,"RFP Review, Amendments and Discussion",07/27/2021 01:00:00 PM,07/27/2021 04:00:00 PM,Virtual Meeting ,Salem ,OR,"Meeting: OISC Executive Session
Short Description: RFP Review, Amendments and Discussion
Meeting Date: 7/27/2021
Start time: 1:00 PM, PST
End time: 4:00 PM, PST
Location Details: VIRTUAL MEETING
Contact Name: Troy Abercrombie
Contact Email: weeds@cascadepacific.org
Contact Phone: (541) 910-8769

OISC Executive Session 
Tue, Jul 27, 2021 1:00 PM - 4:00 PM (PDT) 

Please join my meeting from your computer, tablet or smartphone. 
https://global.gotomeeting.com/join/599057605 

You can also dial in using your phone. 
United States: +1 (571) 317-3112 

Access Code: 599-057-605 
Public Comment Accepted: Yes
",yes ,Troy Abercrombie,541-910-8769,weeds@cascadepacific.org ,,,,,,,, +1 (571) 317-3112 , 599-057-605 ,,,,,
Agriculture Department,Oregon Invasive Species Council,,09/09/2020 01:00:00 PM,09/09/2020 04:00:00 PM,Virtual ,Virtual,OR,Contact coordinator@oregoninvasivespeciescouncil.org for web conference details,,Oregon Invasive Species Council,,coordinator@oregoninvasivespeciescouncil.org,,,,,,,,,,,,,,
Agriculture Department,Oregon Invasive Species Council (OISC) Business Meeting ,,01/20/2021 01:00:00 PM,01/20/2021 02:00:00 PM,Zoom Meeting ,Salem ,OR,"Topic: OISC Business Meeting

Time: Jan 20, 2021 01:00 PM Pacific Time (US and Canada)

Join Zoom Meeting

https://us02web.zoom.us/j/82388395827?pwd=cDBsMng0bW0yamM5MjQ5S0ZRc1haZz09

Meeting ID: 823 8839 5827

Passcode: 925839

If dialing in by phone: +1 253 215 8782",yes,Jalene Littlejohn,,j.littlejohn@samarapdx.com,,,,,,,,,,,,,,
Agriculture Department,Oregon Invasive Species Council (OISC) Meeting ,Contact coordinator@oregoninvasivespeciescouncil.org for web conference details,02/17/2021 01:00:00 PM,02/17/2021 04:00:00 PM,Virtual Meeting ,Salem ,OR,See attached agenda for information regarding this meeting. ,yes,Jalene Littlejohn,,j.littlejohn@samarapdx.com,,,,,,,,,,,,,,
Agriculture Department,Oregon Invasive Species Council ,,01/28/2020 09:00:00 AM,01/28/2020 04:00:00 PM,Oregon Department of Fish & Wildlife - Commission Room 4034 Fairview Industrial Dr. SE, Salem,OR,RSVP Link: https://forms.gle/Cmvb4e4zxhgD6To76,,Oregon Invasive Species Council,,coordinator@oregoninvasivespeciescouncil.org,,https://goo.gl/maps/rUjiScfeHZW8hJCJ8,,,,,true,1 669 900 6833,154 921 230,,,,,
Agriculture Department,Oregon Invasive Species Council (OISC) MOU Working Group Meeting ,Oregon Invasive Species Council (OISC) MOU Working Group Meeting,05/20/2021 01:00:00 PM,05/20/2021 02:00:00 PM,Virtual (remote) Zoom Meeting ,Salem,OR,Oregon Invasive Species Council (OISC) MOU Working Group Meeting= Remote via Zoom https://pdx.zoom.us/j/86393267477 ,yes,Catherine de Rivera ,503-725-9798,derivera@pdx.edu ,,,,,,,,,,,,,,
Agriculture Department,Oregon Invasive Species Council (OISC) Meeting ,"o attend, please register here: https://attendee.gotowebinar.com/register/2552134029255175694",06/16/2021 01:00:00 PM,06/16/2021 04:00:00 PM,"o attend, please register here: https://attendee.gotowebinar.com/register/2552134029255175694",Salem,OR,"o attend, please register here: https://attendee.gotowebinar.com/register/2552134029255175694",yes,Jalene Littlejohn,,j.littlejohn@samarapdx.com,,,,,,,,,,,,,,
Agriculture Department,Oregon Invasive Species Council (OISC) Budget & Funding Meeting ,Details: Register here: https://attendee.gotowebinar.com/register/913950764314453260,06/10/2021 10:00:00 AM,06/10/2021 11:00:00 AM,Details: Register here: https://attendee.gotowebinar.com/register/913950764314453260, Salem,OR,Details: Register here: https://attendee.gotowebinar.com/register/913950764314453260,yes,Helmuth Rogg/Rick Boatner,,hrogg@oda.state.or.us,,,,,,,,,,,,,,
Agriculture Department,Oregon Invasive Species Council (OISC) Executive Committee Meeting ,"OISC Executive Committee Meeting via GoTo Meeting Platform, agenda attached ",07/14/2021 01:00:00 PM,07/14/2021 03:00:00 PM,Details: https://global.gotomeeting.com/join/938012205 ,Salem ,OR,"OISC Executive Committee Meeting
Date: July 14
Time: 1pm - 3pm
Short Description: OISC Executive Committee Meeting
Public Comment Accepted: Yes
Meeting Location: Remote
State: Oregon
Details: https://global.gotomeeting.com/join/938012205 
You can also dial in using your phone: +1 (872) 240-3212 
Access Code: 938-012-205 
Contact Name: Rick Boatner & Troy Abercrombie
Contact Email: rick.j.boatner@state.or.us; weeds@cascadepacific.org",yes,Rick Boatner or Troy Abercrombie,, rick.j.boatner@state.or.us; weeds@cascadepacific.org,,,,,,,,You can also dial in using your phone: +1 (872) 240-3212 ,Access Code: 938-012-205 ,,,,,
Agriculture Department,Oregon Invasive Species Council (OISC) Budget & Funding Meeting ,"OISC Budget & Funding Meeting, via GoTo Meeting platform ",07/14/2021 11:00:00 AM,07/14/2021 12:00:00 PM,Details: https://global.gotomeeting.com/join/558069237 ,Salem ,OR,"OISC Budget & Funding Committee Meeting

Date: July 14
Time: 11 am - 12 pm
Short Description: OISC Budget & Funding Committee Meeting
Public Comment Accepted: Yes
Meeting Location: Remote
State: Oregon
Details: https://global.gotomeeting.com/join/558069237 
You can also dial in using your phone: +1 (872) 240-3212 
Access Code: 558-069-237 
Contact Name: Helmuth Rogg & Rick Boatner
Contact Email: hrogg@oda.state.or.us; rick.j.boatner@state.or.us",yes ,Helmuth Rogg or Rick Boatner ,5039864662,hrogg@oda.state.or.us; rick.j.boatner@state.or.us ,,,,,,,,You can also dial in using your phone: +1 (872) 240-3212 ,Access Code: 558-069-237 ,,,,,
Agriculture Department,Oregon Invasive Species Council (OISC) Meeting,,01/11/2022 01:00:00 PM,01/11/2022 04:30:00 PM,Virtual Meeting ,Salem,OR,"Agenda attached 

Oregon Invasive Species Council Meeting 
Wed, Oct 13, 2021 1:00 PM - 4:30 PM (PDT) 

Please join my meeting from your computer, tablet or smartphone. 
https://global.gotomeeting.com/join/252462589 

You can also dial in using your phone. 
United States: +1 (571) 317-3112 

Access Code: 252-462-589",,Troy Abercrombie,5039864660,weeds@cascadepacific.org ,,,,,,,true,You can also dial in using your phone.  United States: +1 (571) 317-3112 ,Access Code: 252-462-589,,,,,
Agriculture Department,Oregon Invasive Species Council ,,02/26/2015 11:00:00 AM,02/26/2015 05:30:00 PM,"Oregon Department of Forestry, 2600 State Street, Building C, Clatsop Room", Salem,OR,,,Leslie Shaffer,503-986-4660,lshaffer@oda.state.or.us,,,http://www.oregoninvasivespeciescouncil.org/,,,,true,,,http://www.oregoninvasivespeciescouncil.org/,,,,
