"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Oregon Commission for the Blind,OCB Board Meeting,,12/01/2019 01:00:00 PM,12/06/2019 03:30:00 PM,OCB (535 SE 12th Ave),Portland,OR,Please see agenda on website link.,Yes,Max West,971-673-1580,max.west@state.or.us,,,,,,,,,636-651-3181,5395795,https://www.oregon.gov/blind/Pages/OCB%20News%20and%20Information.aspx,,,,https://www.oregon.gov/blind/Pages/OCB%20News%20and%20Information.aspx,,,,
"Health Authority, Oregon",Oregon Alliance to Prevent Suicide - Executive Committee Meeting,,12/02/2019 08:30:00 AM,12/02/2019 10:00:00 AM,"Lines for Life, 5100 SW Macadam #400",Portland ,OR,,Yes,Annette Marcus,503.399.7201,amarcus@aocmhp.org,,,,,,,,https://zoom.us.j/531986032,+16699006833,531986032#,,,,,,12. 2019Dec2 Executive Committee Agenda.docx (https://data.oregon.gov/views/gs36-7t8m/files/f9dfff29-d83c-4845-a72c-72d73387bfa5?download=true&filename=12.%202019Dec2%20Executive%20Committee%20Agenda.docx),,,
Real Estate Board,General Meeting,,12/02/2019 10:00:00 AM,12/02/2019 01:00:00 PM,TBA, Salem,OR,,,Steve Strode,,Steve.Strode@oregon.gov,,,,,,,,,,,https://www.oregon.gov/rea/about_us/Pages/Board_Agenda_Minutes.aspx,,,,,,,,
Governor's Office,Tribal Cultural Items Task Force Meeting,,12/02/2019 01:00:00 PM,12/02/2019 04:00:00 PM,Nixyáawii Governance Center - 46411 Tim`ine Way - L202A-Waluula and Wanaqit Conference Room, Pendleton,OR,,,Shevaun Gutridge,,shevaun.gutridge@oregon.gov,,,,,,,,,,,,,,,,,,,
Transportation Department,Public Transportation Advisory Committee,Public Transportation Advisory Committee,12/02/2019 01:00:00 PM,12/02/2019 04:30:00 PM,"​ODOT, Region 2 Campus 885 Airport Rd. SE, Building X", Salem,OR,,Yes,Jaimie Baldwin,,Jaimie.Baldwin@odot.state.or.us,,,,Jaimie Baldwin,,Jaimie.Baldwin@odot.state.or.us,,,,,,,,,https://www.oregon.gov/ODOT/RPTD/Pages/PTAC.aspx,,,,
Eastern Oregon Border Economic Development Board,EOBED Board Mtg,,12/02/2019 03:00:00 PM,12/02/2019 05:00:00 PM,"TVCC, 650 College Blvd", Ontario,OR,,yes,Scott Fairley,,scott.fairley@oregon.gov,,,,,,,,,,,https://www.oregon4biz.com/EOBED-Board/2019meetings.php,,,,https://www.oregon4biz.com/EOBED-Board/2019meetings.php,,,,
Independent Living Council,State Plan Evaluation Work Group,State Plan Evaluation Measure Review,12/02/2019 03:15:00 PM,12/02/2019 04:30:00 PM,Human Services Building-500 Summer St NE - Room 164, Salem,OR,"Please contact the SILC if you plan to attend, to get details about access to the room and parking, and to help us plan for appropriate meeting space.  

In support of the SILC mission of inclusion, we ask people to refrain from wearing perfumes or other scents at the meetings so that those with chemical sensitivities may attend and participate comfortably. 

Accommodations including provision of interpreters, assistive listening devices, and materials in alternate formats are available upon request. Although every effort will be made to arrange accommodations within 48-hour notice, the SILC requests earliest possible notice to ensure accommodations.
",No,Shelly Emery, 503-945-6204,shelly.emery@state.or.us,,https://goo.gl/maps/aDGKm3awtjq,,Shelly Emery, 503-945-6204,shelly.emery@state.or.us,,,,,,,,,,I:\OVRS-SILC\State Plan-SILC\SPIL Committee\3. Eval WkGrp\2019 EWG Meetings\12.2.19 EWG Meeting\12.2.19 EWG Mtg Pkt\00-12.2.19 EWG Agenda.docx (https://data.oregon.gov/views/gs36-7t8m/files/0d06ece2-b9f6-4d71-8200-0be160b56bfd?download=true&filename=I:\OVRS-SILC\State%20Plan-SILC\SPIL%20Committee\3.%20Eval%20WkGrp\2019%20EWG%20Meetings\12.2.19%20EWG%20Meeting\12.2.19%20EWG%20Mtg%20Pkt\00-12.2.19%20EWG%20Agenda.docx),,,
Transportation Department,Region 1 Area Commission on Transportation,Advisory board established to provide a forum for stakeholders to collaborate on transportation issues affecting ODOT Region 1. The Region 1 ACT advises the Oregon Transportation Commission.,12/02/2019 05:30:00 PM,12/02/2019 05:30:00 PM,123 NW Flanders,Portland,OR,Meeting is held in conference room A/B at the Oregon Department of Transportation Region 1 Headquarters.,Yes,Kimberly Dinwiddie,503-731-8248,Kimberly.Dinwiddie@odot.state.or.us,,,,Kimberly Dinwiddie,503-731-8248,Kimberly.Dinwiddie@odot.state.or.us,,,,,,,,,https://www.oregon.gov/ODOT/Get-Involved/Pages/ACT-R1.aspx,,,,
"Hazelnut Commission, Oregon",Research Report Meeting,,12/03/2019 08:30:00 AM,12/03/2019 03:00:00 PM,NEW OSU Foundation Building-4238 Research Way SW, Corvallis,OR,,,Meredith A Nagely,503-678-6823,meredith@oregonhazelnuts.org,,,,,,,,,,,,,,,,OHC Draft Agenda 12.3.19 #402.docx (https://data.oregon.gov/views/gs36-7t8m/files/e01a5b0e-97ab-4eb7-8314-f2f5399d67e4?download=true&filename=OHC%20Draft%20Agenda%2012.3.19%20#402.docx),,,
Public Utility Commission,Public Meeting,,12/03/2019 09:30:00 AM,12/03/2019 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,,,,,,
"Sweet Cherry Commission, Oregon",Regular Oregon Sweet Cherry Commission Meeting,,12/03/2019 10:00:00 AM,12/31/1899 03:00:00 PM,"Food Innovation Center 2nd Floor Classroom, 1207 NW Naito Pksy", Portland,OR,,,Juie Hoffman,,julie@osweetcherry.org,,,,,,,,,,,,,,,,,,,
"Marine Board, State",Rule Making Public Hearing,Rules hearing on proposed rules to allow the use of electric motors on Gold Lake,12/03/2019 11:00:00 AM,12/03/2019 02:00:00 PM,Eugene Public Library - Tykeson Room - 100 W. 10th Ave,Eugene ,OR,"Written comment can be submitted via email to osmb.rulemaking@oregon.gov or by US Mail to Oregon State Marine Board, Rules Coordinator, Jennifer Cooper, 435 Commercial St. NE, Salem, OR 97301. The written comments deadline is December 20, 2019 by 5 pm. Copy/Paste this URL for the proposed language: https://www.oregon.gov/osmb/info/Documents/Rulemaking/GoldLakeRuleNotice.pdf",,Jennifer Cooper,503-378-2617,jennifer.cooper@oregon.gov,,,,,,,,,,,,,,,https://secure.sos.state.or.us/oard/displayBulletin.action?bulltnRsn=425,NoticeFilingTrackedChanges - Gold Lake.pdf (https://data.oregon.gov/views/gs36-7t8m/files/513e9630-1c72-468a-9714-a4f86181b559?download=true&filename=NoticeFilingTrackedChanges%20-%20Gold%20Lake.pdf),,,
Agriculture Board,State Board of Agriculture Meeting,Quarterly board meeting,12/03/2019 12:00:00 PM,12/05/2019 12:00:00 PM,Holiday Inn Express & Suites - 204 West Marine Drive, Astoria,OR,"For more information, call 503-986-4554 or visit https://oda.direct/BOA","Yes, see agenda for details",Karla Valness,,kvalness@oda.state.or.us,,,,,,,,,,,,,,,https://oda.direct/BOA,,,,
"Energy, Department of",Solar Plus Storage Rebate Program Rulemaking Hearing,This is a public hearing on the proposed rules for the program,12/03/2019 01:30:00 PM,12/03/2019 03:00:00 PM,Oregon Department of Energy, Salem,OR,https://energyinfo.oregon.gov/blog/2019/11/5/oregon-department-of-energy-to-hold-public-hearing-on-rules-for-new-oregon-solar-storage-rebate-program,Yes,Wendy Simons,,wendy.simons@oregon.gov,,,,,,,,,,,,,,,https://www.oregon.gov/energy/Get-Involved/rulemakingdocs/2019-10-30-HB2618-SOS-Hearing-Notice.pdf,,,,
"Health Authority, Oregon","State Health Improvement Plan Adversity, Trauma and Toxic Stress Subcommittee",,12/03/2019 02:00:00 PM,12/03/2019 04:00:00 PM,"Portland State Office Building, Room 900, 800 NE Oregon Street", Portland,OR,"What: Subcommittees of the 2020-2024 State Health Improvement Plan (SHIP) are tasked with identifying strategies and measures, and developing work plans for implementing the SHIP. Each of the five subcommittees is focused on one of the following priority areas:
•	Access to equitable preventive health care.
•	Adversity, trauma and toxic stress.
•	Behavioral health.
•	Economic drivers of health.
•	Institutional bias.

Agenda: Continue identifying key indicators and exploring possible strategies.
",Yes,Christy Hudson,971-678-4347,christy.j.hudson@state.or.us,,,,Catherine Moyer,971-673-1132,catherine.moyer@dhsoha.state.or.us,true,https://global.gotomeeting.com/join/384717421,408-650-3123 ,384-717-421,,,,,https://www.oregon.gov/oha/PH/ABOUT/Pages/Adversity-trauma-toxicstress.aspx,,,,
Fish and Wildlife Department,Salmon and Trout Enhancement Program Advisory Committee,,12/04/2019 08:00:00 AM,12/04/2019 05:00:00 AM,Salem Municipal Airport Terminal building located at 2990 25th Street SE, Salem,OR,"The Oregon Department of Fish and Wildlife’s Salmon and Trout Enhancement Program Advisory Committee (STAC) will meet in Salem on Wednesday, December 4.

The meeting will occur at the Salem Municipal Airport Terminal building located at 2990 25th Street SE, Salem in the conference room. The agenda is available at http://www.dfw.state.or.us/fish/STEP.  The meeting will begin at 8:00 a.m. and proceed through the agenda, which includes STEP program planning, review of mini-grant applications, and review of two STEP Project proposals. The meeting is open to the public.

The Committee will review one project proposal that would like to implement a wild broodstock program on the North Fork Nehalem River to improve angling opportunities and one propagation proposal for rearing winter steelhead at the Siletz Tribal Hatchery for release into Little Rock Creek.

Any STEP project that rears fish for release (including egg incubation) must be approved by ODFW. Part of the approval process includes public input and review by the Advisory Committee. The proposals are available for public review on the ODFW website at http://www.dfw.state.or.us/fish/STEP/  Members of the public will be able to comment on the proposals at the meeting or in writing.  Written responses must submitted to ODFW and be received by December 2.

The Oregon Legislature created Salmon and Trout Enhancement Program in 1981 to provide a way for volunteers to participate in the restoration of native stocks of salmon, steelhead and trout. The STEP Advisory Committee makes recommendations to ODFW and the Fish and Wildlife Commission on issues regarding its programs. The committee’s 13 members are appointed by the Governor and represent all areas of Oregon.

Reasonable accommodations will be provided as needed for individuals requesting assistive hearing devices, sign language interpreters or large-print materials. Individuals needing these types of accommodations may call the Information and Education Division at (800) 720-6339 or (503) 947-6002 at least 24 hours in advance of the meeting. 

For more information on the Salmon Trout Enhancement Program visit the ODFW Web site at http://www.dfw.state.or.us/fish/STEP/ or call program staff at (503) 947-6201.
",,Kevin Herkamp,,Kevin.Herkamp@state.or.us,,,,,,,,,,,,,,,,,,,
Appraiser Certification and Licensure Board,Enforcement Oversight Committee,,12/04/2019 09:00:00 AM,12/04/2019 11:00:00 AM,"200 Hawthorne Avenue SE, Suite C-302",Salem,OR,,,Jacki Fish,503-485-2555 x101,jacki.fish@oregon.gov,,,,,,,,,,,,,,,,,,,
"Health Authority, Oregon",PCPCH Program Standards Advisory Committee Meeting,PCPCH model revisions,12/04/2019 09:00:00 AM,12/04/2019 12:00:00 PM,"Five Oak Building, 421 SW Oak St, Suite 775 Transformation Room", Portland,OR,"The Patient-Centered Primary Care Home (PCPCH) Program convenes a Standards Advisory Committee every few years to discuss potential changes, additions, and improvements to the current standards and overall model. Visit https://www.oregon.gov/oha/HPA/dsi-pcpch/Pages/SAC.aspx for a list of committee members, meeting materials, and information on how to attend or provide public comment.",Yes,Amy Harris,,amy.harris@dhsoha.state.or.us,,,https://www.oregon.gov/oha/HPA/dsi-pcpch/Pages/SAC.aspx,,,,,,877-411-9748,3595334,https://www.oregon.gov/oha/HPA/dsi-pcpch/Pages/SAC.aspx,,,,https://www.oregon.gov/oha/HPA/dsi-pcpch/Pages/SAC.aspx,,,,
Construction Contractors Board,CCB Board Meeting,,12/04/2019 09:30:00 AM,12/04/2019 01:00:00 PM,"201 High Street, 1st Floor Hearings Room", Salem,OR,,Yes,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,Sara Heinz,,sara.heinz@ccb.state.or.us,,,,,,,,,,2019-12-4 Agenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/5a79778f-5d62-4d68-94f5-e1640a6bd479?download=true&filename=2019-12-4%20Agenda.pdf),,,
Labor and Industries Bureau,OSATC Rules & Policies Subcommittee,,12/04/2019 09:30:00 AM,12/04/2019 12:00:00 PM,"Portland State Office Building (PSOB), 800 NE Oregon St, Room 1A", Portland,OR,,,Rachelle Herbert,,rachelle.herbert@state.or.us,,,https://www.oregon.gov/boli/ATD/docs/Council/OSATCMeetingDates2019.pdf,,,,,,,,,,,,,,,,
