"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
"Health Licensing Agency, Oregon",Board of Cosmetology,Board Meeting,03/09/2020 08:00:00 AM,03/09/2020 04:00:00 AM,1430 Tandem Ave. NE Suite 180, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Cosmetology,,10/12/2015 10:00:00 AM,10/12/2015 04:00:00 PM,700 Summer St. Suite 320, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Direct Entry Midwifery,,04/14/2016 09:00:00 AM,04/14/2016 04:00:00 PM,700 Summer St. Suite 320, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Respiratory Therapist and Polysomnographic Technologist Licensing Board,Board Meeting,06/19/2020 09:00:00 AM,06/19/2020 03:00:00 PM,1430 Tandem Ave. NE Suite 180, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Athletic Trainers,Board Meeting,02/20/2019 09:00:00 AM,02/20/2019 03:00:00 PM,1430 Tandem Ave. NE Suite 180, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Cosmetology* Teleconference Meeting,Board Meeting,12/10/2019 09:00:00 AM,12/10/2019 10:00:00 AM,1430 Tandem Ave. NE Suite 180,Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Athletic Trainers *Teleconference Meeting,Board Meeting,12/11/2019 09:00:00 AM,12/11/2019 10:00:00 AM,1430 Tandem Ave. NE Suite 180, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Denture Technology ,Board Meeting,09/11/2017 11:00:00 AM,09/11/2017 04:00:00 PM,1430 Tandem Ave. NE Suite 180,Salem ,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Direct Entry Midwifery ,Board Meeting,06/22/2017 10:00:00 AM,06/22/2017 04:00:00 PM,1430 Tandem Ave. NE Suite 180, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Direct Entry Midwifery,Board Meeting,05/17/2018 09:00:00 AM,05/17/2018 03:00:00 PM,1430 Tandem Ave. NE Suite 180, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
"Health Licensing Agency, Oregon",Board of Direct Entry Midwifiery,Board Meeting,06/28/2018 09:00:00 AM,03/28/2018 02:00:00 PM,1430 Tandem Ave. NE Suite 180, Salem,OR,,,Maria Gutierrez,,maria.s.gutierrez@state.or.us,,,,,,,,,,,,,,
