"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
Agriculture Board,State Board of Agriculture Meeting,Quarterly board meeting,02/11/2020 12:00:00 PM,02/13/2020 12:00:00 PM,"Oregon Department of Agriculture, 635 Capitol St NE", Salem,OR,"For more information, call 503-986-4554 or visit https://oda.direct/BoardAgriculture","Yes, see agenda for details",Karla Valness,,kvalness@oda.state.or.us,,,,,,,,,,,,,,
Agriculture Board,State Board of Agriculture Meeting,Quarterly board meeting,12/01/2020 12:00:00 PM,12/03/2020 12:00:00 PM,TBD, Tillamook,OR,"For more information, call 503-986-4554 or visit https://oda.direct/BoardAgriculture","Yes, see agenda for details",Karla Valness,,kvalness@oda.state.or.us,,,,,,,,,,,,,,
Agriculture Board,State Board of Agriculture Meeting,Quarterly board meeting,09/22/2020 12:00:00 PM,09/24/2020 12:00:00 PM,TBD, Ontario,OR,"For more information, call 503-986-4554 or visit https://oda.direct/BoardAgriculture","Yes, see agenda for details",Karla Valness,,kvalness@oda.state.or.us,,,,,,,,,,,,,,
Agriculture Board,State Board of Agriculture,Quarterly meeting of the State Board of Agriculture,03/06/2012 11:00:00 AM,03/07/2012 04:00:00 PM,Oregon Department of Agriculture, Salem,OR,,"10:15 a.m. on Wednesday, March 7",Sherry Kudna,503-986-4619,skudna@oda.state.or.us,http://www.oregon.gov/ODA/boardoverview.shtml,,http://www.oregon.gov/ODA/meetings.shtml,Sherry Kudna,503-986-4619,skudna@oda.state.or.us,,,,http://www.oregon.gov/ODA/docs/pdf/120306bd_agenda.pdf,,,,
Agriculture Board,State Board of Agriculture,Quarterly Board Meeting,12/04/2013 08:30:00 AM,09/05/2013 02:00:00 PM,Food Innovation Center, Portland,OR,Quarterly meeting of the Oregon State Board of Agriculture,Yes,skudna,503-986-4552,skudna@oda.state.or.us,http://www.oregon.gov/oda/pages/boardoverview.aspx#Meeting_information,,,,,,,,,,,,,
Agriculture Board,Board of Agriculture,Quarterly Board of Agriculture Meeting,05/30/2012 08:30:00 AM,05/31/2012 02:00:00 PM,Clarion Inn, Ontario,OR,,"10:45 a.m. - May 30, 2012",Sherry Kudna,503-986-4619,skudna@oda.state.or.us,http://www.oregon.gov/ODA/boardoverview.shtml,,,,,,,,,,,,,
Agriculture Board,Board of Agriculture,Quarterly meeting of the State Board of Agriculture,09/19/2012 08:30:00 AM,09/20/2012 12:00:00 PM,Red Lion, Medford,OR,"Meeting to be held at:
Red Lion Hotel
200 N Riverside Ave
Medford, OR 97501",Yes - 10:45 a.m. - 9/19/2012,skudna,503-986-4619,skudna@oda.state.or.us,http://cms.oregon.gov/oda/pages/boardoverview.aspx,,,,,,,,,,,,,
Agriculture Board,State Board of Agriculture,Quarterly Board Meeting,02/18/2014 12:00:00 AM,02/20/2014 12:00:00 AM,Agriculture Building, Salem,OR,,,Sherry Kudna,,sherry.a.kudna@state.or.us,,,,,,,,,,,,,,
Agriculture Board,Board of Agriculture Meeting,Quarterly meeting of the board of agriculture.,06/04/2013 08:30:00 AM,06/06/2013 04:00:00 PM,Department of Ag Hearings Room, Salem,OR,,,Sean Fornelli,,sean.k.fornelli@state.or.us,,,,,,,,,,,,,,
Agriculture Board,Board of Agriculture Meeting,Quarterly meeting of the board of agriculture.,03/05/2013 02:00:00 PM,03/07/2013 02:00:00 PM,TBA, Salem,OR,,yes,skudna,,skudna@oda.state.or.us,http://www.oregon.gov/oda/pages/boardoverview.aspx,,,,,,,,,,,,,
Agriculture Board,Board of Agriculture Meeting,Quarterly meeting of the board of agriculture.,09/17/2013 08:30:00 AM,09/19/2013 04:00:00 PM,TBA, Prineville,OR,,,Sean Fornelli,,sean.k.fornelli@state.or.us,,,,,,,,,,,,,,
Agriculture Board,State Board of Agriculture,,12/02/2014 03:30:00 PM,12/04/2014 12:00:00 PM,"Port	of Portland Chinook Conference Room, 7200 NE Airport Way", Portland,OR,,,Sherry Kudna ,503-986-4619,Sherry.A.Kudna@state.or.us,,,,,,,,,,,,,,
Agriculture Board,BOA Conference Call,Conference Call - IWRS,06/25/2012 09:30:00 AM,06/25/2012 11:00:00 AM,Conference Call, Salem,OR,Conference call for the Board of Agriculture to consider supporting the Oregon Water Resource Department's Integrated Water Resources Strategy.,No,Sherry Kudna,503-986-4552,skudna@oda.state.or.us,,,,,,,,,,,,,,
Agriculture Board,Board of Agriculture ,Quarterly meeting of the State Board of Agriculture,11/28/2012 12:00:00 AM,11/29/2012 12:00:00 AM,TBA, Portland,OR,,,skudna,,skudna@oda.state.or.us,,,,,,,,,,,,,,
Agriculture Board,State Board of Agriculture,Quarterly meeting of the board of agriculture.,06/03/2014 12:00:00 AM,06/05/2014 12:00:00 AM,TBD, Tillamook,OR,,,Sherry Kudna,,sherry.a.kudna@state.or.us,,,,,,,,,,,,,,
Agriculture Board,Oregon State Board of Agriculture,,06/05/2018 05:00:00 PM,06/07/2018 12:00:00 PM,"Best Western Plus Hood River Inn: Riverview Room, 1108 East Marina Way", Hood River,OR,,"Public comment periods are scheduled for 10:15 am on Wednesday, June 6 and 10:45 am on Thursday, June 7",Karla Valness,(503) 986-4554,kvalness@oda.state.or.us,,,,,,,,,,https://oda.direct/BoardAgriculture,,,,
