"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
"Emergency Management, Oregon",OSSPAC,Oregon Seismic Safety Policy advisory Commission,09/13/2016 09:00:00 AM,09/13/2016 12:00:00 PM,Oregon State Capitol, Salem,OR,,,Jay Wilson,,jaywilson@co.clackamas.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,Oregon Seismic Safety Policy Advisory Commission,07/12/2016 09:00:00 AM,07/12/2016 12:00:00 PM,"Port of Portland, 7200 NE Airport Way", Portland,OR,More information can be found on OSSPAC website: http://www.oregon.gov/OMD/OEM/Pages/osspac/osspac.aspx,,Jay Wilson,,jaywilson@co.clackamas.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",Next Generation 9-1-1 Executive Steering Committee,,06/02/2016 02:00:00 PM,06/02/2016 04:00:00 PM,Office of Emergency Management, Salem,OR,,,Mark Tennyson,,mark.tennyson@state.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,,05/10/2016 09:00:00 AM,05/10/2016 12:00:00 PM,"Oregon State Capitol, Hearing Room C", Salem,OR,,,Jay Wilson,,jaywilson@co.clackamas.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,Oregon Seismic Safety Policy Advisory Commission,05/10/2016 09:00:00 AM,05/10/2016 12:00:00 PM,"Oregon State Capitol, Hearing Room C", Salem,OR,,,Jay Wilson,,jaywilson@co.clackamas.or.us,,,,,,,,1-866-590-5055,751480,,,,,
"Emergency Management, Oregon",OSSPAC,Oregon Seismic Safety Policy Advisory Commission,03/08/2016 09:00:00 AM,03/08/2016 12:00:00 PM,"Oregon State Capitol, Hearing Room C", Salem,OR,,,Jay Wilson,,jaywilson@co.clackamas.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,Oregon Seismic Safety Policy Advisory Commission,01/12/2016 09:00:00 AM,01/12/2016 12:00:00 PM,"State Capitol, Hearing Room F", Salem,OR,,,Jay Wilson,,jaywilson@co.clackamas.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",NG 9-1-1 Executive Steering Committee,,10/09/2015 09:30:00 AM,10/09/2015 11:00:00 AM,Office of Emergency Management,Salem,OR,,,Dave Stuckey,,dave.stuckey@state.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,Oregon Seismic Safety Policy Advisory Commission,09/08/2015 09:00:00 AM,09/08/2015 12:00:00 PM,"State Capitol, Hearing Room F", Salem,OR,,,Jay Wilson,,jaywilson@co.clackamas.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",NG 9-1-1 Executive Steering Committee,,08/13/2015 01:30:00 PM,08/13/2015 03:00:00 PM,Office of Emergency Management, Salem,OR,,,Dave Stuckey,503-584-3884,dave.stuckey@state.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",NG 9-1-1 Executive Steering Committee Meeting,,03/25/2015 01:30:00 PM,03/25/2015 02:30:00 PM,Office of Emergency Management Conference Room, Salem,OR,,,Dave Stuckey,503-584-3884,dave.stuckey@state.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,Oregon Seismic Safety Policy Advisory Commission,03/10/2015 09:00:00 AM,03/10/2015 12:00:00 PM,"Oregon State Capitol, Hearing Room C",Salem,OR,,,Jay Wilson,,jaywilson@co.clackamas.or.us,,,,,,,,,(866) 590-5055 code 751480,,,,,
"Emergency Management, Oregon",Next Generation 9-1-1 Executive Steering Committee,,12/18/2014 08:30:00 AM,12/18/2014 10:30:00 AM,Oregon Emergency Management, Salem,OR,,,Dave Stuckey,,Dave.Stuckey@state.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,Oregon Seismic Safety Policy Advisory Commission,11/04/2014 09:00:00 AM,11/04/2014 12:00:00 PM,"Oregon State Capitol, Hearing Room F", Salem,OR,,,Jay Wilson,,jaywilson@co.clackamas.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",Oregon Resilience Task Force,Oregon Resilience Task Force,09/19/2014 09:30:00 AM,09/19/2014 11:30:00 AM,"Oregon State Capitol, Room 50", Salem,OR,,"Yes, 11:20 to 11:30",Dave Stuckey,,david.stuckey@state.or.us,,,,,,,,,,http://www.oregon.gov/OMD/OEM/docs/resilience_tf/resiliency_tf_agenda_09-19-14.pdf,,,,
"Emergency Management, Oregon",NG 9-1-1 Executive Steering Committee,Next Generation 9-1-1 Executive Steering Committee Meeting,08/08/2014 09:00:00 AM,08/08/2014 11:00:00 AM,Oregon Emergency Management, Salem,OR,,,Dave Stuckey,,Dave.Stuckey@state.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",Oregon Resilience Taskforce,Monthly meeting of the Oregon Resilience Taskforce,08/04/2014 01:30:00 PM,08/04/2014 03:30:00 PM,TVF&R South Operating Center, Wilsonville,OR,,,Dave Stuckey,,Dave.Stuckey@oem.state.or.us,http://www.oregon.gov/OMD/OEM/Pages/Resilience-Taskforce.aspx,,,,,,,,,http://www.oregon.gov/OMD/OEM/docs/resilience_tf/resilience_tf_agenda_08-04-14.pdf,,,,
"Emergency Management, Oregon",OSSPAC Meeting,OSSPAC Bi-Monthly Meeting,05/14/2013 09:00:00 AM,05/08/2013 12:00:00 PM,"3225 State St.,", Salem,OR,"Oregon Emergency Management
3225 State St, Room 172
Salem, OR 97301
                  
  
An agenda will be posted at least one week prior to the upcoming meeting. ",,Kent Yu,,kyu@degenkolb.com,http://www.oregon.gov/OMD/OEM/Pages/osspac/osspac.aspx,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,OSSPAC ,03/11/2013 09:00:00 AM,03/11/2013 12:00:00 PM,"Chinook Room, 8th Floor, Port of Portland Headquarters Building", Portland,OR,,,Kent Yu,,kyu@degenkolb.com,http://www.oregon.gov/OMD/OEM/Pages/osspac/osspac.aspx,,,,,,,,,,,,,
"Emergency Management, Oregon",Oregon Seismic Safety Policy Advisory Commission,OSSPAC,02/05/2013 09:00:00 AM,02/04/2013 10:00:00 AM,OEM Conference Room and Portland State Office Building Rm 1C, Salem,OR,"Next meeting:    Tuesday, February 5, 2013 from 9:00am to 10:00am

The call-in numbers are listed on the agenda.  For those who want to come in person, the two sites are:     

Portland State Office Building
800 NE Oregon Street
Room 1C
Portland, OR 97232

Oregon Emergency Management
3225 State Street, Room 115
Salem, OR 97301     
",,Bev Hall,,bev.hall@state.or.us,http://www.oregon.gov/OMD/OEM/Pages/osspac/osspac.aspx,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,Oregon Seismic Safety Policy Advisory Commission,02/05/2013 09:00:00 AM,02/04/2013 10:00:00 AM,OEM Conference Room and Portland State Office Building Rm 1C, Salem,OR,"Next meeting:    Tuesday, February 5, 2013 from 9:00am to 10:00am

The call-in numbers are listed on the agenda.  For those who want to come in person, the two sites are:     

Portland State Office Building
800 NE Oregon Street
Room 1C
Portland, OR 97232

Oregon Emergency Management
3225 State Street, Room 115
Salem, OR 97301     
",,Bev Hall,,Bev.Hall@state.or.us,http://www.oregon.gov/OMD/OEM/Pages/osspac/osspac.aspx,,,,,,,,,,,,,
"Emergency Management, Oregon",State Interagency Hazard Mitigation Team (IHMT),State Interagency Hazard Mitigation Team (IHMT),01/17/2013 09:00:00 AM,01/17/2013 11:00:00 AM,3225 State St, Salem,OR,,,Joseph Murray,,joseph.murray@state.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,Bi-Monthly Meeting,09/25/2012 09:00:00 AM,09/25/2012 12:00:00 PM,Oregon State Capitol Hearing Room F, Salem,OR,,,Kent Yu,,kyu@degenkolb.com,,,,,,,,,,,,,,
"Emergency Management, Oregon",SRGP Committee ÛÒ Special Meeting,Special Meeting for the SRG Program,05/10/2012 09:00:00 AM,05/10/2012 10:00:00 AM,"OEM, 3225 State St Rm 115", Salem,OR,,,Kiri Carini,,kiri.carini@state.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon","Seismic Rehabilitation Grant Program, Special Meeting",Special Meeting for SRGP ,05/09/2012 08:00:00 AM,05/09/2012 09:00:00 AM,"OEM, 3225 State St, Rm 115", Salem,OR,,,Kiri Carini,,kiri.carini@state.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",State Interagency Hazard Mitigation Team,Interagency Hazard Mitigation Team,04/19/2012 09:00:00 AM,04/19/2012 11:00:00 AM,"OEM, ECC, 3225 State Street", Salem,OR,,,Joseph Murray,,joseph.murray@state.or.us,,,,,,,,,,,,,,
"Emergency Management, Oregon",OSSPAC,Bi-Monthly Meeting,03/13/2012 09:00:00 AM,03/13/2012 12:00:00 PM,Oregon State Capitol Hearing Room F, Salem,OR,,,Kent Yu,,kyu@degenkolb.com,http://www.oregon.gov/OMD/OEM/osspac/osspac.shtml,,,,,,,,,,,,,
"Emergency Management, Oregon",Oregon Seismic Safety Policy Advisory Commission (OSSPAC),Bi-Monthly OSSPAC Meeting,03/13/2012 09:00:00 AM,03/13/2012 12:00:00 PM,"State Capitol, Hearing Room ""F""", Salem,OR,,,Kent Yu,,kyu@degenkolb.com,http://www.oregon.gov/OMD/OEM/osspac/osspac.shtml,,,,,,,,,,,,,
"Emergency Management, Oregon",Special OSSPAC Meeting,Resiliency Plan,02/21/2012 09:00:00 AM,02/21/2012 12:00:00 PM,"Port of Portland Headquarters Bldg., Anchor Conference Room, First Floor, 7200 NE Airport Way", Portland,OR,,,Kent Yu,,kyu@degenkolb.com,http://www.oregon.gov/OMD/OEM/osspac/docs/osspac_agenda_2_21_12.pdf,,,,,,,1-877-807-5706,145058,,,,,
"Emergency Management, Oregon",Oregon Seismic Resiliency Workshop,Seismic Resiliency Workshop,01/26/2012 09:00:00 AM,01/26/2012 04:00:00 PM,"Port of Portland Building, 7200 NE Airport Way", Portland,OR,"To register email your name, affiliation, email address and phone number to althea.rizzo@state.or.us",,Althea,Rizzo,althea.rizzo@state.or.us,http://www.oregon.gov/OMD/OEM/osspac/docs/1-26-12_workshop_flyer.pdf,,,,,,,,,,,,,
