"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
Agriculture Department,Proposed Rulemaking Hearing,Increase fees related to audit and third-party certification services,04/30/2012 01:00:00 PM,04/30/2012 04:00:00 PM,Oregon Department of Agriculture building, Salem,OR,"Federal-State Cooperative Agreement with USDA requests that fees charged for audit services conducted under that agreement follow the current federal rate, currently at $92/hr. OAR-603-053 currently puts the Oregon Department of Agriculture out of compliance with this agreement. Increased revenue generated from this fee increase will help pay for administrative costs of the program, as well as yearly continuing education for auditors and accreditation and audit fees for certification programs.

The ODA proposes a revised fee schedule as follows: change the minimum hourly charge from $75 to $92, with a 4 hour minimum of service. Additionally, it proposes application fees for the National Organic Program certification program at $250 for new organic applicants and $100 yearly renewal application fee for returning customers to cover the administrative cost and accepting and reviewing organic applications before inspection and audit fees can be billed. Additionally, as the Department has begun to offer Global Food Safety Initiative benchmarked audits, a certification fee is proposed to be charged per certificate to cover technical review and administrative costs of this program.","through May 14, 2012, 5:00 PM",Sue Gooch,503-986-4583,sgooch@oda.state.or.us,,,,,,,,,,,,,,
Agriculture Department,CAFO Advisory Committee Meeting,Confined Animal Feeding Operations advisory committee meets three times annually.,04/12/2012 01:30:00 PM,04/12/2012 03:30:00 PM,"Basement Conference Room D, Agriculture Building, 635 Capitol St. NE, 97301", Salem,OR,,,Carol Devore,(503) 986-4699,cdevore@oda.state.or.us,http://oregon.gov/ODA/NRD/cafo_front.shtml#Committee_meetings_notice,,,,,,,,,http://www.oregon.gov/ODA/,,,,
Agriculture Department,Oregon Soil and Water Conservation Commission,SWCC Quarterly Meeting,04/12/2012 01:00:00 PM,04/13/2012 12:00:00 PM,"650 Hawthorne Ave. SE, Suite 130, Salem, OR  97301", Salem,OR,"The Oregon Soil and Water Conservation Commission (SWCC) will hold its quarterly meeting Thursday, April 12, 2012, from 1:00 p.m. to 5:00 p.m. and Friday, April 13, 2012, from 8:00 a.m. to 12:00 p.m. The meeting will be held at the Marion SWCD Conference Rooms located at 650 Hawthorne Ave. SE, Suite 130, Salem, OR  97301. The meeting agenda covers SWCC reports and strategic plan, advisor reports, updates on Soil and Water Conservation District programs and funding, and other agenda items.
  
The Oregon Department of Agriculture complies with the Americans with Disabilities Act (ADA). If you need special accommodations to participate in this meeting, please contact Heather Rickenbach at (503) 986-4775, at least 72 hours prior to the meeting.",Yes,Heather Rickenbach,503 986-4775,heather.rickenbach@state.or.us,,,,Heather Rickenbach,503 986-4775,heather.rickenbach@state.or.us,,,,,,,,
Agriculture Department,Christmas Tree Advisory Committee Meeting,Spring Meeting ,04/18/2012 01:00:00 PM,04/18/2012 03:00:00 PM,"OSU's North Willamette Research & Extension Center 15210 NE Miley Rd, Basement Large Conference Rm", Aurora,OR,Agenda topics include a program financial update and a discussion on the annual Christmas tree survey,,Gary McAninch,503-986-4644,gmcaninch@oda.state.or.us,,,,Gary McAninch,503-986-4644,,,,,,,,,
Agriculture Department,Fertilizer Tonnage Fee Increase Public Hearing,Public Hearing,04/24/2012 01:00:00 PM,04/24/2012 03:00:00 PM,"635 Capitol ST NE, Salem OR 97301", Salem,OR,"Increase inspection fees for each ton of fertilizer, ag. mineral and ag. amendment from 35 cents to 45 cents. Increase inspection fees for each ton of gypsum from 3 cents to 5 cents.  Correct referrence to ORS 633.310 to ORS 633.311.",Yes,Sue Gooch,503-986-4583,sgooch@oda.state.or.us,http://www.oregon.gov/ODA/PEST/index.shtml,,,,,,,,,,,,,
Agriculture Department,Shipping Point Inspection,Advisory Board Annual Meeting,04/03/2012 10:00:00 AM,,30588 Feedville Rd, Hermiston,OR,,,Lorri Cooper,,lorri.l.cooper@state.or.us,,,,,,,,,,,,,,
Agriculture Department,Immediately Supervised Trainee Proposed Administrative Rule Public Hearing,Public Hearing,04/24/2012 09:00:00 AM,,"OR Dept of Ag - 635 Capitol ST NE, Salem OR 97301", Salem,OR,,,Sue Gooch,503-986-4583,sgooch@oda.state.or.us,,,,,,,,,,,,,,
"Albacore Commission, Oregon",Commission Meeting,Special Meeting Conference Call,04/17/2012 10:30:00 AM,04/17/2012 11:30:00 AM,Conference Call, Lincoln City,OR,,,Nancy Fitzpatrick,541-994-2647,nanjfitz@gmail.com,,,,,,,,,,,,,,
Architect Examiners Board,Board Meeting,Regular Board Meeting,04/06/2012 09:00:00 AM,04/06/2012 05:00:00 PM,205 Liberty NE Suite A, Salem,OR,Regularly schedule meeting at which the Board conducts its business. ,yes,Jim Denno,,jim@orbae.com,,,,,,,,,,,,,,
"Black Affairs, Commission on",Special Meeting,Officer nominations and Vice Chair replacement,04/28/2012 09:00:00 AM,04/25/2012 09:30:00 AM,"OACO, 527 SW Hall St., #308U, 97201", Portland,OR,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,Nancy Kramer,503-302-9725,nancy.kramer@state.or.us,,,,,,,,
