"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
Public Utility Commission,Public Meeting,,12/28/2021 09:30:00 AM,12/28/2021 11:30:00 AM,Video Conference,Salem,OR,,,Kristi,9712181189,Kristi.collins@puc.oregon.gov,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,12/14/2021 09:30:00 AM,12/14/2021 11:30:00 AM,Video Conference,Salem,OR,,,Kristi,9712181189,Kristi.collins@puc.oregon.gov,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting - LC 74 Idaho Power IRP Commission Workshop,,03/31/2020 01:30:00 PM,03/31/2020 03:30:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Portfolio Options Committee Public Meeting ,o	Welcome and announcements o	PUC Staff update on investigation into the POC o	Discussion of Staff update,01/23/2020 11:00:00 AM,01/23/2020 12:00:00 PM,Telephone Conference,Salem,OR,The Portfolio Options Committee will hold a regular meeting at 11:00 a.m. at via conference call. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 24 hours before the meeting to Natascha Smith 503-559-7752/ 1-800-648-3458 (TTY).,,Natascha Smith,503-559-7752, natacha.smith@state.or.us,,,,,,,,(877) 402-9753      ,2934157#,,,,,
Public Utility Commission,OUS Fund Advisory Board Meeting,,02/05/2020 10:00:00 AM,02/05/2020 12:00:00 PM,"201 High Street SE, Valley Conference Room (3rd floor)",Salem,OR,,,Roger White,503-378-6371,roger.white@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,07/12/2022 09:30:00 AM,07/12/2022 11:30:00 AM,Video Conference,Salem,OR,,,Kristi,9712181189,Kristi.collins@puc.oregon.gov,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting - UM 1930 Community Solar Interconnection,,01/16/2020 09:30:00 AM,01/16/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,06/27/2017 09:30:00 AM,06/27/2017 12:00:00 PM,"201 High Street SE, Suite 100",Salem,OR,,,Kristi Collins,,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,08/09/2022 09:30:00 AM,08/09/2022 11:30:00 AM,Video Conference,Salem,OR,,,Kristi,9712181189,Kristi.collins@puc.oregon.gov,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,06/16/2020 09:30:00 AM,06/16/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting - LC 70 PacifiCorp  2019 IRP Commission Work Session,,03/10/2020 01:30:00 PM,03/10/2020 04:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,05/31/2022 01:30:00 PM,05/31/2022 03:30:00 PM,Video Conference,Salem,OR,,,Kristi,9712181189,Kristi.collins@puc.oregon.gov,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting AR 626 Public Comment Hearing for Formal Rulemaking,,04/26/2022 01:30:00 PM,04/26/2022 04:00:00 PM,Video Conference,Salem,OR,,,Kristi,9712181189,Kristi.collins@puc.oregon.gov,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,08/23/2022 09:30:00 AM,08/23/2022 11:30:00 AM,Video Conference,Salem,OR,,,Kristi,9712181189,Kristi.collins@puc.oregon.gov,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,03/10/2020 09:30:00 AM,03/10/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting - AR 632 RENEWABLE NATURAL GAS PROGRAM SB 98,,03/19/2020 09:30:00 AM,03/19/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,06/09/2022 09:30:00 AM,06/09/2022 11:30:00 AM,Video Conference,Salem,OR,,,Kristi,9712181189,Kristi.collins@puc.oregon.gov,,,,,,,,,,,,,,
Public Utility Commission,  Portfolio Options Committee Public Meeting ,,02/26/2020 10:00:00 AM,02/26/2020 12:00:00 PM,"PacifiCorp, 20th floor in the main conference room, 825 NE Multnomah St",Portland,OR,"The Portfolio Options Committee will hold a regular meeting at 10:00 a.m. in the on February 26, 2020. A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 24 hours before the meeting to Natascha Smith 503-559-7752/ 1-800-648-3458 (TTY).",,Natascha Smith ,503-559-775, natacha.smith@state.or.us,,,,,,,,(877) 402-9753      ,2934157#,,,,,
Public Utility Commission,Public Meeting,,05/19/2020 09:30:00 AM,05/19/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting - ETO 2021-2022 Budget Presentation,,11/12/2020 09:30:00 AM,11/12/2020 11:00:00 AM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,HB 3065 COLR Implementation Meeting,,02/18/2020 09:00:00 AM,02/18/2020 03:30:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,06/30/2020 09:30:00 AM,06/30/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,04/21/2020 09:30:00 AM,04/21/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,https://www.oregon.gov/puc/news-events/Pages/default.aspx,,,,
Public Utility Commission,Public Meeting,,03/31/2020 09:30:00 AM,03/31/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting HB 3065 COLR Implementation Meeting,,05/14/2020 09:00:00 AM,05/14/2020 03:30:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,HB 3065 COLR Implementation Meeting,,01/21/2020 09:00:00 AM,01/21/2020 03:30:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,Tentative,01/14/2020 09:30:00 AM,01/14/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting - LC 73 PGE IRP Commission Workshop,,01/30/2020 09:30:00 AM,01/30/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting - LC 73 PGE IRP Commission Workshop,,03/16/2020 09:30:00 AM,03/16/2020 03:30:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,05/05/2020 09:30:00 AM,05/05/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,04/07/2020 09:30:00 AM,04/07/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting UE 374 PAC Rate Case Public Comment Meeting,,04/02/2020 05:00:00 PM,04/02/2020 09:00:00 PM,Webinar,Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,SPM AR 626 Public Convenience and Necessity Rule Update Commission Workshop,,04/26/2022 09:30:00 AM,04/26/2022 11:30:00 AM,Video Conference,Salem,OR,,,Kristi,9712181189,Kristi.collins@puc.oregon.gov,,,,,,,,,,,,,,
Public Utility Commission,Public Meeting,,06/02/2020 09:30:00 AM,06/02/2020 12:00:00 PM,"201 High Street SE, Hearing Room",Salem,OR,,,Kristi Collins,5033730885,kristi.collins@state.or.us,,,,,,,,,,,,,,
Public Utility Commission,Special Public Meeting UM 1930 Community Solar Implementation,,08/26/2021 01:30:00 PM,08/26/2021 04:00:00 PM,Video Conference,Salem,OR,,,Kristi,9712181189,Kristi.collins@puc.oregon.gov,,,,,,,,,,,,,,
