"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Land Conservation & Development Department,Citizen Involvement Advisory Committee Meeting,,07/29/2022 09:00:00 AM,07/29/2022 12:00:00 PM,https://us02web.zoom.us/j/84293401249?pwd=TkYvNVRyQ3UzNVNReVlZOU16b0ZMQT09,Zoom meeting,OR,"Adding new members, Sofia and Michael. Welcome!
Hi there,
Ingrid Caudel is inviting you to a scheduled Zoom meeting. 
Join Zoom Meeting 
One tap mobile: 
US: +16699006833,,84293401249#,,,,*297264# or +12532158782,,84293401249#,,,,*297264# 
Meeting URL: 
https://us02web.zoom.us/j/84293401249?pwd=TkYvNVRyQ3UzNVNReVlZOU16b0ZMQT09 
Meeting ID: 
842 9340 1249
Passcode:
297264
Join by Telephone 
For higher quality, dial a number based on your current location. 
Dial: 

US: +1 669 900 6833 or +1 253 215 8782 or +1 346 248 7799 or +1 646 876 9923 or +1 301 715 8592 or +1 312 626 6799 or 888 683 5191 (Toll Free) or 855 880 1246 (Toll Free) or 877 853 5257 (Toll Free) 
Meeting ID: 
842 9340 1249
Passcode: 
297264
",,Ingrid Caudel,(971) 701-1133,Ingrid.CAUDEL@dlcd.oregon.gov,,,,,,,,,,,,,,,,,,,
Land Conservation & Development Department,Citizen Involvement Advisory Committee,Joint meeting with the Land Conservation and Development Commission,09/26/2019 09:00:00 AM,09/26/2019 05:00:00 PM,TBD - Portland Metro Location, Portland,OR,,Yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,,,,,,,,,https://www.oregon.gov/lcd/About/Pages/CIAC.aspx,,,,
Land Conservation & Development Department,Citizen Involvement Advisory Committee,,06/06/2019 09:00:00 AM,06/06/2019 12:00:00 PM,Teleconference, Salem,OR,,Yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,,,Katie Lahey,503-938-0401,katie.lahey@state.or.us,true,https://zoom.us/j/531222475,1-888-683-5191,531222475,https://www.oregon.gov/lcd/About/Documents/20190606_CIACAgenda.pdf,,,,https://www.oregon.gov/lcd/About/Pages/CIAC.aspx,20190606_CIACAgenda.pdf (https://data.oregon.gov/views/gs36-7t8m/files/069630ad-6457-4b22-9b94-c1ab1c620831?download=true&filename=20190606_CIACAgenda.pdf),,,
Land Conservation & Development Department,Citizen Involvement Advisory Committee,,03/28/2019 09:00:00 AM,03/28/2019 12:00:00 PM,"Basement Hearing Room, 635 Capitol St. NE", Salem,OR,,yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,,,Katie Lahey,503-934-0401,katie.lahey@state.or.us,true,https://zoom.us/j/133701906,1-888-683-5191,133 701 906,,,,,https://www.oregon.gov/lcd/About/Pages/CIAC.aspx,,,,
Land Conservation & Development Department,Citizen Involvement Advisory Committee,ORS 197 established the state´s Citizen Involvement Advisory Committee (CIAC) to advise LCDC and local governments on matters pertaining to citizen involvement.,12/06/2018 09:00:00 AM,12/06/2018 12:00:00 PM,"635 Capitol St., Ste. 250", Salem,OR,"Memorial Conference Room, or
Join from PC, Mac, Linux, iOS or Android: https://zoom.us/j/133701906
Or iPhone one-tap :
    US: +14086380968,,133701906#  or +16468769923,,133701906# 
Or Telephone&#65306;
    Dial: 1 888 683 5191 (Toll Free)
    Meeting ID: 133 701 906",yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,https://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,true,https://zoom.us/j/133701906,1 888 683 5191,,,,,,,,,,
Land Conservation & Development Department,Citizen Involvement Advisory Committee,ORS 197 established the state´s Citizen Involvement Advisory Committee (CIAC) to advise LCDC and local governments on matters pertaining to citizen involvement.,09/06/2018 09:00:00 AM,09/06/2018 12:00:00 PM,"Agriculture Building, 635 Capitol St., Ste. 250", Salem,OR,"Memorial Conference Room, or
Join from PC, Mac, Linux, iOS or Android: https://zoom.us/j/133701906
Or iPhone one-tap :
    US: +14086380968,,133701906#  or +16468769923,,133701906# 
Or Telephone&#65306;
    Dial: 1 888 683 5191 (Toll Free)
    Meeting ID: 133 701 906",yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,https://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,,https://zoom.us/j/133701906,1 888 683 5191,,,,,,,,,,
Land Conservation & Development Department,Citizen Involvement Advisory Committee,ORS 197 established the state´s Citizen Involvement Advisory Committee (CIAC) to advise LCDC and local governments on matters pertaining to citizen involvement.,06/07/2018 09:00:00 AM,06/07/2018 12:00:00 PM,"Agriculture Building, 635 Capitol St., Ste. 250",Salem,OR,"Memorial Conference Room, or
Join from PC, Mac, Linux, iOS or Android: https://zoom.us/j/133701906
Or iPhone one-tap :
    US: +14086380968,,133701906#  or +16468769923,,133701906# 
Or Telephone&#65306;
    Dial: 1 888 683 5191 (Toll Free)
    Meeting ID: 133 701 906
",yes,Sadie Carney,503-934-0036,Sadie.carney@state.or.us,,https://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,true,https://zoom.us/j/133701906,1 888 683 5191,,,,,,,,,,
Land Conservation & Development Department,Citizen Involvement Advisory Committee,ORS 197 established the state´s Citizen Involvement Advisory Committee (CIAC) to advise LCDC and local governments on matters pertaining to citizen involvement. ,03/15/2018 09:00:00 AM,03/15/2018 12:00:00 PM,"Agriculture Building, 635 Capitol St., Ste. 250", Salem,OR,"Memorial Conference Room, or

Join from PC, Mac, Linux, iOS or Android: https://zoom.us/j/133701906

Or iPhone one-tap :
    US: +14086380968,,133701906#  or +16468769923,,133701906# 

Or Telephone&#65306;
    Dial: 1 888 683 5191 (Toll Free)
    Meeting ID: 133 701 906
",yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,https://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,true,https://zoom.us/j/133701906,1 888 683 5191,,,,,,,,,,
Land Conservation & Development Department,Citizen Involvement Advisory Committee,ORS 197 established the state´s Citizen Involvement Advisory Committee (CIAC) to advise LCDC and local governments on matters pertaining to citizen involvement.,12/06/2017 10:00:00 AM,12/06/2017 12:00:00 PM,"635 Capitol St., Ste. 250", Salem,OR,"Memorial Conference Room, or
Join from PC, Mac, Linux, iOS or Android: https://zoom.us/j/133701906
Or iPhone one-tap :
    US: +14086380968,,133701906#  or +16468769923,,133701906# 
Or Telephone&#65306;
    Dial: 1 888 683 5191 (Toll Free)
    Meeting ID: 133 701 906",yes,Sadie Carney,503-934-0036,sadie.carney@state.or.us,,https://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,true,https://zoom.us/j/133701906,1 888 683 5191,,,,,,,,,,
Land Conservation & Development Department,Citizen Involvement Advisory Committee (CIAC),,12/07/2016 09:00:00 AM,12/07/2016 11:00:00 AM,"Agriculture Building - Ste. 250 Conference Room, 635 Capitol St. NE", Salem,OR,,Yes,Casaria Taylor,503-934-0065,casaria.taylor@state.or.us,,http://www.oregon.gov/ODA/shared/Documents/Publications/Administration/DirectionsODA.pdf,,,,,,,,,,,,,http://www.oregon.gov/LCD/pages/citizeninvolvement.aspx#Meeting_Schedule,,,,
