"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Psychologists Examiners Board,Consumer Protection Committee Meeting,Committee of the Board,05/01/2017 08:00:00 AM,05/01/2017 10:00:00 AM,3218 Pringle Rd. SE , Salem,OR,,No,Ashlie Rios,503-373-1146,ashlie.rios@state.or.us,,http://www.oregon.gov/obpe/docs/DirectionsOBPE.pdf,http://www.oregon.gov/OBPE/Board_Meetings/CALENDAR.pdf,LaRee' Felton,503-373-1196,laree.felton@state.or.us,,,,,http://www.oregon.gov/obpe/docs/Meeting_Notice_CPC_05-01-2017.pdf,,,,http://www.oregon.gov/obpe/Pages/index.aspx,Meeting_Notice_CPC_05-01-2017.pdf (https://data.oregon.gov/views/gs36-7t8m/files/58fa34bd-38f7-4eda-b716-409ccc7df5a7?download=true&filename=Meeting_Notice_CPC_05-01-2017.pdf),,,
Public Utility Commission,Special Public Meeting - ,to address items moved from the May 2 Canceled Regular Public Meeting,05/01/2017 09:30:00 AM,05/01/2017 10:00:00 AM,"201 High Street SE, Hearing Room", Salem,OR,,,Kristi Collins,,kristi.collins@state.or.us,,,,,,,,,,,,,,,,,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) meeting,Quarterly meeting,05/01/2017 12:30:00 PM,05/01/2017 04:30:00 PM,304 SE Nye Ave. , Pendleton,OR,,Yes,Manette Simpson,503-986-4715,msimpson@oda.state.or.us,,,,Sandi Hiatt,503-986-4704,shiatt@oda.state.or.us,,,,,,,,,http://www.oregon.gov/ODA/programs/NaturalResources/Pages/Meetings.aspx,,,,
"Forestry, State Board of",Committee for Family Forestlands,,05/01/2017 01:00:00 PM,05/01/2017 05:00:00 PM,"Sunridge Inn, 1 Sunridge Lane ", Baker City,OR,,,Susan Dominique ,503-945-7502,susan.dominique@oregon.gov,,,,,,,,,,,,,,,,,,,
Psychologists Examiners Board,Supervision Committee Meeting,Committe of the Board,05/01/2017 01:30:00 PM,05/01/2017 03:30:00 PM,3218 Pringle Rd. SE, Salem,OR,,Yes,Ashlie Rios,503-373-1146,ashlie.rios@state.or.us,,http://www.oregon.gov/obpe/docs/DirectionsOBPE.pdf,http://www.oregon.gov/OBPE/Board_Meetings/CALENDAR.pdf,LaRee' Felton,503-373-1196,laree.felton@state.or.us,,,,,http://www.oregon.gov/obpe/docs/Meeting%20Notice%20and%20Agenda%20SC%2005-01-2017.pdf,,,,http://www.oregon.gov/obpe/Pages/index.aspx,Meeting Notice and Agenda SC 05-01-2017.pdf (https://data.oregon.gov/views/gs36-7t8m/files/3958528d-ef4c-465f-8090-0b5570b59981?download=true&filename=Meeting%20Notice%20and%20Agenda%20SC%2005-01-2017.pdf),,,
Medical Assistance Program Administration,Rule Advisory Committee - Pharmaceutical Services Program,Discuss proposed rule changes to update outpatient fee-for-service reimbursement methodology effective 7/1/2017,05/01/2017 01:30:00 PM,05/01/2017 03:00:00 PM,"Barbara Roberts Human Services Building, 500 Summer St NE, Room 160", Salem,OR,See attached agenda for meeting details.,,"Deborah Weston, Pharmacy Program Manager",503-884-5405,deborah.g.weston@state.or.us,,,,,,,,,1-866-390-1828,639037,,,,,,I:\Admin Rules- DMAP Program\RAC\RACs for 2017\5.1.17 Pharm\RAC Notification 5.1.17.pdf (https://data.oregon.gov/views/gs36-7t8m/files/946bfa43-29d8-418a-a97b-644458428cf7?download=true&filename=I:\Admin%20Rules-%20DMAP%20Program\RAC\RACs%20for%202017\5.1.17%20Pharm\RAC%20Notification%205.1.17.pdf),,,
"Health Authority, Oregon",Oregon Health Policy Board to meet May 2 in Portland at OHSU,Includes legislative and federal updates as well as discussion and possible action regarding hospital community benefits and OHPB committees,05/02/2017 08:30:00 AM,05/02/2017 12:00:00 PM,"OHSU Center for Health & Healing, 3303 SW Bond Ave., third floor, room 4", Portland,OR,"The Oregon Health Policy Board will hold its monthly meeting May 2, 2017 in Portland. The meeting will be held at the OHSU Center for Health and Healing.

When: Tuesday, May 2, 8:30 a.m. – 12:00 p.m.

Where: OHSU Center for Health & Healing, 3303 SW Bond Ave., third floor, room 4. The meeting will also be available via live web stream. A link to the live stream and a recording of the meeting will be posted on the board’s meeting page at http://www.oregon.gov/oha/OHPB/Pages/2017-OHPB-Meetings.aspx. Members of the public can also call in to listen by dialing 1-888-808-6929, participant code 915042#.

Agenda: 
Welcome
OHA Director’s Report
OHPB Committee Updates
2017 Legislative Session Update
Federal Health Policy Update
OHPB Committees: Charters & Membership Discussion & Possible Action
Public Testimony
Community Benefit Presentation & Panel

For more information on the meeting, visit the board’s meeting page at http://www.oregon.gov/oha/OHPB/Pages/2017-OHPB-Meetings.aspx .

The meeting site is accessible to people with disabilities. Individuals requiring accommodation may request alternate formats, sign language interpreters, physical accessibility, or other reasonable accommodations by calling the Oregon Health Authority at 1-800-282-8096 at least 48 hours before the meeting.
",,Jeff Scroggin,541-999-6983,JEFFREY.SCROGGIN@state.or.us,,,,,,,true,http://www.oregon.gov/oha/OHPB/Pages/2017-OHPB-Meetings.aspx,1-888-808-6929,915042#,,,,,http://www.oregon.gov/oha/OHPB/Pages/2017-OHPB-Meetings.aspx,,,,
"Processed Vegetable Commission, Oregon",Commission Meeting to Interview Administrator Candidates,,05/02/2017 11:00:00 AM,05/02/2017 02:30:00 AM,1320 Capitol Street  NE, Salem,OR,Commissioners will be meeting to interview candidates to serve as the commission administrator.,No,Misty Slagle,503-924-1181,misty@westernadvocates.com,,,,,,,,,,,,,,,,,,,
"Health Authority, Oregon",Public Health Division convenes Rules Advisory Committee on May 2,,05/02/2017 02:00:00 PM,05/02/2017 04:00:00 PM," Portland State Office Building, Room 1C, 800 NE Oregon St.",Portland,OR,"What: The Tobacco Prevention and Education Program of the Public Health Division will convene a Rules Advisory Committee (RAC).

Agenda: The Rules Advisory Committee (RAC) will gather public input and review administrative rules in chapter 333, division 15 related to the Oregon Indoor Clean Air Act (ICAA).
When: Tuesday, May 2, 2017, 2 p.m. - 4 p.m. 

Where: Portland State Office Building, Room 1C, 800 NE Oregon St., Portland, OR 97232 

Background: The Tobacco Prevention and Education Program (TPEP) will convene a RAC and resubmit rules following the Oregon Administrative Procedures Act, beginning May 2017. Membership of the RAC represents a diverse mix of stakeholders from business affected by changes in the law, health professionals, community-based organizations, and government agencies. 

Contact: Alexandra Alday, Administrative Specialist 2, Health Promotion and Chronic Disease Prevention Section at alexandra.h.alday@state.or.us or at 971-673-1085 for more information or to be placed on a list of interested parties to receive notifications about meetings, public hearings and public comment periods.",Yes,Alexandra Alday,971-673-1085,alexandra.h.alday@state.or.us,,,,,,,,,,,,,,,,,,,
Clackamas ESD,Special Workshop Session,,05/02/2017 05:00:00 PM,05/02/2017 08:00:00 PM,13455 SE 97th Avenue,Clackamas,OR,,,Pam Bonner,,pbonner@clackesd.org,,,,,,,,,,,,,,,https://v3.boardbook.org/Public/PublicHome.aspx?ak=1000564,,,,
