"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,2010 House Districts,2010 Senate Districts,Counties
Agriculture Department,Soil and Water Conservation Commission (SWCC) Work Session,,11/16/2020 03:00:00 PM,11/16/2020 05:00:00 PM,Virtual meeting, Salem,OR,,No,Sandi Hiatt,503-986-4704,shiatt@oda.state.or.us,,,,,,,true,https://global.gotomeeting.com/join/743584069  (https://global.gotomeeting.com/join/743584069%20),1 877 309 2073 ,743-584-069 ,"https://www.oregon.gov/oda/programs/NaturalResources/Documents/Meetings,%20minutes,%20agendas/SWCC2020/SWCCAgenda111620.pdf",,,,https://oda.direct/Meetings,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) Quarterly Meeting,,11/17/2020 08:45:00 AM,11/17/2020 12:00:00 PM,Virtual meeting, Salem,OR,,Yes,Sandi Hiatt,503-986-4704,shiatt@oda.state.or.us,,,,,,,true,https://global.gotomeeting.com/join/866612221,1 866 899 4679 ,866-612-221 ,"https://www.oregon.gov/oda/programs/NaturalResources/Documents/Meetings,%20minutes,%20agendas/SWCC2020/SWCCAgenda111720.pdf",,,,https://oda.direct/Meetings,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) quarterly meeting,,02/25/2015 08:30:00 AM,02/25/2015 05:00:00 PM,"Willow Lake Water Pollution Control Facility, 5915 Windsor Island Road N", Keizer,OR,,,Sandi Hiatt,,shiatt@oda.state.or.us,,,,,,,,,,,,,,,,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) Meeting,,01/15/2020 08:30:00 AM,01/15/2020 01:30:00 PM,"Clackamas SWCD Conference Room, 22055 Beavercreek Road",Beavercreek,OR,,Yes,Sandi Hiatt,503 986-4704,shiatt@oda.state.or.us,,,,Sandi Hiatt,503 986-4704,shiatt@oda.state.or.us,,,,,https://oda.direct/SWCCAgenda0120,,,,https://oda.direct/Meetings,,,
Agriculture Department,Oregon Soil and Water Conservation Commission Quarterly Meeting,SWCC quarterly meeting,04/21/2014 12:00:00 PM,04/22/2014 12:00:00 PM,"Willow Lake Water Pollution Control Facility, 5915 Windsor Island Road", Keizer,OR,"The Oregon Soil and Water Conservation Commission (SWCC) will hold its regular quarterly meeting Monday, April 21, 2014, from 12:00 p.m. to 5:00 p.m. and Tuesday, April 22, 2014, from 8:30 a.m. to 12:00 p.m. at the Willow Lake Water Pollution Control Facility located at 5915 Windsor Island Road N., Keizer, OR 97303. The meeting agenda covers SWCC reports, advisor reports, Soil and Water Conservation District programs and funding, Agriculture Water Quality Management Program updates, and other agenda items.
  
The Oregon Department of Agriculture complies with the Americans with Disabilities Act (ADA). If you need special accommodations to participate in this meeting, please contact Heather Rickenbach at (503) 986-4775, at least 72 hours prior to the meeting.",Yes,Heather Rickenbach,,heather.rickenbach@state.or.us,,,,Heather Rickenbach,503-986-4775,heather.rickenbach@state.or.us,,,,,,heather.rickenbach@state.or.us,,,http://www.oregon.gov/ODA/SWCD/Pages/swcc.aspx,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) quarterly meeting,,02/24/2015 12:00:00 PM,02/24/2015 05:00:00 PM,"Willow Lake Water Pollution Control Facility, 5915 Windsor Island Road N", Keizer,OR,,,Sandi Hiatt,,shiatt@oda.state.or.us,,,,,,,,,,,,,,,,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) Meeting,Quarterly regularly scheduled SWCC meeting. ,02/11/2016 12:30:00 PM,02/11/2016 04:30:00 PM,"Willow Lake Water Pollution Control Facility, 5915 Windsor Island Road N", Keizer,OR,,Yes,Manette Simpson,503-986-4715,msimpson@oda.state.or.us,,,,Sandi Hiatt,503-986-4704,shiatt@oda.state.or.us,,,,,,,,,http://www.oregon.gov/ODA/programs/NaturalResources/Pages/Meetings.aspx,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) Meeting,Quarterly regularly scheduled SWCC meeting. ,02/12/2016 08:30:00 AM,02/12/2016 12:30:00 PM,"Willow Lake Water Pollution Control Facility, 5915 Windsor Island Road N", Keizer,OR,,Yes,Manette Simpson,503-986-4715,msimpson@oda.state.or.us,,,,Sandi Hiatt,503-986-4704,shiatt@oda.state.or.us,,,,,,,,,http://www.oregon.gov/ODA/programs/NaturalResources/Pages/Meetings.aspx,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) Meeting,,04/07/2015 08:30:00 AM,04/07/2015 11:30:00 AM,"Oregon Department of Agriculture, Third Floor Conference Room D, 635 Capitol St. NE",Salem,OR,,,Sandi Hiatt,503/986-4704,shiatt@oda.state.or.us,,,,,,,,,,,,,,,http://oregon.gov/ODA/programs/NaturalResources/Pages/Meetings.aspx.,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) Meeting,,08/04/2015 08:30:00 AM,08/04/2015 01:30:00 PM,"Miller Woods, 15580 Orchard View Road NW", McMinnville,OR,,,Sandi Hiatt,503/986-4704,shiatt@oda.state.or.us,,,,,,,,,,,,,,,http://www.oregon.gov/ODA/programs/NaturalResources/Pages/Meetings.aspx,,,
Agriculture Department,Soil and Water Conservation Commission (SWCC) quarterly meeting,,11/12/2014 02:30:00 PM,11/12/2014 05:00:00 PM,"Eagle Crest Resort, 1522 Cline Falls Highway", Redmond,OR,Regular SWCC meeting in conjunction with the 2014 Gathering for Conservation Conference. ,,Manette Simpson,503-986-4715,msimpson@oda.state.or.us,,"https://www.google.com/maps/place/Eagle+Crest+Resort/@44.259639,-121.262764,17z/data=!3m1!4b1!4m2!3m1!1s0x54bf2c87529c4de1:0xfe165122d4b86595?hl=en",,,,,,,,,,,,,http://www.oregon.gov/ODA/programs/NaturalResources/Pages/Meetings.aspx,,,
