"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Public Call-In Number,Call-in Access Code,Agenda URL,Map Location,2010 House Districts,2010 Senate Districts,Counties
Workers Compensation Board,Notice of Advisory Committee Meeting,,06/14/2019 08:30:00 AM,06/14/2019 12:00:00 PM,16760 SW Upper Boones Ferry Rd., Portland,OR,Continued discussion on rule concepts and responses to the Board’s invitation for written comments concerning its biennial review of attorney fee schedules under ORS 656.388(4).,Yes,Kayleen Atkins ,503-934-0123,Kayleen.r.atkins@oregon.gov,,,,,,,,,,,,,,
Workers Compensation Board,Board Meeting ,,12/17/2019 01:00:00 PM,12/17/2019 05:00:00 AM,"2601 25th St. SE, STE 150 ",Salem ,OR,"Discussion of draft “attorney fee-related” rule language prepared in
response to the Members’ directions at their October 29, 2019, Board
meeting.

Discussion of additional draft “attorney fee-related” rule language
submitted by Member Lanning since the October 29, 2019, Board
meeting.

Discussion of additional draft “attorney fee-related” rule language
submitted by Member Curey since the October 29, 2019, Board
meeting.

Consideration of approving proposed “attorney fee-related” rule
amendments and scheduling a public “rulemaking” hearing to receive
written/oral comments from parties, practitioners, and the public
concerning any proposed rule amendments.",Yes ,Kayleen Atkins ,503-934-0123,kayleen.r.atkins@oregon.gov,,,,,,,,,,,,,,
Workers Compensation Board,Board Meeting,Board Meeting,06/25/2013 10:00:00 AM,,"2601 25th St. SE, Ste. 150, Hearing Room A", Salem,OR,"Consideration of previously unaddressed portions of the advisory committee's report concerning ""hearing procedure-related"" administrative rule concepts.",Yes,karen burton,503-934-0123,karen.burton@state.or.us,http://www.cbs.state.or.us/wcb/2013/minutes/minutes13.htm,,,,,,,,,,,,,
Workers Compensation Board,Board Meeting,Board Meeting,06/21/2013 10:00:00 AM,,"2601 25th St. SE, Ste. 150, Hearing Room A", Salem,OR,"Consideration of drafts concerning ""third party-related"" administrative rule concepts and informational brochure.",Yes,karen burton,503-934-0123,karen.burton@state.or.us,http://www.cbs.state.or.us/wcb/2013/minutes/minutes13.htm,,,,,,,,,,,,,
Workers Compensation Board,Board Meeting,Board Meeting,05/08/2012 10:00:00 AM,,"2601 25th St. SE, Ste. 150, Hearing Room A", Salem,OR,"Consideration of the advisory committee’s recommendations concerning “technology-based” rule-related concepts (e.g., email filing, electronic signatures, etc.).

Consideration of proposed rule amendments addressing these concepts.

Further consideration of “rule review” comments regarding OAR 438-009-0022 (“non-English comprehension” of CDA-related information).
",Yes,Karen Burton,503-934-0123,karen.burton@state.or.us,,,,,,,,,,,,,,
Workers Compensation Board,Board Meeting,Board Meeting,04/15/2013 10:00:00 AM,,"2601 25th St. SE, Ste. 150, Hearing Room A", Salem,OR,"Consideration of the advisory committee's report concerning ""third party-related"" administrative rule concepts.",Yes,karen burton,,karen.burton@state.or.us,,,,,,,,,,,,,,
Workers Compensation Board,Notice of Advisory Committee Meeting,Attorney Fee Advisory Committee ,06/08/2012 01:30:00 PM,,"2601 25th St. SE, Ste. 150, Hearing Room A", Salem,OR,"Discussion of rule review ""attorney fee"" and ""CDA comprehension-related"" comments and their possible application to the rules of practice and procedure before the Workers' Compensation Board.",,Karen Burton,503-934-0123,karen.burton@state.or.us,,,,,,,,,,,,,,
Workers Compensation Board,Board Meeting,Board Meeting,12/03/2013 10:00:00 AM,,"2601 25th St. SE, Ste. 150, Hearing Room A", Salem,OR,"Consideration of comments received regarding the September 6, 2013 rulemaking hearing concerning the adoption of permanent amendments to the rules of practice and procedure for contested cases under the workers’ compensation law, relating to Third Party Election Letter (OAR 438-011-0055).


Consideration of comments received regarding the October 4, 2013 rulemaking hearing concerning the adoption of permanent amendments to the rules of practice and procedure for contested cases under the workers’ compensation law, relating to Board Policy (OAR 438-005-0035); Filing and Service of Documents; Correspondence (OAR 438-005-0046); Acknowledgment; Notice of Conference and Hearing in Ordinary Hearing Process (OAR 438-006-0020); Specification of Issues (OAR 438-006-0031); Response (OAR 438-006-0036); Motions, Arguments (OAR 438-006-0045); Prehearing Conference (OAR 438-006-0062); Expedited Remedy for Failure to Pay Temporary Disability (OAR 438-006-0075); Deferred Hearings (OAR 438-006-0105); Medical and Vocational and Other Documentary Evidence (OAR 438-007-0005); Exchange and Admission of Exhibits at Hearing (OAR 438-007-0018); Subpoenas; Witness Fees (OAR 438-007-0020); Claim Disposition Agreements; Form (OAR 438-009-0020).",Yes,karen burton,,karen.burton@state.or.us,,,,,,,,,,,,,,
Workers Compensation Board,Notice of Advisory Committee Meeting,Third Party Notice Rule Advisory Committee,03/11/2013 10:00:00 AM,,"Portland State Office Bldg., Conference Room 1C-30 (Lobby Level), 800 NE Oregon St.", Salem,OR,"Discussion of comments regarding ""third party notice"" rule concepts.",No,karen burton,,karen.burton@state.or.us,,,,,,,,,,,,,,
Workers Compensation Board,Board Meeting,Board Meeting,03/20/2014 01:30:00 PM,,"2601 25th St. SE, Ste. 150, Hearing Room A", Salem,OR,"•	Consideration of updated bulletin pertaining to the “informational enclosure” for CDAs prescribed in OAR 438-009-0022(2).

•	Consideration of possible rulemaking to amend WCB rules to allow for the filing of settlement documents via WCB’s portal.

•	Discussion of rule concept regarding the submission of exhibits concerning “on-the-record” cases where formal hearings have been waived.

•	ALJ hiring consultation pursuant to ORS 656.724(1).

•	Discussion of establishing a schedule for future Board meeting dates.
",Yes,karen burton,503-934-0123,karen.burton@state.or.us,,,,,,,,,,,,,,
