"Agency, Board, Commission, Branch",Meeting Title,Short Description,Start Date & Time,End Date & Time,Meeting Location,City,State,Details,Public Comment Accepted,Contact Name,Phone Number,Contact Email,Web Link (optional),Map Link,Calendar Link,ADA Contact,ADA Contact Phone,ADA Contact Email,Webinar/Webcast?,Webinar/Webcast Link,Public Call-In Number,Call-in Access Code,Agenda URL,Owner,Agenda Upload,Map Location,Weblink to Meeting Minutes/Summaries,Agenda Download,2010 House Districts,2010 Senate Districts,Counties
Public Employees Retirement System,PERS Health Insurance ,Advisory Committee,01/01/2015 09:00:00 AM,01/01/2015 12:00:00 AM,11410 SW 68th Parkway,Tigard,OR,,Yes,Mini Kobbervig,503 603-7755,mini.kobbervig@state.or.us,,,,,,,,,,,,donna.r.allen@state.or.us,,,https://www.pershealth.com/,,,,
Housing/Community Services Department,Public Hearing for the Financing of Multi-Family Housing Development with Proceeds from the Sale of Tax-Exempt Revenue Bonds,,01/05/2015 08:00:00 AM,01/05/2015 08:15:00 AM,"725 Summer Street NE, Suite B, Room B-221", Salem,OR,"A public hearing will be held on Monday January 5, 2015 at 8:00 a.m. at 725 Summer Street NE, Suite B, Salem, Oregon  97301-1266 in Room B-221.  The Department will receive comments on its proposed issuance of one or more issues of tax-exempt multi-family housing revenue bonds issued under a plan of finance.  The proceeds of the bonds will be used to refinance the multi-family apartment project described below, the current owner, operator or manager of which are the persons/entities set forth below.  The total amount of bonds to be issued under the plan of finance to refinance the project will not exceed $15,800,000.  All interested parties are invited to attend the public hearing or to forward their written comments to the Department at the address shown below.  Oral testimony at the hearing may be reasonably limited by the Department.

The meeting location is accessible to persons with disabilities.  A request for an interpreter for the hearing impaired or for other accommodations for persons with disabilities should be made at least 48 hours before the meeting to Sandy McDonnell, 503.986-2012, by TTY at 503.986-2100, or by email at sandy.mcdonnell@oregon.gov.

The development is located at and currently owned and operated by the following:

Development: Ramona Apartments
Property Address: 1550 NW 14th Avenue
City: Portland
Owner of Property: Nurture 247 Limited Partnership
Operator or Manager of Property: Pinnacle	
Total Units: 138

Margaret S. Van Vliet, Director
Oregon Housing and Community Services Department
725 Summer Street NE, Suite B
Salem OR  97301-1266",,Laurie LeCours,,Laurie.LeCours@oregon.gov,,,,Sandy McDonnell,503.986-2012,Sandy.McDonnell@oregon.gov,,,,,,,,,,,,,
"Geology and Mineral Industries, Oregon Department of",DOGAMI Governing Board Meeting,,01/05/2015 08:30:00 AM,01/05/2015 12:30:00 PM,"Assoc. of Oregon Counties Bldg, Rm. 113, 1201 Court St NE",Salem,OR,Agenda TBA,,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,"https://www.google.com/maps/place/Association+of+Oregon+Counties/@44.9375728,-123.0226177,13z/data=!4m2!3m1!1s0x54bfff16b0344101:0xf40d5fa2e2783a69",,Alyssa Pratt,(971) 673-1547,alyssa.pratt@state.or.us,,,,,http://www.oregongeology.org/sub/portoff/boardagenda-01-05-2015.pdf,,,,http://www.oregongeology.org/sub/portoff/GovBrdMin.HTM,,,,
Transportation Department,Lower John Day Area Commission on Transportation,LJDACT Meeting,01/05/2015 10:00:00 AM,01/05/2015 12:00:00 PM,Bob's Texas T-Bone Restaurant, Rufus,OR,,,Gary Farnsworth,,Gary.C.FARNSWORTH@odot.state.or.us,,,,,,,,,,,,,,,,,,,
Agriculture Department,Industrial Hemp Administrative Rule Hearing,,01/06/2015 09:00:00 AM,01/06/2015 12:00:00 PM,"635 Capitol St. NE, Basement Hearings Room", Salem,OR,,,Ron Pence,,rpence@oda.state.or.us,,,,,,,,,,,,,,,,,,,
"Blueberry Commission, Oregon",Blueberry Commission Meeting,Regular Scheduled Commission Meeting,01/06/2015 12:30:00 PM,,"Chemeketa Events @ Winema, Bldg 48, Rm 210", Salem,OR,,,Commissions,,jenny@ostlund.com,,,,,,,,,,,,jenny@ostlund.com,,,,,,,
"Forestry, State Board of",Board of Forestry,Regular Public Business Meeting,01/07/2015 09:00:00 AM,,"Forestry HQ, 2600 State St. Salem, Oregon 97310", Salem,OR,,Yes,Sabrina Perez,,sabrina.perez@state.or.us,http://www.oregonforestry.gov,,,,,,,,,,http://www.oregonforestry.gov,sabrina.perez@state.or.us,,,http://www.oregonforestry.gov,,,,
Employment Relations Board,Hearing ,Hearing,01/07/2015 09:00:00 AM,01/09/2015 05:00:00 PM,"in Room C207 of the Hillsboro Civic Center, 150 E. Main Street,", Hillsboro,OR,Hearing on CC-009-14 / Hillsboro Sergeant's Association v. City of Hillsboro,,Mary Barton,503-378-3295,mary.j.barton@oregon.gov,,,,,,,,,,,,,,,,,,,
Employment Relations Board,Hearing ,Hearing,01/07/2015 09:30:00 AM,01/09/2015 05:00:00 PM," TriMet’s Center Street Office, 4012 SE 17th Avenue, ", Portland,OR,Hearing in UP-043-13 / Richard Bell v. Tri-County Metropolitan Transportation District of Oregon and Pension Plan for Bargaining Unit Employees of TriMet,,Mary Barton,503-378-3295,mary.j.barton@oregon.gov,,,,,,,,,,,,,,,,,,,
"Mint Commission, Oregon",Mint Commission Meeting,Regular Scheduled Commission Meeting,01/07/2015 01:00:00 PM,,"Salishan Lodge - Gleneden Beach, OR",,OR,,,Commissions,,jenny@ostlund.com,,,,,,,,,,,,jenny@ostlund.com,,,,,,,
