"request_id","start_date","end_date","agency_name","type_of_notice_description","category_description","short_title","selection_method_description","section_name","special_case_reason_description","pin","due_date","address_to_request","contact_name","contact_phone","email","contract_amount","contact_fax","additional_description_1","additional_description_2","additional_description_3","other_info_1","other_info_2","other_info_3","vendor_name","vendor_address","printout_1","printout_2","printout_3","document_links","event_date","building_name","street_address_1","street_address_2","city","state","zip_code"
"20220812117","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","Citywide Administrative Services","Solicitation","Goods","PRE-SOLICITATION MEETING: 2200138 - EQUIPMENT RENTAL ROV 1 DOT","Competitive Sealed Bids","Procurement",,"857PS2200138","2022-09-20T09:30:00.000","1 Centre Street, 18th Floor, New York, NY 10007-1602","Daniel Ortega","(212) 386-0434","daortega@dcas.nyc.gov; khenry@dcas.nyc.gov",,,"<p>A Pre-Bid meeting has been scheduled for the above commodity on September 20th, 2022. The purpose of this meeting is to review the solicitation for the commodity listed above to ensure a successful bid, best product and to maximize competition. Your participation will assist us in revising bid terms and/or specifications, if needed, prior to bid opening to meet this goal. The exchange of information among buyers and sellers is necessary so vendors can understand City requirements and the City can obtain industry advice on current standards, new technology, commercial equivalents and new products and product lines.</p>",,,,,,,,,,,,,,,,,,
"20220818103","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","Housing Authority","Solicitation","Services (other than human services)","IDIQ UNDERGROUND LEAK DETECTION AT VARIOUS DEVELOPMENTS","Request for Quote","Procurement",,"379912-2","2022-09-16T14:00:00.000","90 Church Street, 6th Floor, New York, NY, 10007","Karen Gill","(212) 306-4505","karen.gill@nycha.nyc.gov",,,"<p>Indefinite Delivery Indefinite Quantity (IDIQ) Contract for Underground Leak Detection at Various Devleopments, Citywide. No Bid Security Required.</p><p>The Term of this Contract is three (3) years, with the option to extend, at NYCHA's sole discretion, for two (2) one-year periods.</p><p>A non-mandatory Proposers conference (Proposers Conference) will be hosted online via Microsoft Teams on August 31, 2022 at 12:00 P.M.Proposers Conference Meeting Information: 646-838-1534, Conference ID: 715767300#. Although attendance is not mandatory at the Proposers Conference, it is strongly recommended that all interested Proposers attend. Proposers who wish to attend must RSVP by e-mail to NYCHAs Coordinator by no later than August 30, 2022 at 4:00 P.M. NYCHA additionally recommends that Proposers e-mail questions in advance of the Proposers Conference to NYCHAs Coordinator by no later than 12:00 P.M. on August 30, 2022. Questions submitted in writing must include the firm name and the name, title, address, telephone number and e-mail address of the individual towhom responses to the Proposers questions should be given. Proposers will be permitted to ask additional questions at the ProposersConference. All questions and answers will be provided to all firms that received a copy of this RFQ.</p><p>In addition to the documents attached below, bidders are directed to review the Special Notices and Conditions, Instructions to Bidders, and General Conditions prior to submitting a bid. To access these documents, click on the 'Contract Terms' tab above, and then'Preview Contract Terms,' to download a PDF version.</p><p>Please note that in the event NYCHA receives no responses in connection with this RFQ by the original bid submission deadline, the bidsubmission deadline shall be extended automatically for seven (7) calendar days. The foregoing extension does not in any way limitNYCHA's right to extend the bid submission deadline for any other reason.</p><p>Prior to submitting a bid, please confirm that your bid response includes all required forms and documentation and that all required formsand documentation are properly completed, signed, and notarized, where applicable.</p><p>Note: In response to the COVID-19 outbreak, we are accepting only electronic bids submitted online via iSupplier. Paper bids will not beaccepted or considered. Please contact NYCHA Procurement @ procurement@nycha.nyc.gov for assistance.</p><p>Please note: An Up-to-Date Prevailing Wages Links are posted on iSupplier under Quick Links Section of Sourcing Supplier. The vendors are responsible for being informed of any updates to the Prevailing Wage Schedule. Interested firms are invited to obtain a copy of the RFP on NYCHA`s website. To conduct a search for the RFQ number; vendors areinstructed to open the link: http://www1.nyc.gov/site/nycha/business/isupplier-vendor-registration.page.</p>",,,,,,,,,,,,,,,,,,
"20220824101","2022-08-26T00:00:00.000","2022-09-09T00:00:00.000","Parks and Recreation","Solicitation","Services (other than human services)","renovation, operation, and maintenance of a full- service Marina at Locust Point, Bronx","Request for Proposals","Procurement",,,"2022-10-11T15:00:00.000","830 5th Ave","Angel Williams","(212) 360-3495","angel.williams@parks.nyc.gov; proposals.revenue@parks.nyc.gov",,,"<p>In accordance with Section 1-13 of the Concession Rules of the City of New York, the New York City Department of Parks and Recreation (Parks) is issuing, as of the date of this notice, a Request for Proposals (RFP) for the renovation, operation, & maintenance of a full- service Marina at Locust Point in the Bronx.</p><p>There will be a recommended remote proposer meeting on Friday, September 9, 2022 at 12:00 pm. If you are considering responding to this RFP, please make every effort to attend this recommended remote proposer meeting.</p><p>The Teams link for the remote proposer meeting is as follows: https://teams.microsoft.com/l/meetup-join/19%3ameeting_NWZlNDM1ZmYtZDBhZS00MzgyLWE3ODgtY2ZlMjFiZTQ0N2I2%40thread.v2/0?context=%7b%22Tid%22%3a%2232f56fc7-5f81-4e22-a95b-15da66513bef%22%2c%22Oid%22%3a%22c95573bf-36b7-40b2-906b-022b847185cd%22%7d Meeting ID: 239 685 856 273 Passcode: 3HpLYk</p><p>You may also join the remote proposer meeting by phone using the following information: call in (audio only) +1 646-893-7101, 416118439# United States, New York City Phone Conference ID: 416 118 439#</p><p>If you cannot attend the remote proposer meeting, please let us know by Friday, September 9, 2022 and subject to availability and by appointment only, we may set up a meeting at the proposed concession site, at 140 Reynolds Ave, Bronx, NY 10465.</p><p>All proposals submitted in response to this RFP must be submitted no later than Tuesday, October 11, 2022 at 3:00 p.m. Hard copies of the RFP can be obtained at no cost, commencing Friday, August 26, 2022 through Tuesday, October 11, 2022 by contacting Angel Williams, Senior Project Manager at (212)360-3495 or at Angel.Williams@parks.nyc.gov.</p><p>The RFP is also available for download, on Friday, August 26, 2022 through Tuesday, October 11, 2022, on Parks website. To download the RFP, visit http://www.nyc.gov/parks/businessopportunities and click on the Concessions Opportunities at Parks link. Once you have logged in, click on the download link that appears adjacent to the RFPs description.</p><p>For more information or if you cannot attend the remote proposer meeting, prospective proposers may contact Angel Williams, Senior Project Manager, at (212)360-3495 or at Angel.Williams@parks.nyc.gov. TELECOMMUNICATION DEVICE FOR THE DEAF (TDD) 212-504-4115</p>",,,,,,,,,,,,,,,,,,
"20220819101","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","Economic Development Corporation","Solicitation","Goods and Services","On-Call HVAC system Services at Various Sites","Request for Proposals","Procurement",,"101470001","2022-10-18T23:59:00.000","Please submit all requests to the project email address listed in the advertisement.","ON-CALL HVAC SYSTEM SERVICES RFP Team","(212) 618-1236","hvacservices2022@edc.nyc",,,"<p>New York City Economic Development Corporation (NYCEDC) is looking for a contractor to provide the materials and perform the tasks necessary to adequately furnish all labor, supervision, schedules, materials, tools, equipment, supplies, permits, and other items required for heating, ventilation, and air conditioning (HVAC) systems maintenance, repair, and emergency services.</p><p>NYCEDC plans to select a consultant on the basis of factors stated in the RFP which include, but are not limited to: the quality of the proposal, experience of key staff identified in the proposal, experience and quality of any subcontractors proposed, demonstrated successful experience in performing services similar to those encompassed in the RFP, and the proposed fee.</p><p>It is the policy of NYCEDC to comply with all federal, state and City laws and regulations which prohibit unlawful discrimination because of race, creed, color, national origin, sex, age, disability, marital status, and other protected category and to take affirmative action in working with contracting parties to ensure certified Minority and Women-owned Business Enterprises (MWBEs) share in the economic opportunities generated by NYCEDCs projects and initiatives. Please refer to the Equal Employment and Affirmative Compliance for Non-Construction Contracts Addendum in the RFP.</p><p>This project has Minority- and Women-Owned Business Enterprise (M/WBE) participation goals, and all respondents will be required to submit a M/WBE Narrative Form with their response. To learn more about NYCEDCs M/WBE program, visit http://edc.nyc/opportunity-mwdbe. For the list of companies who have been certified with the New York City Department of Small Business Services as M/WBE, please go to the https://sbsconnect.nyc.gov/certification-directory-search/.</p><p>NYCEDC established the Contract Financing Loan Fund program for Minority, Women and Disadvantaged Business Enterprise (M/W/DBE) interested in working on public projects. Contract Financing Loan Fund facilitates financing for short-term mobilization needs such as insurance, payroll, supplies and equipment. Bidders, sub-contractors and sub-consultants are strongly encouraged to visit the NYCEDC website at http://edc.nyc/opportunity-mwdbe to learn more about the program.</p><p>Respondents may submit questions and/or request clarifications from NYCEDC no later than 5pm on Friday, September 23, 2022. Questions regarding the subject matter of this RFP should be directed to hvacservices2022@edc.nyc. Answers to all questions will be posted by Friday, September 30, 2022, to https://edc.nyc/rfps. Questions regarding the subject matter of this RFP will not be accepted after 5pm on Friday, September 23, 2022; however, technical questions pertaining to downloading and submitting proposals to this RFP may be directed to hvacservices2022@edc.nyc on or before Tuesday, October 18, 2022.</p><p>Detailed submission guidelines and requirements are outlined in the RFP. To download a copy of the solicitation documents please visit https://edc.nyc/rfps. RESPONSES ARE DUE NO LATER THAN 11:59pm on Tuesday, October 18, 2022. Please click the link in the Deadlines section of this projects web page (which can be found on https://edc.nyc/rfps) to electronically upload a proposal for this solicitation.</p>",,,,,,,,,,,,,,,,,,
"20220818105","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","Citywide Administrative Services","Solicitation","Goods","2200063-Truck, 5 C. Y. Dump, 4X4 Beach Wagon - Parks","Competitive Sealed Bids","Procurement",,"85723B0024","2022-09-15T09:30:00.000","1 Centre Street, 18th Floor, New York, NY 10007","Daniel Ortega","(212) 386-0434","daortega@dcas.nyc.gov",,,"<p>The New York City Department of Citywide Administrative Services ('DCAS') is issuing a solicitation to obtain bid terms and/or specifications for the procurement Truck, 5 C. Y. Dump, 4X4 Beach Wagon - Parks.  Please see the solicitation documents for additional details. The purpose of this meeting is to review the solicitation for the commodity listed above to ensure a successful bid, best product and to maximize competition. Your participation will assist us in revising bid terms and/or specifications, if needed, prior to bid opening to meet this goal.</p>",,,,,,,,,,,,,,,,,,
"20220825128","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","Transportation","Solicitation","Construction/Construction Services","84122B0034-Furnishing and Installing Accessible Pedestrian Signals AT INTERSECTIONS THROUGHOUT New York City","Competitive Sealed Bids","Procurement",,"84122B0034","2022-08-31T00:00:00.000",,"Choudhry Sharif","(212) 839-4370","csharif@dot.nyc.gov",,,,,,,,,,,,,,,,,,,,,
"20220819107","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","Housing Preservation and Development","Solicitation","Construction Related Services","Affordable Housing Development Opportunity in the Mott Haven neighborhood of the Bronx","Request for Proposals","Procurement",,"HPD351PowersRFP","2022-11-18T16:00:00.000","100 Gold Street, Floor 9 - X56C, New York, NY 10038","Lyna Saad","(212) 863-8264","saadl@hpd.nyc.gov",,,"<p>The New York City Department of Housing Preservation and Development (HPD) invites developers to submit proposals for a new construction project in the Mott Haven section of the Bronx.</p><p>The 351 Powers Avenue Request for Proposals (RFP) is currently available on HPDs website (https://www1.nyc.gov/site/hpd/services-and-information/351-powers-avenue-rfp.page). Respondents can download the RFP at no charge and must register online to receive any updates or additional communications regarding the RFP.</p><p>A virtual pre-submission conference will be held on September 13th at 1:30 p.m. Interested organizations are strongly encouraged to attend this conference. If you are planning on attending the conference, please RSVP on HPDs Website. Any updates and/or additional communications regarding this RFP will also be posted on HPDs website.</p><p>People with disabilities requiring special accommodations to attend the pre-submission conference should contact Lyna Saad at the email address below.</p><p>All proposals are due no later than 4:00 p.m. on Friday, November 18th, 2022. Detailed instructions are provided in the RFP.</p><p>All communications must be IN WRITING to: 351powersrfp@hpd.nyc.gov, or Lyna Saad, NYC Department of Housing Preservation and Development - Office of Neighborhood Strategies, 100 Gold Street, Floor 9X, New York, NY 10038</p>",,,,,,,,,,,,,,,,,,
"20220818102","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","Citywide Administrative Services","Solicitation","Goods","Bid# 2200026 - Truck, 3-4 Cubic Yard WITH DUMP BODY - DPR.","Competitive Sealed Bids","Procurement",,"85723B0002","2022-09-28T10:30:00.000","1 Centre Street,18th Floor North, New York, NY 10007","Daniel Ortega","(212) 386-0434","daortega@dcas.nyc.gov",,,"<p>ALL bids are done in PASSPort, please visit https://passport.cityofnewyork.us/page.aspx/en/rfp/request_browse_public and serch by PIN: 85723B0002 number or Keywords: Truck, 3-4 Cubic Yard with Dump</p><p>Please see the solicitation documents for additional details. Please submit your proposals by both acknowledging the receipt of the RFx in the Acknowledgement tab and completing your response in the Manage Responses tab. Vendor resources and materials can be found at the link below under the Finding and Responding to RFx heading. If you need additional assistance with PASSPort, please contact the MOCS Service Desk at https://mocssupport.atlassian.net/servicedesk/customer/portal/8 Link: https://www1.nyc.gov/site/mocs/systems/passport-user-materials.page</p>",,,,,,,,,,,,,,,,,,
"20220823105","2022-08-26T00:00:00.000","2022-09-01T00:00:00.000","Fire Department","Solicitation","Goods and Services","Full ScALE Simulated Tabletop Cyber Excerise on the FDNY's network","Request for Information","Procurement",,,"2022-09-29T16:00:00.000","9 MetroTech, 5th Floor, 5S-09K, Brooklyn NY 11201","David Holmes","(718) 999-1327","david.holmes@fdny.nyc.gov",,,"<p>The Fire Department of the City of New York (Fire Department or FDNY or The Department) Fire Life Safety Unit is issuing this Request For Information (RFI), seeking vendors who can develop a Customized Multimedia Full Scale Table-Top Cyber Training Exercise Scenario simulating a cyber-attack on the FDNYs network.   The simulated cyber-attack should be based on current real-time threats to evaluate and build upon the Departments current cyber readiness. The exercise should also be able to be fully customizable to the department needs, including mock news feeds, social media posts, and other media injections as the exercise is carried out. The vendor should also be able to provide an evaluation on its findings.</p><p>Proposals shall be submitted via PASSPort Questionnaire tab, as one (1) file, in PDF format. All questions regarding this RFI shall be submitted via PASSPort Discussions tab, no later than ten (10) business days prior to the proposal due date.</p><p><strong><em>This RFI is issued solely for information and planning purposes - it does not constitute a Request for Proposal (RFP) or a promise to issue an RFP or Contract award in the future</em>. </strong></p>",,,,,,,,,,,,,,,,,,
"20220819108","2022-08-26T00:00:00.000","2022-08-26T00:00:00.000","Education","Solicitation","Goods and Services","Repair and Maintenance of Fire Suppression Systems","Competitive Sealed Bids","Procurement",,"B5674","2022-10-13T16:00:00.000","65 Court Street, Room 1201, Brooklyn, NY 11201","Vendor Hotline","(718) 935-2300","vendorhotline@schools.nyc.gov",,,"<p>To download, please go to https://infohub.nyced.org/resources/vendors/open-doe-solicitations/request-for-bids. If you cannot download, send an e-mail to vendorhotline@schools.nyc.gov with the RFB number and title in the subject line. For all questions related to this RFB, please e-mail krodrig7@schools.nyc.gov with the RFB number and title in the subject line of your e-mail. Description: The Contractor shall provide all labor, material and supervision required and necessary to test, maintain, repair, modify, make addition to and install fire suppression systems and equipment in designated DOE schools and buildings. There will be a Pre-Bid Conference on Thursday, September 15, 2022 at 11:00 A.M., on Microsoft Teams Live. The link to the virtual Pre-Bid Conference scheduled is https://teams.microsoft.com/l/meetup-join/19%3ameeting_MTFlZjJmZTktNDcyNS00ZmQ2LTgzMGQtNDIwYzNiZTMwYjQ2%40thread.v2/0?context=%7B%22Tid%22%3A%2218492cb7-ef45-4561-8571-0c42e5f7ac07%22%2C%22Oid%22%3A%2283b11c53-b184-4f12-84b3-d6645af42e8a%22%2C%22IsBroadcastMeeting%22%3Atrue%2C%22role%22%3A%22a%22%7D&btype=a&role=a. We recommend that proposers download the free Microsoft Teams Application on their computer and/or mobile device to participate in the Teams Live Event in advance of the conference and attendees should plan to log in 5 minutes prior to the conference start time.</p><p><strong>For electronic bid submissions, please note the following procedures:</strong> Bid submissions can be sent via electronic mail (The Bid Submission Email) to DCPSubmissions@schools.nyc.gov (the Bid Submission Email Address). Bid Submissions sent to any other email address will be disregarded. The subject line of your Bid Submission Email must include the solicitation number and the name of the submitting vendor (e.g. B5674  Enter Company Name). Please attach the completed Request for Bids and the Bid Blank documents to the Bid Submission Email as separate files. Please name the bid blank attachment Bid Blank and the completed Request for Bids attachment RFB. If the files accompanying your bid submission are too large to be transmitted as email attachments, please include in the first line of your Bid Submission Email a link to a Microsoft OneDrive folder containing all of your bid-related documents. Please note that if you are using OneDrive, do not attach any documents to the Bid Submission Email. Further, please include a separate folder within your OneDrive folder which includes the separate bid blank file. Please name this folder and the bid blank file Bid Blank. The name of your OneDrive folder must match the subject line of your bid submission, and your OneDrive folder must not contain any files unrelated to the Bid Submission.</p><p><strong>Guidance for first-time Microsoft One-Drive Users</strong>: Microsoft OneDrive (OneDrive) is a file hosting and synchronization service operated by Microsoft as part of its web version of Microsoft Office. OneDrive allows users to grant access to files which are too large to transmit via electronic mail to other users. If you do not have Office 365, please take the following steps to gain access to a free version of OneDrive so that you can upload those bid submission documents which are too large to transmit via electronic mail: 1. Conduct an internet search for Microsoft OneDrive; 2. Navigate to the official Microsoft website and sign up for a free account; 3. Once you have created a folder for the solicitation whose name matches the subject line of your Bid Submission Email, upload the documents relevant to your bid submission in this folder. 4. Create a share link for this folder; 5. Be sure to check your share settings so that anyone receiving the link that you create will be able to open the link and access the files. If your share link permissions are restricted (e.g. to only your organization in Office 365), the DOE will not be able to view your solicitation documents. It is your responsibility to ensure that the link(s) you provide allows the DOE to view, download and/or open your documents; and 6. Include the link which you have created as the first line of your Bid Submission Email.</p><p><strong>For hard copy (paper) bid submissions, please follow the below instructions</strong>: Further to prior instructions regarding submissions of bids. In addition to electronic submission via email, Bidders may choose to hand deliver their bid packages to NYC DOE at any time prior to the Bid Due Date/Time. If you plan to submit a paper bid, you must provide notice by e-mailing DCPSubmissions@schools.nyc.gov, including Paper Submission Request for Solicitation # B5674 in the subject line, at least three (3) business days in advance of the anticipated date and time and place you or your agent plan to arrive at 65 Court Street, Brooklyn, NY 11201, Rm 1201 to drop off your bid. Bidders should include in their notification e-mail the name of the person who will be delivering the bid or advise that the Bid Package will be arriving by messenger. Bidders who fail to provide advance notification of intent to hand-deliver a bid risk not having anyone to receive the bid. Fed Ex, UPS, USPS or other common deliveries services will not be accepted. The Bid opening will be conducted virtually via Microsoft Teams on Friday, October 14, 2022 from 11:00 A.M. to 12:00 P.M. Bidders who have submitted their Bid Submission Email by the Bid Submission Deadline will receive a reply to their Bid Submission Email with a link to be able to view a livestream of the Bid opening online. If you do not receive a confirmation email of the DOEs receipt of your electronic bid submission, please email: Gabriel Soriano at GSorian@schools.nyc.gov. Please continue to check the DOE website and/or Vendor Portal for updates. https://infohub.nyced.org/vendors https://www.finance360.org/vendor/vendorportal/</p><p><strong>BID OPENS VIRTUALLY ON OCTOBER 14, 2022 AT 11:00 A.M.</strong> Please see virtual link below: https://teams.microsoft.com/l/meetup-join/19%3ameeting_ZGRiZGRiZjItOWE3YS00MDUzLTkwNjYtYTEzZmRhMDc4Zjcw%40thread.v2/0?context=%7B%22Tid%22%3A%2218492cb7-ef45-4561-8571-0c42e5f7ac07%22%2C%22Oid%22%3A%2233f73cb2-8a8c-4d65-8f37-5256f643d9ed%22%2C%22IsBroadcastMeeting%22%3Atrue%2C%22role%22%3A%22a%22%7D&btype=a&role=a</p>",,,"The New York City Department of Education (DOE) strives to give all businesses, including Minority and Women-Owned Business Enterprises (MWBEs), an equal opportunity to compete for DOE procurements. The DOEs mission is to provide equal access to procurement opportunities for all qualified vendors, including MWBEs, from all segments of the community. The DOE works to enhance the ability of MWBEs to compete for contracts. DOE is committed to ensuring that MWBEs fully participate in the procurement process.",,,,,,,,,,,,,,,
