Number,Fraction,Prefix,Name,Suffix,Month,Day,Year,Res_Non,Type,SF_MF,Dwelling Units Gained or Lost,Permit Value,How Far East,How Far North,Permit Number,Structure Class,Class Description,Subdivision,Project Description,County,Council District,School District,PIN,Parcel,Applicant Name,Applicant Representative,Owner Name,Legal Description,Location 1,Neighborhood Census,Council Districts,County Boundary,Zip Codes
805,,E,115TH,ST,11,29,2012,Residential,"Additions, Alterations, Repairs",NA,0,1500,2765327,1001909,201319269,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,6,Grandview,156788,JA65510020300000000,"SABBAGH, RABI",,,,805 E 115TH ST,,,,
1503,,E,35TH,ST,4,9,2012,Residential,"Additions, Alterations, Repairs",NA,0,100,2770090,1054556,201223817,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,3,Kansas City,134503,JA30120030500000000,SANDERS RONALD,,,,1503 E 35TH ST,,,,
4215,,E,59TH,ST,12,6,2010,Residential,Demolition,Single Family,1,0,2778362,1038370,201119017,645,Demolition - One-Family Dwelling,,SINGLE FAMILY,Jackson,5,Kansas City,298,JA46220090100000000,"HECO, INC.",RUSSEL BRANSON,,,4215 E 59TH ST,,,,
1108,,W,81ST,ST,7,5,2011,Residential,"Additions, Alterations, Repairs",NA,0,50,2759426,1025036,201212550,97,Existing One Or Two Family Residence,,SINGLE FAMILY RESIDENCE,Jackson,6,Kansas City,,Z2008,COPLEY PLUMBING,ABE SHIRAZI,,,1108 W 81ST ST,,,,
7931,,NW,76TH,TER,12,27,2012,Residential,"Additions, Alterations, Repairs",NA,0,30000,2739787,1117427,201320264,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Platte,2,Park Hill,170138,PL206013200005092000,DAVID EVANS,,,,7931 NW 76TH TER,,,,
415,,W,77TH,ST,1,6,2012,Residential,"Additions, Alterations, Repairs",NA,0,400,2761646,1027494,201219995,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,6,Kansas City,120317,JA47910180200000000,SEEMANN JOHN,,,,415 W 77TH ST,,,,
12220,,E,78TH,ST,6,12,2012,Residential,"Additions, Alterations, Repairs",NA,0,3963,2806166,1024707,201311808,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,5,Raytown,65866,JA44920160200000000,A.B. MAY COMPANY,LISA DEMOSS,,,12220 E 78TH ST,,,,
6809,,NW,78TH,ST,7,12,2010,Residential,"Additions, Alterations, Repairs",NA,0,6268,2743453,1117658,201112899,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Platte,2,Park Hill,169705,PL206013100017001000,AB MAY COMPANY,JESSICA DICKSON,,,6809 NW 78TH ST,,,,
8210,,E,80TH,TER,12,17,2012,Residential,"Additions, Alterations, Repairs",NA,0,300,2791049,1023852,201319971,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,5,Raytown,53804,JA45940022400000000,CHARLES JOHNSON,,,,8210 E 80TH TER,,,,
1300,,NE,83RD,TER,7,11,2011,Residential,"Additions, Alterations, Repairs",NA,0,500,2770446,1121239,201212760,97,Existing One Or Two Family Residence,,,Clay,1,North Kansas City,93982,CL1331900140030101,AB MAY COMPANY,LEAH PALMER,,,1300 NE 83RD TER,,,,
1621,,NE,81ST,ST,6,26,2012,Residential,"Additions, Alterations, Repairs",NA,0,5500,2771818,1119697,201312595,97,Existing One Or Two Family Residence,,SINGLE FAMILY - DECK,Clay,1,North Kansas City,94225,CL1331900210060001,GARY HOUSE,,,,1621 NE 81ST ST,,,,
1905,,NE,82ND,TER,2,23,2012,Residential,New Construction,Single Family,0,5700,2772837,1119875,201221739,101,New Single Family Dwelling,,SINGLE FAMILY,Clay,1,North Kansas City,94414,CL1332000060270001,TN'T ELECTRIC,"MILLER, JOHN GLENN",,,1905 NE 82ND TER,,,,
4209,,,AGNES,AVE,11,12,2010,Residential,"Additions, Alterations, Repairs",NA,0,0,2774762,1049639,201118157,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,3,Kansas City,30197,JA31330270600000000,CARLOS WARD,,,,4209 AGNES AVE,,,,
7205,,,AGNES,AVE,2,27,2012,Residential,"Additions, Alterations, Repairs",NA,0,1500,2773882,1030103,201221940,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,5,Kansas City,3376,JA46430130300000000,PANYA LEWIS,,,,7205 AGNES AVE,,,,
8510,,,DRURY,CT,7,14,2010,Residential,Demolition,Single Family,1,0,2781828,1020893,201113023,645,Demolition - One-Family Dwelling,,SINGLE FAMILY,Jackson,5,Hickman Mills,55613,JA49210022200000000,"HECO, INC.",RUSSEL BRANSON,,,8510 DRURY CT,,,,
6840,,,OAK,TER,10,4,2012,Residential,"Additions, Alterations, Repairs",NA,0,650,2765001,1032951,201317113,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,6,Kansas City,111200,JA47510081500000000,JONATHAN GOODMAN,,,,6840 OAK TER,,,,
4311,,E,9TH,TER,8,3,2011,Non-Residential,Demolition,NA,0,197,2779867,1068661,201213817,649,Demo - All Other Buildings & Structures,,COMMERICAL BUILDING,Jackson,3,Kansas City,8360,JA28220220400000000,"HECO, INC.",RUSSEL BRANSON,,,4311 E 9TH TER,,,,
2845,,,PARK,AVE,11,28,2012,Residential,"Additions, Alterations, Repairs",NA,0,300,2772829,1058521,201319223,97,Existing One Or Two Family Residence,,,Jackson,3,Kansas City,26580,JA29710081800000000,PREWITT WAYNE E,,,,2845 PARK AVE,,,,
11155,,N,AIRWORLD,DR,7,26,2011,Non-Residential,New Construction,NA,0,12036,2738942,1139159,201213511,329,Structures Other Than Buildings,,KC DATA-TANK EXPANSION,Platte,2,Park Hill,171800,PL177025000000005000,SCHWEIGER CONSTRUCTION CO,JEFF KEMPF,,,11155 N AIRWORLD DR,,,,
7808,,,BLUE RIDGE,BLVD,3,7,2012,Residential,"Additions, Alterations, Repairs",NA,0,4670,2792984,1025062,201222314,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,5,Raytown,53499,JA45910072100000000,A.B. MAY COMPANY,ELYSE BASS,,,7808 BLUE RIDGE BLVD,,,,
3016,,,BOOTH,AVE,11,29,2011,Residential,"Additions, Alterations, Repairs",NA,0,7631,2793208,1056559,201218523,97,EXISTING ONE OR TWO FAMILY RESIDENCE,,DUPLEX,Jackson,3,Kansas City Missouri,47634,JA27910091400000000,"CM MOSE & SON, INC.",ROGER MOSE,,,3016 BOOTH AVE,,,,
5020,,,BRECKENRIDGE,AVE,10,20,2011,Residential,New Construction,Multifamily,0,7500,2819278,1041817,201217053,103,Two-Family Dwelling,THE ORCHARDS,NEW DUPLEX,Jackson,5,Independence,227914,JA33640071300000000,AL-HAM HEATING & COOLING,DAVID MEDVED,,,5020 BRECKENRIDGE AVE,,,,
3507,,,COLLEGE,AVE,11,30,2012,Residential,"Additions, Alterations, Repairs",NA,0,500,2775940,1054269,201319331,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,3,Kansas City,28434,JA31320010500000000,WASHINGTON MILTON,,,,3507 COLLEGE AVE,,,,
5022,,,CRISP,AVE,6,11,2012,Residential,"Additions, Alterations, Repairs",NA,0,664,2803685,1042514,201311784,97,Existing One Or Two Family Residence,,SINGLE FAMILY,Jackson,3,Raytown,49836,JA32640160600000000,METRO MECHANICAL SERVICES INC,JEFFREY FRASER,,,5022 CRISP AVE,,,,
8502,,,DRURY,AVE,5,1,2012,Residential,Demolition,Single Family,1,0,2781519,1021163,201310008,645,Demolition - One-Family Dwelling,,SINGLE FAMILY,Jackson,5,Raytown,55621,JA49210012500000000,"HECO, INC.",RUSSEL BRANSON,,,8502 DRURY AVE,,,,
