"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","invl_no","involvement","race","sex","age","location_1","firearm_used_flag"
"120060314","2012-09-06T00:00:00.000","19:51",,,,,"2601","90Z","Misc Violation",,,,,,,"U","1","VIC","B","M","20","
, MO 
(38.63579372300046, -92.56629737199967)","N"
"120001589","2012-01-07T00:00:00.000","16:01","2012-01-07T00:00:00.000","16:00",,,"401","13A","Aggravated Assault (","314","E 6TH ST/BRIGHTON AV","KANSAS CITY","64123","PJ0626","EPD","U","1","SUS","B","F",,,"N"
"120002214","2012-01-10T00:00:00.000","10:12","2011-01-06T00:00:00.000","0:01",,,"1198","26C","Impersonation","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","PD1","U","1","SUS","U","U",,,"N"
"120006368","2012-01-27T00:00:00.000","11:51","2012-01-27T00:00:00.000","11:51",,,"1122","26B","Credit/Debit/ATM Car","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","PD1","U","1","VIC","W","M","25",,"N"
"120009365","2012-02-09T00:00:00.000","12:27","2012-02-09T00:00:00.000","10:00",,,"650","23G","Stealing Auto Parts/","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","PD1","U","1","SUS","U","U",,,"N"
"120019927","2012-03-24T00:00:00.000","11:28","2012-03-24T00:00:00.000","11:28",,,"1122","26B","Credit/Debit/ATM Car","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","PD1","U","1","VIC","B","M","53",,"N"
"120072293","2012-10-09T00:00:00.000","18:22","2012-10-09T00:00:00.000","18:22",,,"2655","90J","Trespassing","112","900  E 9 ST","KANSAS CITY","64106","PJ0822","CPD","U","1","VIC",,,,"900 9 ST
KANSAS CITY, MO 64106
(39.10325269500049, -94.57243448099968)","N"
"120026177","2012-04-18T00:00:00.000","4:53","2012-04-18T00:00:00.000","4:35",,,"901","200","Arson","144","4100  WAYNE AV","KANSAS CITY","64110","PJ3326","CPD","U","1","SUS","U","U",,"4100 WAYNE AV
KANSAS CITY, MO 64110
(39.05212298100048, -94.56541531799968)","N"
"120026618","2012-04-23T00:00:00.000","11:16","2012-04-19T00:00:00.000","15:15",,,"2601","90Z","Misc Violation","112","1100  LOCUST ST","KANSAS CITY",,"PJ1029","CPD","U","1","VIC",,,,"1100 LOCUST ST
KANSAS CITY, MO 
(39.100854728000456, -94.57737538399965)","N"
"120027003","2012-04-20T00:00:00.000","22:38","2012-04-20T00:00:00.000","17:45",,,"801","13B","Non Aggravated Assau","421","88TH ST/N CONGRESS","KANSAS CITY","64153","PP0318","NPD","N","1","VIC","W","F","16",,"N"
"120032906","2012-05-13T00:00:00.000","23:43","2012-05-13T00:00:00.000","23:42",,,"301","120","Strong Arm Robbery","134","47TH/JC NICHOLS","KANSAS CITY","64111","PJ3630","CPD","N","2","VIC","W","M","47",,"N"
"120033615","2012-05-16T00:00:00.000","11:53","2012-05-16T00:00:00.000","11:50",,,"802","13B","Non Agg Assault Dome","341","6800  E 13 ST","KCMO","64126","PJ1358","EPD","Y","1","VIC","W","F","39","6800 13 ST
KCMO, MO 64126
(39.095524627000486, -94.50329948499967)","N"
"120038111","2012-06-02T00:00:00.000","11:49","2008-04-01T00:00:00.000","17:00",,,"201","11A","Rape","121","E 5 ST/TROOST AV","KANSAS CITY","64106","PJ0369","CPD","U","1","SUS","U","M",,"5 ST TROOST AV
KANSAS CITY, MO 64106
(39.10425374300047, -94.57449889699967)","N"
"120039730","2012-06-08T00:00:00.000","12:08","2011-09-16T00:00:00.000","24:00:00",,,"1002","250","Forged Checks","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","PD1","U","1","VIC","B","M","46",,"N"
"120041853","2012-06-16T00:00:00.000","8:44","2012-06-16T00:00:00.000","8:44",,,"1122","26B","Credit/Debit/ATM Car","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","PD1","U","1","VIC","W","M","51",,"N"
"120044272","2012-06-25T00:00:00.000","12:43","2012-06-25T00:00:00.000","12:00",,,"1001","250","Forgery","635","5000  NE PARVIN RD","KANSAS CITY","64117","PC1232","SCP","U","1","VIC",,,,"5000 PARVIN RD
KANSAS CITY, MO 64117
(39.167051263000474, -94.52135077499969)","N"
"120045025","2012-07-18T00:00:00.000","16:25",,,,,"640","23F","Stealing From Auto",,,,,,,"U","1","SUS","U","U",,"
, MO 
(38.63579372300046, -92.56629737199967)","N"
"120045474","2012-06-29T00:00:00.000","17:01","2012-06-15T00:00:00.000","12:00",,,"1201","270","Embezzlement","131","3200  MAIN ST","KANSAS CITY","64109","PJ2574","CPD","U","1","VIC",,,,"3200 MAIN ST
KANSAS CITY, MO 64109
(39.06953261700045, -94.58538564699967)","N"
"120045584","2012-06-30T00:00:00.000","1:43","2012-06-30T00:00:00.000","1:43",,,"2402","90C","Disorderly Conduct","113","100  W 13 ST","KANSAS CITY",,"PJ1163","CPD","U","1","ARR","W","M","22","100 13 ST
KANSAS CITY, MO 
(39.19607633300046, -94.68418397599964)","N"
"120053640","2012-07-31T00:00:00.000","11:10","2012-07-30T00:00:00.000","15:15",,,"2601","90Z","Misc Violation","112","1100  LOCUST ST","KANSAS CITY",,"PJ1029","CPD","U","1","VIC",,,,"1100 LOCUST ST
KANSAS CITY, MO 
(39.100854728000456, -94.57737538399965)","N"
"120054115","2012-08-01T00:00:00.000","22:57","2012-08-01T00:00:00.000","22:57",,,"2001","90F","Family Offense","314","4600  E 9 ST","KANSAS CITY","64124","PJ0906","EPD","U","1","VIC",,,,"4600 9 ST
KANSAS CITY, MO 64124
(39.101803229000495, -94.52807175099969)","N"
"120068985","2012-09-26T00:00:00.000","17:07","2012-09-26T00:00:00.000","17:07",,,"2601","90Z","Misc Violation","631","2600  NE 43 ST","KANSAS CITY","64118","PC1162","SCP","U","1","VIC","W","F","41","2600 43 ST
KANSAS CITY, MO 64118
(39.214273628000456, -94.57336919499966)","N"
"120056660","2012-08-11T00:00:00.000","13:11","2012-08-11T00:00:00.000","13:11",,,"1122","26B","Credit/Debit/ATM Car","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","PD1","U","1","SUS","U","U",,,"N"
"120062496","2012-09-01T00:00:00.000","15:55","2012-08-31T00:00:00.000","15:00",,,"1198","26C","Impersonation","411","200  NE ENGLEWOOD RD","KANSAS CITY","64118",,,"N","1","SUS","U","U",,"200 ENGLEWOOD RD
KANSAS CITY, MO 64118
(39.1969350600005, -94.58356180899966)","N"
"120065809","2012-09-14T00:00:00.000","13:35","2012-09-14T00:00:00.000","13:29",,,"640","23F","Stealing From Auto","412","500  NW 55 TE","KANSAS CITY","64118","PC0801","NPD","U","1","SUS","B","M","18","500 55
TE KANSAS CITY, MO 64118
(39.214273628000456, -94.57336919499966)","N"
"120067893","2012-09-22T00:00:00.000","20:09","2012-09-22T00:00:00.000","15:24",,,"101","09A","HOMICIDE/Non Neglige","232","63 AND TROOST","KANSAS CITY",,"PJ5138","MPD","U","1","VIC","B","M","20","63 AND
TROOST KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","Y"
"120071756","2012-10-07T00:00:00.000","16:25","2012-10-07T00:00:00.000","16:25",,,"302","120","Armed Robbery","343","5300  E 27 ST","KANSAS CITY","64129","PJ2294","EPD","U","1","SUS","B","M",,"5300 27 ST
KANSAS CITY, MO 64129
(39.074160350000454, -94.47030968199965)","Y"
"120075058","2012-10-20T00:00:00.000","3:45","2012-10-20T00:00:00.000","3:45",,,"802","13B","Non Agg Assault Dome","212","3800  E 68 TE","KANSAS CITY",,"PJ5287","MPD","Y","1","VIC","B","M","42","3800 68
TE KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
"120079819","2012-11-07T00:00:00.000","9:35","2012-11-07T00:00:00.000","9:35",,,"2601","90Z","Misc Violation","224","00  W 62 TE","KANSAS CITY","64114","PJ4842","MPD","U","1","VIC",,,,"00 62
TE KANSAS CITY, MO 64114
(38.958291974000474, -94.59571990299969)","N"
"120079837","2012-11-07T00:00:00.000","11:22","2012-10-21T00:00:00.000","0:01",,,"1122","26B","Credit/Debit/ATM Car","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","PD1","U","1","VIC","W","M","23",,"N"
"120085505","2012-12-19T00:00:00.000","8:28",,,,,"801","13B","Non Aggravated Assau",,,,,,,"U","1","SUS","B","M",,"
, MO 
(38.63579372300046, -92.56629737199967)","N"
"120087702","2012-12-08T00:00:00.000","1:35","2012-12-08T00:00:00.000","1:35",,,"1849","35A","Possession/Sale/Dist","634","N LAWN AV/N WINN RD","KANSAS CITY",,"PC0920","SCP","U","1","VIC",,,,"
N LAWN AV N WINN RD KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
"120088722","2012-12-12T00:00:00.000","8:35","2008-01-01T00:00:00.000","0:01",,,"210","11B","Forcible Sodomy","633","UNKNOWN","KANSAS CITY","0","PC1025","SCP","N","1","SUS","U","M",,,"N"
"120091031","2012-12-21T00:00:00.000","12:25","2012-12-21T00:00:00.000","2:30","2012-12-21T00:00:00.000","12:15","640","23F","Stealing From Auto","533","1100  W 101 TE","KANSAS CITY",,"PJ6683","SPD","U","1","VIC","W","F","29","1100 101
TE KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
"120092068","2012-12-26T00:00:00.000","13:38","2012-12-26T00:00:00.000","13:38",,,"2402","90C","Disorderly Conduct","131","900  W 40 TE","KANSAS CITY","64111","PJ3219","CPD","U","1","VIC",,,,"900 40
TE KANSAS CITY, MO 64111
(39.055502782000474, -94.59306944999969)","N"
"120092533","2012-12-28T00:00:00.000","13:02","2012-12-27T00:00:00.000","13:30",,,"1401","290","Property Damage","635","6400  NE 52 ST","KANSAS CITY","64119","PC0798","SCP","U","1","VIC",,,,"6400 52 ST
KANSAS CITY, MO 64119
(39.187848026000495, -94.50503056499969)","N"
"120079943","2012-11-07T00:00:00.000","16:35","2012-11-06T00:00:00.000","17:24",,,"630","23C","Stealing Shoplifting","535","1200  W 136 ST","KANSAS CITY",,"PJ7425","SPD","U","3","SUS","B","M",,"1200 136 ST
KANSAS CITY, MO 
(38.88146082200046, -94.60726806599968)","N"
"120037772","2012-06-01T00:00:00.000","4:00","2012-06-01T00:00:00.000","3:59",,,"1849","35A","Possession/Sale/Dist","342","4000  HARVARD CI","KANSAS CITY","64133","PJ3460","EPD","U","2","VIC",,,,"4000 HARVARD
CI KANSAS CITY, MO 64133
(39.05033501200046, -94.44988345099966)","N"
"120000537","2012-01-03T00:00:00.000","12:20","2011-12-23T00:00:00.000","6:28",,,"630","23C","Stealing Shoplifting","631","4200  N OAK TF","KANSAS CITY",,"PC1180","SCP","U","1","VIC",,,,"4200 OAK
TF KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
"120036281","2012-05-26T00:00:00.000","2:30","2012-05-26T00:00:00.000","2:30",,,"840","90Z","Resisting an Officer","323","E 24 ST/INDIANA AV","KANSAS CITY",,"PJ1934","EPD","U","1","VIC",,,,"24 ST INDIANA AV
KANSAS CITY, MO 
(39.10295319700049, -94.5830775179997)","N"
"120060314","2012-09-06T00:00:00.000","19:51",,,,,"2601","90Z","Misc Violation",,,,,,,"U","1","SUS","B","M",,"
, MO 
(38.63579372300046, -92.56629737199967)","N"
"120084418","2012-11-26T00:00:00.000","4:40","2012-11-26T00:00:00.000","4:35",,,"302","120","Armed Robbery","631","1600  NE PARVIN RD","KANSAS CITY",,"PC1199","SCP","U","2","VIC","A","M","48","1600 PARVIN RD
KANSAS CITY, MO 
(39.16676790500048, -94.56054384099969)","Y"
"120062532","2012-09-01T00:00:00.000","18:32","2012-09-01T00:00:00.000","18:32",,,"401","13A","Aggravated Assault (","642","8800  N OAK","KANSAS CITY","64118","PC0289","SCP","U","1","VIC","W","M","43","8800 OAK
KANSAS CITY, MO 64118
(39.214273628000456, -94.57336919499966)","N"
"120015426","2012-03-06T00:00:00.000","11:56","2012-03-06T00:00:00.000","11:56","2012-03-06T00:00:00.000","12:30","1001","250","Forgery","542","9300  BLUE RIDGE BL","KANSAS CITY",,"PJ6485","SPD","U","1","SUS","U","U",,"9300 BLUE RIDGE
BL KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
"120072399","2012-10-10T00:00:00.000","8:04","2012-10-10T00:00:00.000","8:04",,,"2602","13C","Bomb Threat/Intimida","314","400  VAN BRUNT BL","KANSAS CITY",,"PJ0517","EPD","U","1","SUS","U","U",,"400 VAN
BRUNT BL KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
"120000428","2012-01-02T00:00:00.000","23:27","2012-01-02T00:00:00.000","23:27",,,"501","220","Burglary - Residence","534","4400  E 105 ST","KANSAS CITY","64134","PJ6853","SPD","U","1","SUS","U","U",,"4400 105 ST
KANSAS CITY, MO 64134
(38.93289380400046, -94.47529608099967)","N"
"120000609","2012-01-03T00:00:00.000","15:11","2012-01-03T00:00:00.000","15:00",,,"801","13B","Non Aggravated Assau","212","5100  GLENSIDE DR","KANSAS CITY","64128","PJ4111","MPD","U","1","SUS","W","F","45","5100 GLENSIDE DR
KANSAS CITY, MO 64128
(39.03201407600045, -94.51004653999968)","N"
"120000002","2012-01-01T00:00:00.000","0:03","2011-12-31T00:00:00.000","21:00","2012-01-01T00:00:00.000","0:01","670","23D","Stealing from Buildi","134","4500  TERRACE ST","KANSAS CITY","64111","PJ3595","CPD","U","1","SUS","U","U",,"4500 TERRACE ST
KANSAS CITY, MO 64111
(39.04617250700045, -94.60236534299969)","N"
"120038443","2012-06-03T00:00:00.000","19:21","2012-05-26T00:00:00.000","12:00","2012-05-27T00:00:00.000","12:00","650","23G","Stealing Auto Parts/","345","6300  VERNON CT","KANSAS CITY","64133","PJ5008","EPD","U","1","VIC","W","M","63","6300 VERNON CT
KANSAS CITY, MO 64133
(39.007390201000476, -94.43195604799968)","N"
"120056493","2012-08-10T00:00:00.000","20:03","2012-08-10T00:00:00.000","19:30",,,"1401","290","Property Damage","334","4300  CLEVELAND AV","KANSAS CITY","64130","PJ3533","EPD","U","1","VIC",,,,"4300 CLEVELAND AV
KANSAS CITY, MO 64130
(39.04736283900047, -94.54018620899967)","N"
"120000560","2012-01-03T00:00:00.000","13:18","2011-12-31T00:00:00.000","12:00","2012-01-03T00:00:00.000","12:00","690","23H","Stealing All Other","321","AGNES AV/E TRUMAN RD","KANSAS CITY","64127","PJ1340","EPD","U","1","SUS","U","U",,"
AGNES AV E TRUMAN RD KANSAS CITY, MO 64127
(39.08962411000044, -94.53924786699969)","N"
"120016680","2012-03-11T00:00:00.000","11:30","2012-03-10T00:00:00.000","22:00","2012-03-11T00:00:00.000","7:00","702","240","Auto Theft","315","300  DRURY AV","KANSAS CITY","64123","PJ0448","EPD","U","1","VIC","W","M","21","300 DRURY AV
KANSAS CITY, MO 64123
(39.110482394000485, -94.51766584599966)","N"
"120001053","2012-01-05T00:00:00.000","10:53","2012-01-04T00:00:00.000","12:30","2012-01-04T00:00:00.000","15:00","670","23D","Stealing from Buildi","535","14400  S US 71 HWY WEST FRONT RD ","KANSAS CITY","64147","PJ7443","SPD","U","1","VIC","B","F","24","14400 US 71 HWY WEST FRONT RD
KANSAS CITY, MO 64147
(38.85709245000049, -94.52893716899968)","N"
"120000400","2012-01-02T00:00:00.000","19:16","2012-01-02T00:00:00.000","19:16",,,"2402","90C","Disorderly Conduct","121","500  TRACY AV","KANSAS CITY","64106","PJ0506","CPD","U","1","ARR","B","F","28","500 TRACY AV
KANSAS CITY, MO 64106
(39.110700325000494, -94.56672645899965)","N"
"120000707","2012-01-04T00:00:00.000","0:42","2012-01-04T00:00:00.000","0:42",,,"802","13B","Non Agg Assault Dome","242","1900  E 71 TE","KANSAS CITY","64132","PJ5443","MPD","U","1","ARR","W","M","60","1900 71
TE KANSAS CITY, MO 64132
(39.007552510000494, -94.55530874399966)","N"
"120001113","2012-01-05T00:00:00.000","16:06","2012-01-05T00:00:00.000","16:06",,,"1198","26C","Impersonation","532","10100  WHITE AV","KANSAS CITY","64134","PJ6731","SPD","U","1","VIC","W","M","20","10100 WHITE AV
KANSAS CITY, MO 64134
(38.94204247500045, -94.52013681199969)","N"
"120000219","2012-01-01T00:00:00.000","21:30","2012-01-01T00:00:00.000","21:25","2012-01-01T00:00:00.000","21:31","501","220","Burglary - Residence","543","11200  OAKLAND AVE","KANSAS CITY","64134","PJ7169","SPD","U","2","VIC","W","M","62","11200 OAKLAND AVE
KANSAS CITY, MO 64134
(38.91852513500049, -94.50158511699965)","N"
