"report_no","reported_date","reported_time","from_date","from_time","to_date","to_time","offense","ibrs","description","beat","address","city","zip_code","rep_dist","area","dvflag","invl_no","involvement","race","sex","age","location_1","firearm_used_flag"
"90000409","2009-01-02T00:00:00.000","15:34","2009-01-02T00:00:00.000","15:34",,,"840","90Z","Resisting an Officer",,"8TH/BALES CT","KANSAS CITY","64124",,,"U","1","ARR","B","M","38",,"N"
"90010117","2009-02-09T00:00:00.000","15:39","2009-01-30T00:00:00.000","12:00",,,"1120","26A","Fraud","233","1800  E 84 TE","KANSAS CITY",,"PJ6082","MPD","U","1","VIC","W","F","33","1800 84
TE KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
"90019108","2009-03-17T00:00:00.000","7:57","2009-03-16T00:00:00.000","16:35",,,"3020","90Z","Dead Body",,"2400  E 8TH","KANSAS CITY",,,,"U","1","SUS","U","U",,"2400 8TH
KANSAS CITY, MO 
(39.250243122000484, -94.65936771899965)","N"
"90020441","2009-03-21T00:00:00.000","3:46","2009-03-21T00:00:00.000","3:15",,,"702","240","Auto Theft",,"UNKNOWN","KANSAS CITY","99999",,,"U","1","SUS","B","M",,"
UNKNOWN KANSAS CITY, MO 99999
(39.52368635500045, -99.11415045099966)","N"
"90026359","2009-04-11T00:00:00.000","19:16","2009-04-11T00:00:00.000","19:00",,,"901","200","Arson","314","5200  E 8 ST","KCMO","64126","PJ0870","EPD","U","1","SUS","U","U",,"5200 8 ST
KCMO, MO 64126
(39.092413604000456, -94.50101616399968)","N"
"90036173","2009-05-16T00:00:00.000","17:11","2009-05-16T00:00:00.000","17:10",,,"650","23G","Stealing Auto Parts/","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","CPD","U","1","SUS","U","U",,,"N"
"90039248","2009-05-27T00:00:00.000","16:34","2009-05-24T00:00:00.000","15:00",,,"650","23G","Stealing Auto Parts/","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","CPD","U","1","VIC","B","M","36",,"N"
"90040917","2009-06-02T00:00:00.000","20:44","2009-06-02T00:00:00.000","9:30",,,"650","23G","Stealing Auto Parts/","999","9900  S UNKNOWN ST","KANSAS CITY","0","PKC000","CPD","U","1","SUS","U","U",,,"N"
"90043196","2009-06-10T00:00:00.000","20:30","2009-06-06T00:00:00.000","21:00","2009-06-07T00:00:00.000","10:00","2601","90Z","Misc Violation",,"I-435/HOLMES","KANSAS CITY","0",,,"U","1","VIC","W","F","17",,"N"
"90046582","2009-06-22T00:00:00.000","14:15","2009-06-20T00:00:00.000","15:15",,,"670","23D","Stealing from Buildi","232","1200  E MEYER BL","KANSAS CITY",,"PJ4934","MPD","U","1","VIC",,,,"1200 MEYER
BL KANSAS CITY, MO 
(39.52368635500045, -99.11415045099966)","N"
