Agency Number,Agency Name,Solicitation Number,Class Code,Item Code,Category,Quantity,"Unit of Sale (Each, Lot, Package, etc.)",Description,Estimated Worth,Contact Name,Contact Phone,Contact Email,Comments,Specs and Drawings,Agency Terms and Conditions,Solicitation Document
729,UT Southwestern Medical Center,729-566445,49300,1402-4700,Commodities,8,Box,"0.2 ml PCR 8-tube FLEX-FREE strip, attached clear flat caps, natural",636.00,Kelly Briseno,214-648-6029,kelly.briseno@utsouthwestern.edu,,,https://data.texas.gov/views/qwhy-c2kk/files/69e639ce-d10b-49ea-8d05-ebae760bebb5?filename=purchase-order-terms-and-conditions-guideline.pdf,https://data.texas.gov/views/qwhy-c2kk/files/c715059f-375c-4fe2-b480-620a14a57cb5?filename=566445+ITB.docx
320,TEXAS WORKFORCE COMMISSION,8186B,080,45,Office Supplies,1,PACKAGE,"08045201004, STATE OF TEXAS PRESENTATION FOLDER 9' X 12'",8.00,MELANIE BUSBY,512-936-3123,melanie.busby@twc.state.tx.us,,,https://data.texas.gov/views/qwhy-c2kk/files/2888c728-0948-4fd3-b8a7-0894b659c2c3?filename=Terms+and+Conditions+08-22-2016+%283%29.docx,https://data.texas.gov/views/qwhy-c2kk/files/ab3964f6-c804-4550-9e54-39309cecc565?filename=TWC+RFQ-DFW+Spot+Bid+Fair.docx
20,tkmlqpws,1,94102,94102,Construction,1,20,1,1.00,prxujond,555-666-0606,sample@email.tst,1,,,
20,wjalwnki,1,94102,94102,IT,1,20,1,1.00,rwholklb,555-666-0606,sample@email.tst,1,,,
20,nekyfmfp,1,94102,94102,Office Supplies,1,20,1,1.00,hbikgxjr,555-666-0606,sample@email.tst,1,,,
20,djcvsmpw,1,94102,94102,Professional Services,1,20,1,1.00,xjtopoix,555-666-0606,sample@email.tst,1,,,
20,ilbvumrm,1,94102,94102,Other Services,1,20,1,1.00,sninwxeu,555-666-0606,sample@email.tst,1,,,
20,ahuacbsd,1,94102,94102,Commodities,1,20,1,1.00,lbwbwmpj,555-666-0606,sample@email.tst,1,,,
721,The University of Texas at Austin,UTAUS101,200,70,Commodities,3,100% cotton denim t-shirt,"100% cotton denim, button down collar horn tone buttons, patch pocket with button through sleeve plackets and adjustable cuffs on long sleeve S/M/XL",,Annette Smith,512-471-2850,annette.smith@austin.utexas.edu,,,,
320,TEXAS WORKFORCE COMMISSION                                       ,8087A,615,45,Office Supplies,4,box,"10334, Smead Manila Reinforced Tab Folders",8.00,Melanie Busby,(512) 936-3123,melanie.busby@twc.state.tx.us,,https://data.texas.gov/views/qwhy-c2kk/files/f5f3ff26-45b0-426a-b470-f09634dbbae9?filename=TWC+RFQ-DFW+Spot+Bid+Fair.docx,https://data.texas.gov/views/qwhy-c2kk/files/bf251fa1-161a-45a1-9c4b-08adea48c4e0?filename=Terms+and+Conditions+08-22-2016+%283%29.docx,
320,TEXAS WORKFORCE COMMISSION,8087A,615,45,Office Supplies,2,BOX,"10334, Smead Manila Reinforced Tab Folders",8.00,MELANIE BUSBY,512-936-3123,melanie.busby@twc.state.tx.us,,,,https://data.texas.gov/views/qwhy-c2kk/files/51faef28-19fe-4109-a6a7-f0408b10b801?filename=TWC+RFQ-DFW+Spot+Bid+Fair.docx
305,General Land Office,X0012171A,080,78,Commodities,5,EACH,"10.5"" x 13"" Rosewood and Acrylic Floating Panel Plaques",,Debby French,512-463-5309,debby.french@glo.texas.gov,Art Work shall be provided by the GLO to the awarded vendor,,https://data.texas.gov/views/qwhy-c2kk/files/60a5f374-5a70-4959-ba4a-7628d7bdab74?filename=PO+Terms+and+Conditions.pdf,https://data.texas.gov/views/qwhy-c2kk/files/bffff6c2-b0e1-4eae-a7d7-3384bc149b02?filename=X0012171A-DF+Rosewood+Plaque.pdf
362,TEXAS LOTTERY COMMISSION,RQ17-0660,600,16,Office Supplies,2,Each,"12-DIGIT PRINTING CALCULATOR, MODEL # VCT12403A",,SCOTT MERRYMAN,(512) 344-5402 ,SCOTT.MERRYMAN@LOTTERY.STATE.TX.US,,,,https://data.texas.gov/views/qwhy-c2kk/files/b30acbb5-6ace-4b1f-8255-bdca0994308a?filename=2017+RFQ+17-0660.pdf
305,General Land Office,305-17-X0012091,485,"74, 77",Commodities,12,EACH,"(12 EACH) Polypropylene Absorbent pillows 18"" X 18"" x2""H; (12 EACH) Oil Only absorbent Boom 8""x 10"" absorbent boom; (16 EACH) Oil only absorbent Mat pad 15"" x 20"" (",,Shelia Kirk,512-463-5186,shelia.kirk@glo.texas.gov,,,https://data.texas.gov/views/qwhy-c2kk/files/276380f0-24fe-4bb2-94ab-300d935b9d66?filename=PO+Terms+and+Conditions.pdf,https://data.texas.gov/views/qwhy-c2kk/files/d4dc6bd4-1ae7-4c8a-9c78-21163621916d?filename=Oil+spill+supplies_X0012091.pdf
802,Texas Parks and Wildlife,802-17-39931LE,285,55,Commodities,20,115.00,12 VOLT PEAK AMP PORTABLE POWER STATION,2300.00,APRIL V. MENDEZ,512-389-8631,april.mendez@tpwd.texas.gov,,,https://data.texas.gov/views/qwhy-c2kk/files/261df693-3b5c-4ff9-8634-59a3e9cae2ee?filename=GENERAL+TERMS+AND+CONDITIONS.docx,https://data.texas.gov/views/qwhy-c2kk/files/cc38a7f0-9c3d-4751-979f-95295991a16b?filename=CID+BID+FAIR+1.docx
