"entityid","entityname","principaladdress1","principaladdress2","principalcity","principalstate","principalzipcode","principalcountry","mailingaddress1","mailingaddress2","mailingcity","mailingstate","mailingzipcode","mailingcountry","entitystatus","jurisdictonofformation","entitytype","agentfirstname","agentmiddlename","agentlastname","agentsuffix","agentorganizationname","agentprincipaladdress1","agentprincipaladdress2","agentprincipalcity","agentprincipalstate","agentprincipalzipcode","agentprincipalcountry","agentmailingaddress1","agentmailingaddress2","agentmailingcity","agentmailingstate","agentmailingzipcode","agentmailingcountry","entityformdate"
"20181597311","Yvette Morton LLC","1704 Lombardy Street",,"Longmont","CO","80503","US",,,,,,,"Good Standing","CO","Limited Liability Company","Yvette","Anna","Morton",,,"1704 Lombardy Street",,"Longmont","CO","80503","US","1704 Lombardy Street",,"Longmont","CO","80503","US","2018-07-27T00:00:00.000"
"20181588917","LoganK LLC","5561 Ute Highway",,"Longmont","CO","80503-9130","US",,,,,,,"Good Standing","CO","Limited Liability Company","Walter","L","Boner","Jr.",,"5561 Ute Highway",,"Longmont","CO","80503","US","5561 Ute Highway",,"West Longmont","CO","80503","US","2018-07-25T00:00:00.000"
"20181608169","Bluebird Day Photo, LLC","1232 Hover St.",,"Longmont","CO","80501","US","1232 Hover St.",,"Longmont","CO","80501","US","Good Standing","CO","Limited Liability Company","Rebecca",,"Wissman",,,"1232 Hover St.",,"Longmont","CO","80501","US","1232 Hover St.",,"Longmont","CO","80501","US","2018-07-31T00:00:00.000"
"20181615090","Crawford Development Services LLC","1413 S Bowen St.",,"Longmont","CO","80501","US","150 Murray St #876",,"Niwot","CO","80544","US","Good Standing","CO","Limited Liability Company",,,,,"Lyons Gaddis, P.C.","515 Kimbark Street, 2nd Floor",,"Longmont","CO","80501","US","P. O. Box 978",,"Longmont","CO","80502-0978","US","2018-08-01T00:00:00.000"
"20181585757","Elevation Tire Service LLC, Delinquent December 1, 2019","2160 Sherri Mar St.",,"Longmont","CO","80501","US",,,,,,,"Delinquent","CO","Limited Liability Company","Evan",,"Moore",,,"2160 Sherri Mar St.",,"Longmont","CO","80501","US",,,,,,,"2018-07-25T00:00:00.000"
"20181586222","Gravity Diagnostics, Dissolved October 1, 2019","2124 Jade Way",,"Longmont","CO","80504","US","632 Russell Street",,"Covington","KY","41011","US","Voluntarily Dissolved","CO","Limited Liability Company","Tony",,"Remington",,,"2124 Jade Way",,"Longmont","CO","80504","US",,,,,,,"2018-07-25T00:00:00.000"
"20181588815","Amwot LLC","1313 S Kimbark St",,"Longmont","CO","80501-8920","US",,,,,,,"Good Standing","CO","Limited Liability Company",,,,,"Theresa A. Pickner - Attorney at Law, PLLC","2110 Mallard Pl",,"Longmont","CO","80504-7323","US",,,,,,,"2018-07-25T00:00:00.000"
"20181589470","Communication Cottage LLC, Dissolved September 26, 2020","1751 Hover Street","B-4 #518","Longmont","CO","80501","US","202 Berry Place",,"Erie","CO","80516","US","Voluntarily Dissolved","CO","Limited Liability Company",,,,,"Weingart Investment Network LLC","1751 Hover Street","B-4 #518","Longmont","CO","80501","US","202 Berry Place",,"Erie","CO","80516","US","2018-07-25T00:00:00.000"
"20181589622","Real Realty Colorado Cares","6422 Bluebird Ave",,"Longmont","CO","80503","US",,,,,,,"Good Standing","CO","Nonprofit Corporation","Chris",,"Leiferman",,,"6422 Bluebird Ave",,"Longmont","CO","80503","US",,,,,,,"2018-07-25T00:00:00.000"
"20181590212","XPLORER LLC, Dissolved April 15, 2019","8359 N. 95th St.",,"Longmont","CO","80504","US","8359 N. 95th St.",,"Longmont","CO","80504","US","Voluntarily Dissolved","CO","Limited Liability Company","Michael","Cory","Gordon",,,"8359 N. 95th St.",,"Longmont","CO","80504","US",,,,,,,"2018-07-25T00:00:00.000"
