"mastertradenameid","tradenamedescription","tradenameform","effectivedate","firstname","middlename","lastname","suffix","registrantorganization","address1","address2","city","state","zipcode","zipcode4","country","mailingaddress1","mailingaddress2","mailingcity","mailingstate","mailingzipcode","mailingzipcode4","mailingcountry","dateadded","entitystatus","entityformdate"
"20221802026","Bob & Earls Cafe","Entity Type","2022-08-22T00:00:00.000",,,,,"4JH, LLC","1118 Robinson Ave",,"Trinidad","CO",,,"US",,,"Trinidad","CO",,,"US","2022-08-22T00:00:00.000","GOOD",
"20221800430","LUCILE'S CREOLE CAFE","Entity Type","2022-08-22T00:00:00.000",,,,,"Verdigris Hospitality, LLC","485 2nd Ave Unit 4116",,"Longmont","CO",,,"US",,,,,,,,"2022-08-22T00:00:00.000","GOOD",
"20221801095","Denver Grilled Cheese Fest","Entity Type","2022-08-22T00:00:00.000",,,,,"Imagination Library of Denver","3000 Lawrence St",,"Denver","CO",,,"US",,,,,,,,"2022-08-22T00:00:00.000","GOOD",
"20221795017","HOME PLATE RESTAURANT 2","Individual","2022-08-18T00:00:00.000","Graciela",,"Cerna",,,"306 EDMUNDS",,"Brush","CO",,,"US",,,"Fort Morgan","CO",,,"US","2022-08-18T00:00:00.000",,
"20221792579","The Back Porch Cafe",,"2022-08-18T00:00:00.000",,,,,"DIAT Foods, Inc.","1101 E. Lincoln Ave",,"Fort Collins","CO",,,"US",,,,,,,,"2022-08-18T00:00:00.000",,
"20221791240","Cafeparts","Entity Type","2022-08-17T00:00:00.000",,,,,"ARISTO, INC.","4251 S Natches Ct","Ste F","Englewood","CO",,,"US",,"Ste F","Englewood","CO",,,"US","2022-08-17T00:00:00.000","GOOD",
"20221786597","Sunset Grille","Entity Type","2022-08-15T00:00:00.000",,,,,"Pints & Vibes LLC","6122 W Cross Dr",,"Littleton","CO",,,"US",,,,,,,,"2022-08-15T00:00:00.000","GOOD",
"20221786973","Paradise Nightclub & Restaurant","Entity Type","2022-08-15T00:00:00.000",,,,,"BABILONIA LLC","2501 e platte ave",,"Colorado Springs","CO",,,"US",,"Apartment A","Colorado Springs","CO",,,"US","2022-08-15T00:00:00.000","GOOD",
"20221787212","Angel Cafe","Entity Type","2022-08-15T00:00:00.000",,,,,"Church in the City-Beth Abraham","1580 Gaylord Street",,"Denver","CO",,,"US",,,,,,,,"2022-08-15T00:00:00.000","GOOD",
"20221781273","CAFE BANDIDOS","Entity Type","2022-08-12T00:00:00.000",,,,,"GLOBAL COFFEE PRODUCTS (GCP), LLC","191 UNIVERSITY BLVD","SUITE 355","Denver","CO",,,"US",,,,,,,,"2022-08-12T00:00:00.000","GOOD",
"20221776860","Overtime Sports Bar and Grill","Entity Type","2022-08-10T00:00:00.000",,,,,"Jomentum LLC","3578 Hartsel Drive","Unit E #655","Colorado Springs","CO",,,"US",,,,,,,,"2022-08-10T00:00:00.000","GOOD",
"20221761069","Cafe 168 #2","Entity Type","2022-08-03T00:00:00.000",,,,,"CAFETORIUM, LLC","309 RAILROAD AVE",,"Rifle","CO",,,"US",,,,,,,,"2022-08-03T00:00:00.000","GOOD",
"20221760453","Corner Grill and Coffeehouse","Entity Type","2022-08-03T00:00:00.000",,,,,"Benison LLC","2006 E. 8th St.",,"Pueblo","CO",,,"US",,,,,,,,"2022-08-03T00:00:00.000","GOOD",
"20221737810","U-RI SUSHI AND GRILL","Entity Type","2022-07-27T00:00:00.000",,,,,"HAN AND LEE INC","3326 E FOUNTAIN BLVD",,"Colorado Springs","CO",,,"US",,,,,,,,"2022-07-27T00:00:00.000","GOOD",
"20221737650","Tiffins India Cafe","Entity Type","2022-07-27T00:00:00.000",,,,,"Tiffin Wallah 2, Inc","2027 Winding Dr",,"Longmont","CO",,,"US",,,,,,,,"2022-07-27T00:00:00.000","GOOD",
"20221737734","Tiffins India Cafe","Entity Type","2022-07-27T00:00:00.000",,,,,"Tiffin Wallah, Inc","2027 Winding Dr",,"Longmont","CO",,,"US",,,,,,,,"2022-07-27T00:00:00.000","GOOD",
"20221723301","SoCo Bar & Grill, LLC","Entity Type","2022-07-25T00:00:00.000",,,,,"Sickles Enterprises, LLC","1330 Valley St",,"Colorado Springs","CO",,,"US",,,,,,,,"2022-07-25T00:00:00.000","GOOD",
"20221722054","The Rose Cafe","Individual","2022-07-25T00:00:00.000","Joyce","S","Guzman",,,"940 Goddard Ave.",,"Ignacio","CO",,,"US",,,"Ignacio","CO",,,"US","2022-07-25T00:00:00.000",,
"20221706264","Stimulus Cafe and Coffee House","Entity Type","2022-07-23T00:00:00.000",,,,,"Random Enterprises LLC","145 E 9th Street",,"Durango","CO",,,"US",,,"Durango","CO",,,"US","2022-07-23T00:00:00.000","GOOD",
"20221696832","Cafe Jhapa","Entity Type","2022-07-21T00:00:00.000",,,,,"ACOBO'S Foodwerks","522 Tucson St",,"Aurora","CO",,,"US",,,,,,,,"2022-07-21T00:00:00.000","GOOD",
"20221694820","St. Vrain Restaurant Supply","Entity Type","2022-07-20T00:00:00.000",,,,,"AKJ, LLC","1131 Delaware Avenue","Unit 1","Longmont","CO",,,"US",,,,,,,"US","2022-07-20T00:00:00.000","GOOD",
"20221695143","Alchemist Hollow Game Cafe","Entity Type","2022-07-20T00:00:00.000",,,,,"Alchemist Hollow Games, LLC","19955 E Williamette Ln",,"Centennial","CO",,,"US",,,,,,,,"2022-07-20T00:00:00.000","GOOD",
"20221692270","Cafe Amia","Entity Type","2022-07-19T00:00:00.000",,,,,"The Mother Earth Restoration Trust","1422 Animas View Drive Unit C",,"Durango","CO",,,"US",,,"Durango","CO",,,"US","2022-07-19T00:00:00.000","GOOD",
"20221693000","M&J Cafe","Entity Type","2022-07-19T00:00:00.000",,,,,"Helenyongkim LLC","5975 S Quebec St",,"Centennial","CO",,,"US",,,,,,,,"2022-07-19T00:00:00.000","GOOD",
"20221687171","Canyon Cafe","Individual","2022-07-18T00:00:00.000","Sean","A","Yi",,,"1777 6th st",,"Boulder","CO",,,"US",,,"Broomfield","CO",,,"US","2022-07-18T00:00:00.000",,
"20221683641","Cafe paprika","Entity Type","2022-07-15T00:00:00.000",,,,,"MARRAKCHI, INC.","13160 E MISSISSIPPI AVE",,"Aurora","CO",,,"US",,,"Aurora","CO",,,"US","2022-07-15T00:00:00.000","GOOD",
"20221680941","The Cafe","Entity Type","2022-07-14T00:00:00.000",,,,,"Selph Impressions, LLC","262 Cloud Cap Ave",,"Pagosa Springs","CO",,,"US",,,"Pagosa Springs","CO",,,"US","2022-07-14T00:00:00.000","GOOD",
"20221678479","Hungry Lyons Restaurant","Entity Type","2022-07-13T00:00:00.000",,,,,"Hungry Lyons Restaurant LLC","432 Main Street",,"Lyons","CO",,,"US",,,"Lyons","CO",,,"US","2022-07-13T00:00:00.000","GOOD",
"20221679535","Salsa's Mexican Restaurant","Entity Type","2022-07-13T00:00:00.000",,,,,"INIGUEZ INC.","7630 W 44th Ave",,"Wheat Ridge","CO",,,"US",,,,,,,,"2022-07-13T00:00:00.000","GOOD",
"20221677786","Woodys Backyard Grill","Individual","2022-07-12T00:00:00.000","Scott",,"Moody",,,"517 Potter Circle",,"Colorado Springs","CO",,,"US",,,"Colorado Springs","CO",,,"US","2022-07-12T00:00:00.000",,
"20221673142","Las Montanas Mexican Restaurant","Entity Type","2022-07-11T00:00:00.000",,,,,"Las Montanas Aspen LLC","1711 South Congress Avenue","Suite 200","Austin","TX",,,"US",,,,,,,,"2022-07-11T00:00:00.000","GOOD",
"20221669956","Saffron Grill Auraria","Other Jurisdiction","2022-07-08T00:00:00.000",,,,,"Aryan Enterprises LLC","1000 Curtis St.","PI Parcel","Denver","CO",,,"US",,,"Centennial","CO",,,"US","2022-07-08T00:00:00.000",,
"20221666055","Petal and Sugar Cafe","Entity Type","2022-07-07T00:00:00.000",,,,,"Simply Stazi LLC","9638 Harris Court",,"Thornton","CO",,,"US",,,,,,,,"2022-07-07T00:00:00.000","GOOD",
"20221666040","Petal & Sugar Cafe","Entity Type","2022-07-07T00:00:00.000",,,,,"Simply Stazi LLC","9638 Harris Court",,"Thornton","CO",,,"US",,,,,,,,"2022-07-07T00:00:00.000","GOOD",
"20221663297","The Basement Cafe","Entity Type","2022-07-06T00:00:00.000",,,,,"J & B Hospitality Ltd","945 Desert Circle",,"Fountain","CO",,,"US",,,,,,,,"2022-07-06T00:00:00.000","GOOD",
"20221664424","Cafe Aloha","Individual","2022-07-06T00:00:00.000","Phillip","Jeffrey","Marshall",,,"8836 W Dartmouth Pl",,"Lakewood","CO",,,"US",,,"Lakewood","CO",,,"US","2022-07-06T00:00:00.000",,
"20221657775","Jing Young Chinese Restaurant","Entity Type","2022-07-04T00:00:00.000",,,,,"CHYNNA MOON INC","16335 Golden Sun Way",,"Monument","CO",,,"US",,,,,,,,"2022-07-04T00:00:00.000","GOOD",
"20221655786","Empire's Edge Cafe","Entity Type","2022-07-02T00:00:00.000",,,,,"Mick's Hopes and Dreams, LLC","420 E Park Ave","Suite 101","Empire","CO",,,"US",,,,,,,,"2022-07-02T00:00:00.000","GOOD",
