"lastname","firstname","middlename","suffix","entityname","city","state","mailzipcode","licensetype","subcategory","licensenumber","licensefirstissuedate","licenselastreneweddate","licenseexpirationdate","licensestatusdescription","specialty","title","degrees","casenumber","programaction","disciplineeffectivedate","disciplinecompletedate","linktoverifylicense","linktoviewhealthcareprofile"
,,,,"Kummer Electric Co Inc","LONGMONT","CO","80501","EC",,"52","1965-06-14T00:00:00.000","1983-02-28T00:00:00.000","1983-02-28T00:00:00.000","Expired",,,,,,,,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=324623&contact=384290",
,,,,"Kehn, Dan Electric","LONGMONT","CO","80501","EC",,"302","1965-06-27T00:00:00.000","1980-01-15T00:00:00.000","1980-01-15T00:00:00.000","Expired",,,,,,,,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=327011&contact=383072",
,,,,"Schwab Electric","LONGMONT","CO","80501","EC",,"133","1965-07-13T00:00:00.000","1983-02-28T00:00:00.000","1983-02-28T00:00:00.000","Expired",,,,,,,,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=324697&contact=409483",
,,,,"Branch Electric, Inc","Longmont","CO","80501","EC",,"57","1965-07-15T00:00:00.000","2020-10-01T00:00:00.000","2023-09-30T00:00:00.000","Active",,,,,,,,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=324618&contact=364669",
,,,,"AAA Electric Co Inc","Longmont","CO","80501","EC",,"456","1966-07-07T00:00:00.000","2020-10-01T00:00:00.000","2023-09-30T00:00:00.000","Active",,,,"2010-3884","CLS Letter of Admonition","08/13/2010",,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=327414&contact=386247",
,,,,"AAA Electric Co Inc","Longmont","CO","80501","EC",,"456","1966-07-07T00:00:00.000","2020-10-01T00:00:00.000","2023-09-30T00:00:00.000","Active",,,,"2015-4355","CLS Citation Issued","10/30/2015",,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=327414&contact=386247",
,,,,"EMF Electrical Corporation","Longmont","CO","80504","EC",,"172","1966-07-07T00:00:00.000","2020-10-01T00:00:00.000","2023-09-30T00:00:00.000","Active",,,,"1995-3995000610","CLS Letter of Admonition","03/13/1995",,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=324656&contact=374079",
,,,,"AAA Electric Co Inc","Longmont","CO","80501","EC",,"456","1966-07-07T00:00:00.000","2020-10-01T00:00:00.000","2023-09-30T00:00:00.000","Active",,,,"2015-4355","CLS Stipulation","05/05/2016",,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=327414&contact=386247",
,,,,"Flr Electric Co.","LONGMONT","CO","80501","EC",,"837","1970-07-15T00:00:00.000","1985-02-28T00:00:00.000","1985-02-28T00:00:00.000","Expired",,,,,,,,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=322900&contact=375431",
,,,,"Flatiron Service Co","LONGMONT","CO","80501","EC",,"936","1972-01-20T00:00:00.000","1991-02-28T00:00:00.000","1991-02-28T00:00:00.000","Expired",,,,,,,,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=337271&contact=375396",
,,,,"Werner Electric","LONGMONT","CO","80501","EC",,"687","1973-03-09T00:00:00.000","1989-02-28T00:00:00.000","1989-02-28T00:00:00.000","Expired",,,,,,,,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=322811&contact=416986",
,,,,"Niwot Electric","LONGMONT","CO","80501","EC",,"1090","1974-04-24T00:00:00.000","1981-01-15T00:00:00.000","1981-01-15T00:00:00.000","Expired",,,,,,,,"https://www.colorado.gov/dora/licensing/Lookup/PrintLicenseDetails.aspx?cred=337378&contact=392895",
