"entityid","entityname","principaladdress1","principaladdress2","principalcity","principalstate","principalzipcode","principalcountry","mailingaddress1","mailingaddress2","mailingcity","mailingstate","mailingzipcode","mailingcountry","entitystatus","jurisdictonofformation","entitytype","agentfirstname","agentmiddlename","agentlastname","agentsuffix","agentorganizationname","agentprincipaladdress1","agentprincipaladdress2","agentprincipalcity","agentprincipalstate","agentprincipalzipcode","agentprincipalcountry","agentmailingaddress1","agentmailingaddress2","agentmailingcity","agentmailingstate","agentmailingzipcode","agentmailingcountry","entityformdate"
"20161607447","Venture Gem, LLC","9103 East 36th Ave",,"Denver","CO","80238","US","9103 East 36th Avenue",,"Denver","CO","80238","US","Good Standing","CO","Limited Liability Company","Kevin",,"Baler",,,"9103 East 36th Ave",,"Denver","CO","80238","US","9103 East 36th Avenue",,"Denver","CO","80238","US","2016-09-06T00:00:00.000"
"20161607612","Avi Kommel LLC","4433 Utica st.",,"Denver","CO","80212","US","4433 Utica Street",,"Denver","CO","80212","US","Good Standing","CO","Limited Liability Company","Avi","Hosea","Kommel",,,"4433 Utica st.",,"Denver","CO","80212","US","4433 Utica st.",,"Denver","CO","80212","US","2016-09-06T00:00:00.000"
"20161607483","CMRE LLC","1550 Wewatta Street",,"Denver","CO","80202","US","1550 Wewatta Street","Attn: 2nd Floor","Denver","CO","80202","US","Good Standing","CO","Limited Liability Company","Dominik",,"Schatz",,,"1550 Wewatta Street",,"Denver","CO","80202","US",,,,,,,"2016-09-06T00:00:00.000"
"20161606595","Matsuura Group LLC","2832 Pontiac St.",,"Denver","CO","80207","US",,,,,,,"Good Standing","CO","Limited Liability Company","Benjamin","H","Matsuura",,,"2832 Pontiac St.",,"Denver","CO","80207","US",,,,,,,"2016-09-06T00:00:00.000"
"20161606969","Beyondoffice holding llc","5500 E Yale Ave Ste 310",,"Denver","CO","80222-6969","US",,,,,,,"Good Standing","CO","Limited Liability Company","Tracy",,"Rainey",,,"5500 E Yale Ave Ste 310",,"Denver","CO","80222-6969","US","5500 E Yale Ave Ste 310",,"Denver","CO","80222-6969","US","2016-09-06T00:00:00.000"
"20161607896","CNS Transmission and Auto Repair Inc.","1370 S Parker Rd Unit A",,"Denver","CO","80231-8401","US",,,,,,,"Good Standing","CO","Corporation","Chad","Allen","Griess",,,"1148 Mobile St",,"Aurora","CO","80011-7419","US",,,,,,,"2016-09-06T00:00:00.000"
"20161605778","Arigol  LLC","2552 E ALAMEDA AVE UNIT 33",,"Denver","CO","80209","US",,,,,,,"Good Standing","CO","Limited Liability Company","Longmei",,"He",,,"1624 Market St","Ste 226, #79525","Denver","CO","80202","US",,,,,,,"2016-09-06T00:00:00.000"
"20161605974","Jade Peak, LLC","559 S Williams St",,"Denver","CO","80209","US",,,,,,,"Good Standing","CO","Limited Liability Company","Chris",,"Warner",,,"559 S. Williams St",,"Denver","CO","80209","US",,,,,,,"2016-09-06T00:00:00.000"
"20161606220","Equality. Period.","2166 South Washington St.",,"Denver","CO","80210","US","2166 South Washington St.",,"Denver","CO","80210","US","Good Standing","CO","Limited Liability Company","Ian",,"Keldin",,,"2166 South Washington St.",,"Denver","CO","80210","US","2166 South Washington St.",,"Denver","CO","80210","US","2016-09-06T00:00:00.000"
"20161606377","Beech Resources, LLC","3033 E 1st Ave Ste 505",,"Denver","CO","80206-5619","US",,,,,,,"Good Standing","CO","Limited Liability Company","John",,"Fox",,,"3033 E 1st Ave Ste 505",,"Denver","CO","80206-5619","US","3033 E 1st Ave Ste 505",,"Denver","CO","80206-5619","US","2016-09-06T00:00:00.000"
