"entityid","entityname","principaladdress1","principaladdress2","principalcity","principalstate","principalzipcode","principalcountry","mailingaddress1","mailingaddress2","mailingcity","mailingstate","mailingzipcode","mailingcountry","entitystatus","jurisdictonofformation","entitytype","agentfirstname","agentmiddlename","agentlastname","agentsuffix","agentorganizationname","agentprincipaladdress1","agentprincipaladdress2","agentprincipalcity","agentprincipalstate","agentprincipalzipcode","agentprincipalcountry","agentmailingaddress1","agentmailingaddress2","agentmailingcity","agentmailingstate","agentmailingzipcode","agentmailingcountry","entityformdate"
"20221833873","Eye Doctor CE LLC","4531 Osceola St",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Limited Liability Company",,,,,"United States Corporation Agents, Inc.","121 S. Tejon Street","Suite 201","Colorado Springs","CO","80903","US",,,,,,,"2022-08-25T00:00:00.000"
"20221828515","LoftHouse Realty, LLC","4590 Wolff Street",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Limited Liability Company","James",,"Loftus",,,"4590 Wolff Street",,"Denver","CO","80212","US",,,,,,,"2022-08-24T00:00:00.000"
"20221830460","North High School Boys Rugby Club L.L.C.","4511 W Hayward Pl",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Limited Liability Company","Bret",,"Hann",,,"4511 W Hayward Pl",,"Denver","CO","80212","US",,,,,,,"2022-08-24T00:00:00.000"
"20221816310","GSM LANDSCAPE ARCHITECTS INC","4392 ZENOBIA ST",,"Denver","CO","80212","US","2740 LAKESHIRE LN",,"Indianapolis","IN","46268","US","Good Standing","CO","Corporation","RONNY",,"THURMAN",,,"4392 ZENOBIA ST",,"DENVER","CO","80212","US",,,,,,,"2022-08-23T00:00:00.000"
"20221817589","Demolition ASAP LLC","4675 W 37TH AVE APT. 201",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Limited Liability Company","Donovan","J","Trejo",,,"4675 W 37TH AVE APT. 201",,"Denver","CO","80212","US",,,,,,,"2022-08-23T00:00:00.000"
"20221817567","LoftHouse Build, LLC","4590 Wolff Street",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Limited Liability Company","James",,"Loftus",,,"4590 Wolff Street",,"Denver","CO","80212","US",,,,,,,"2022-08-23T00:00:00.000"
"20221793864","Nurtury LLC","3857 Osceola St",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Limited Liability Company",,,,,"United States Corporation Agents, Inc.","121 S. Tejon Street","Suite 201","Colorado Springs","CO","80903","US",,,,,,,"2022-08-18T00:00:00.000"
"20221787170","SPECIALIZATION DOMAIN TRADING COMPANY INC","3003 Stuart St",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Corporation","ZHENYAN",,"WANG",,,"3003 Stuart St",,"Denver","CO","80212","US",,,,,,,"2022-08-15T00:00:00.000"
"20221782232","CHM Curates LLC","4855 Sheridan Blvd",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Limited Liability Company",,,,,"United States Corporation Agents, Inc.","121 S. Tejon Street","Suite 201","Colorado Springs","CO","80903","US",,,,,,,"2022-08-12T00:00:00.000"
"20221778351","Dr. Alexandria Ambrose LLC","5335 W 48th Ave, Ste 500",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Limited Liability Company",,,,,"United States Corporation Agents, Inc.","121 S. Tejon Street","Suite 201","Colorado Springs","CO","80903","US",,,,,,,"2022-08-10T00:00:00.000"
"20221774111","KLL BILL INC.","2520 XAVIER ST",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Corporation","CRYSTAL",,"WIGGINS",,,"5063 W 35TH AVE",,"DENVER","CO","80212","US",,,,,,,"2022-08-09T00:00:00.000"
"20221775734","Dynamic Form LLC","5280 perry st.",,"Denver","CO","80212","US",,,,,,,"Good Standing","CO","Limited Liability Company","Robert",,"Thayer",,,"5280 perry st.",,"Denver","CO","80212","US",,,,,,,"2022-08-09T00:00:00.000"
"20221769154","Favor Esthetics x Body Ltd.","5451 W 32nd Ave",,"Wheat Ridge","CO","80212","US","12124 Joplin St",,"Commerce City","CO","80603","US","Good Standing","CO","Limited Liability Company",,,,,"Favor Esthetics x Body Ltd.","5451 W 32nd Ave",,"Wheat Ridge","CO","80212","US","12124 Joplin St",,"Commerce City","CO","80603","US","2022-08-06T00:00:00.000"
