"registry_number","business_name","entity_type","registry_date","associated_name_type","first_name","middle_name","last_name","suffix","not_of_record_entity","entity_of_record_reg_number","entity_of_record_name","address","address_continued","city","state","zip","jurisdiction","business_details"
"120533096","007 2ND TERRACE LLC","DOMESTIC LIMITED LIABILITY COMPANY","2016-04-07T00:00:00.000","MAILING ADDRESS",,,,,,,,"1519 SW 3RD DR",,"GRESHAM","OR","97080","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=120533096&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"120533096","007 2ND TERRACE LLC","DOMESTIC LIMITED LIABILITY COMPANY","2016-04-07T00:00:00.000","PRINCIPAL PLACE OF BUSINESS",,,,,,,,"2594 NW 2ND TER",,"GRESHAM","OR","97030","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=120533096&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"120533096","007 2ND TERRACE LLC","DOMESTIC LIMITED LIABILITY COMPANY","2016-04-07T00:00:00.000","REGISTERED AGENT","PAUL","D","KINTZ",,,,,"1519 SW 3RD DRIVE",,"GRESHAM","OR","97080","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=120533096&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"120532395","007 3RD TERRACE LLC","DOMESTIC LIMITED LIABILITY COMPANY","2016-04-07T00:00:00.000","MAILING ADDRESS",,,,,,,,"1519 SW 3RD DR",,"GRESHAM","OR","97080","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=120532395&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"120532395","007 3RD TERRACE LLC","DOMESTIC LIMITED LIABILITY COMPANY","2016-04-07T00:00:00.000","PRINCIPAL PLACE OF BUSINESS",,,,,,,,"2591 NW 3RD TER",,"GRESHAM","OR","97030","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=120532395&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"120532395","007 3RD TERRACE LLC","DOMESTIC LIMITED LIABILITY COMPANY","2016-04-07T00:00:00.000","REGISTERED AGENT","PAUL","D","KINTZ",,,,,"1519 SW 3RD DRIVE",,"GRESHAM","OR","97080","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=120532395&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"92918490","007 COUCH LLC","DOMESTIC LIMITED LIABILITY COMPANY","2013-04-09T00:00:00.000","MAILING ADDRESS",,,,,,,,"1519 SW 3RD DR",,"GRESHAM","OR","97080","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=92918490&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"92918490","007 COUCH LLC","DOMESTIC LIMITED LIABILITY COMPANY","2013-04-09T00:00:00.000","PRINCIPAL PLACE OF BUSINESS",,,,,,,,"1519 SW 3RD DR",,"GRESHAM","OR","97080","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=92918490&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"92918490","007 COUCH LLC","DOMESTIC LIMITED LIABILITY COMPANY","2013-04-09T00:00:00.000","REGISTERED AGENT","PAUL","D","KINTZ",,,,,"1519 SW 3RD DR",,"GRESHAM","OR","97080","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=92918490&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
"198877293","007 FAB LLC","DOMESTIC LIMITED LIABILITY COMPANY","2022-07-05T09:56:54.000","MAILING ADDRESS",,,,,,,,"4558 MEDINA LN SE",,"SALEM","OR","97317","OR","http://egov.sos.state.or.us/br/pkg_web_name_srch_inq.do_name_srch?p_name=&p_regist_nbr=198877293&p_srch=PHASE1&p_print=FALSE&p_entity_status=ACTINA"
