"numero_atencion","servicio","funcionario_preliminar","funcionario_atendio","fecha_inicio","dia_inicio","mes_inicio","ano_inicio","edad","sexo","tema","sub_tema","estado","sede","tipo_atencion","preferencial","area"
"858880479","INCIDENTE DE DESACATO","DOLLY  BEDOYA CARVAJAL","GILDARDO DE JESUS ORREGO RESTREPO","2018-06-25T06:57:34.000","25","6","2018","69","Masculino","SALUD","NO MEDICAMENTOS","Atencion Archivada","PERSONERIA DE MEDELLIN","POR TURNO","1","UGPDH - ATENCION AL PUBLICO"
"858880474","INCIDENTE DE DESACATO","DOLLY  BEDOYA CARVAJAL","SANTIAGO  HOYOS GIRALDO","2018-06-25T06:57:57.000","25","6","2018","63","Femenino","SALUD","NO CIRUGIA","Atencion Archivada","PERSONERIA DE MEDELLIN","POR TURNO","0","UGPDH - ATENCION AL PUBLICO"
"858881978","ACCION DE TUTELA","Gloria Patricia Alvarez Cano","GILDARDO DE JESUS ORREGO RESTREPO","2018-07-03T06:27:30.000","3","7","2018","50","Femenino","SALUD","NO MEDICAMENTOS","Atencion Archivada","PERSONERIA DE MEDELLIN","POR TURNO","0","UGPDH - ATENCION AL PUBLICO"
"858919025","ASESORIA","LLICELY  SILVA BORJA","BLEIDY MARIA MUNERA GUTIERREZ","2018-11-26T16:02:22.000","26","11","2018","28","Femenino","DERECHOS HUMANOS","DERECHOS HUMANOS","Desertado","UPDH","POR TURNO","0","UGPDH - UNIDAD PERMANENTE"
"858918992","DERECHO DE PETICION","LLICELY  SILVA BORJA","JOSE FERNANDO ALZATE GOMEZ","2018-11-26T15:29:10.000","26","11","2018","27","Femenino","DERECHOS HUMANOS","DERECHOS HUMANOS","Atencion Archivada","UPDH","POR TURNO","0","UGPDH - UNIDAD PERMANENTE"
"858881980","ACCION DE TUTELA","DOLLY  BEDOYA CARVAJAL","BEATRIZ ELENA SIERRA TOBON","2018-07-03T06:40:50.000","3","7","2018","59","Femenino","SALUD","NO MEDICAMENTOS","Atencion Archivada","PERSONERIA DE MEDELLIN","POR TURNO","0","UGPDH - ATENCION AL PUBLICO"
"858911316","ACCION DE TUTELA","ANDRES FELIPE GIRALDO CADAVID","ANDRES FELIPE GIRALDO CADAVID","2018-10-24T11:03:46.000","24","10","2018","41","Femenino","DERECHOS HUMANOS","DERECHOS HUMANOS","Atencion Archivada","UPDH","NO GENERAR TURNOS","0","UGPDH - UNIDAD PERMANENTE"
"858852220","ASESORIA","MARTHA CECILIA RODRIGUEZ SANCHEZ","MARTHA CECILIA RODRIGUEZ SANCHEZ","2018-03-20T12:31:12.000","20","3","2018","32","Masculino","CIVIL","CIVIL","Asesoria Preliminar","PERSONERIA DE MEDELLIN","ASESORIA PRELIMINAR","0","UGPDH - ATENCION AL PUBLICO"
"858890451","ASESORIA","YANCI STEFANIA CARDONA PARRA","YOLIMA ANDREA VANEGAS MAZO","2018-08-02T12:08:37.000","2","8","2018","46","Masculino","DERECHOS HUMANOS","DERECHOS HUMANOS","Atencion Archivada","UPDH","POR TURNO","0","UGPDH - UNIDAD PERMANENTE"
"858880486","CONCILIACION EXTRAJUDICIAL EN DERECHO","DOLLY  BEDOYA CARVAJAL","OLGA LUCIA PANIAGUA ALVAREZ","2018-06-25T07:06:25.000","25","6","2018","79","Masculino","CIVIL","CIVIL","Negocio Archivado","PERSONERIA DE MEDELLIN","POR TURNO","1","SOLUCION ALTERNATIVA CONFLICTO"
"858912645","IMPUGNACION FALLO ACCION DE TUTELA","BEATRIZ ELENA SIERRA TOBON","BEATRIZ ELENA SIERRA TOBON","2018-10-30T08:21:19.000","30","10","2018","47","Masculino","SALUD","OTROS","Atencion Archivada","PERSONERIA DE MEDELLIN","NO GENERAR TURNOS","0","UGPDH - ATENCION AL PUBLICO"
"858919079","CONCILIACION EXTRAJUDICIAL EN DERECHO","SOLUCION ALTERNATIVA DE CONFLICTOS","SOLUCION ALTERNATIVA DE CONFLICTOS","2018-11-26T17:35:58.000","26","11","2018","34","Femenino","CIVIL","CIVIL","Negocio Archivado","PERSONERIA DE MEDELLIN","CORRESPONDENCIA","0","SOLUCION ALTERNATIVA CONFLICTO"
"858912644","ASESORIA","JAIRO ANDRES DELGADO RIVERA","DAVID ALEJANDRO MORALES MURILLO","2018-10-30T09:24:13.000","30","10","2018","56","Masculino","DERECHOS HUMANOS","DERECHOS HUMANOS","Atencion Archivada","UPDH","POR TURNO","0","UGPDH - UNIDAD PERMANENTE"
"858912681","ACCION DE TUTELA","GILDARDO DE JESUS ORREGO RESTREPO","GILDARDO DE JESUS ORREGO RESTREPO","2018-10-30T09:13:02.000","30","10","2018","44","Femenino","SALUD","NEGACIÓN DEL SERVICIO","Atencion Archivada","SAN ANTONIO DE PRADO","NO GENERAR TURNOS","0","UGPDH - ATENCION AL PUBLICO"
"858881981","ACCION DE TUTELA","JORGE LUIS SOLANO QUINTERO","JORGE LUIS SOLANO QUINTERO","2018-07-03T06:40:57.000","3","7","2018","76","Masculino","SALUD","NO MEDICAMENTOS","Atencion Archivada","PERSONERIA DE MEDELLIN","NO GENERAR TURNOS","0","UGPDH - ATENCION AL PUBLICO"
"858852236","ACCION DE TUTELA","MARTHA CECILIA RODRIGUEZ SANCHEZ","GILDARDO DE JESUS ORREGO RESTREPO","2018-03-20T13:07:02.000","20","3","2018","34","Masculino","SALUD","NO MEDICAMENTOS","Atencion Archivada","PERSONERIA DE MEDELLIN","POR TURNO","0","UGPDH - ATENCION AL PUBLICO"
"858919129","ASESORIA","MARIA JOSE OCAMPO BEDOYA","CAROLINA INES SERRANO TEJADA","2018-11-27T07:31:19.000","27","11","2018","32","Femenino","DERECHOS HUMANOS","DERECHOS HUMANOS","Atencion Archivada","UPDH","POR TURNO","0","UGPDH - UNIDAD PERMANENTE"
