"g_nero","municipio_de_nacimiento","pa_s","municipio_direcci_n","barrio_direcci_n","estrato","estado_civil","eps","grupo_sisben","zona","nivel_de_formaci_n","ocupaci_n","medio_de_transporte","multiculturalidad","estado","fecha_de_matr_cula","jornada","programa","per_odo","nivel","edad"
"Femenino","Medellín","Colombia","Envigado","Las Flores","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Básica secundaria","Estudiante básica","A Pie","No aplica","Graduado","2018-02-05T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA TECNICO LABORAL AUXILIAR ADMINISTRATIVO CON ENFASIS EN SISTEMAS","2018-2","SEMESTRE 2","20"
"Femenino","Envigado","Colombia","Envigado","San José","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Estudiante superior","Público Metro","No aplica","Graduado","2016-01-19T10:00:00Z","NOCHE","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2016-2","SEMESTRE 2","29"
"Masculino","Bogotá","Colombia","La Mesa","Sin respuesta","3","Soltero(a)","No Aplica","Sin respuesta","Rural","Media","Estudiante superior","Transmilenio","No aplica","Cancelado","2021-02-08T10:00:00Z","NOCHE","09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO","2021-2","SEMESTRE 1","19"
"Masculino","Envigado","Colombia","Envigado","San José","2","Soltero(a)","SISBEN","B3","Urbana","Media","Estudiante superior","Público Bus o Buseta","No aplica","Graduado","2020-01-17T10:00:00Z","DIURNA","01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO","2021-1","SEMESTRE 2","21"
"Masculino","Medellín","Colombia","Envigado","El Salado","2","Soltero(a)","Nueva Promotora de Salud - Nueva EPS","N0","Urbana","Media","Estudiante superior","Moto","No aplica","Inactivo","2020-01-27T10:00:00Z","NOCHE","27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos)","2020-1","SEMESTRE 1","20"
"Masculino","Medellín","Colombia","Sabaneta","La Doctora","2","Soltero(a)","EPS Sura","N0","Urbana - rural","Media","Estudiante superior","Público Bus o Buseta","No aplica","Inactivo","2019-01-17T10:00:00Z","DIURNA","26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos)","2021-2","SEMESTRE 2","24"
"Femenino","Medellín","Colombia","Medellín","Sin respuesta","2","Soltero(a)","Suramericana","Sin respuesta","Urbana - rural","Sin respuesta","Estudiante básica","Público Bus o Buseta","No aplica","Inactivo","2020-08-07T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","16"
"Masculino","Medellín","Colombia","Medellín","Aguacatala","3","Soltero(a)","No Aplica","A1","Urbana","Media","Desempleado","Bicicleta","No aplica","Activo","2022-02-02T10:00:00Z","DIURNA","25T-TÉCNICO LABORAL EN MECANICA DE MOTOCICLETAS","2022-1","SEMESTRE 1","20"
"Femenino","Sin respuesta","Colombia","Envigado","Barrio Obrero","2","Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Aplazamiento Semestre","2021-01-28T10:00:00Z","NOCHE","13T-TÉCNICO LABORAL EN AUXILIAR EN SEGURIDAD OCUPACIONAL","2021-1","SEMESTRE 1","23"
"Femenino","Envigado","Colombia","Envigado","Zona Centro","3","Soltero(a)","Salud Total EPS","A1","Urbana","Media","Empleado","Público Bus o Buseta","No aplica","Inactivo","2021-02-01T10:00:00Z","NOCHE","14T-TÉCNICO LABORAL EN CONTABILIDAD","2021-2","SEMESTRE 2","26"
"Masculino","Medellín","Colombia","Envigado","La Sebastiana","2","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Media","Independiente","Peatón","No aplica","Inactivo","2018-05-29T10:00:00Z","NOCHE","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2019-1","SEMESTRE 2","22"
"Masculino","Envigado","Colombia","Envigado","El Esmeraldal","5","Casado(a)","EPS Sura","D1","Urbana","Media","Empleado","Particular Automóvil","No aplica","Cancelado","2021-07-31T10:00:00Z","NOCHE","18T-TÉCNICO LABORAL EN GASTRONOMÍA","2021-2","SEMESTRE 1","41"
"Femenino","Medellín","Colombia","Envigado","Las Casitas","2","Soltero(a)","EPS Sura","A1","Urbana","Media","Independiente","Moto","No aplica","Sancionado","2018-02-06T10:00:00Z","NOCHE","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2019-1","SEMESTRE 2","49"
"Masculino","Envigado","Colombia","Envigado","Alto De Misael","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Básica secundaria",,"Sin respuesta","No aplica","Cancelado","2016-01-22T10:00:00Z","NOCHE","01T-TÉCNICO LABORAL AUXILIAR DE TALENTO HUMANO","2017-2","SEMESTRE 1","63"
"Masculino","Envigado","Colombia","Envigado","Alcalá","3","Soltero(a)","EPS Sura","Sin respuesta","Urbana","Básica secundaria","Desempleado","Público Bus o Buseta","No aplica","Graduado","2017-05-18T10:00:00Z","NOCHE","10T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO CON ÉNFASIS EN SISTEMAS (Solo Estudiantes Antiguos)","2018-1","SEMESTRE 2","28"
"Femenino","Envigado","Colombia","Envigado","San Rafael","2","Soltero(a)","EPS Sura","C4","Rural","Media","Desempleado","Público Bus o Buseta","No aplica","Activo","2022-01-21T10:00:00Z","DIURNA","09T-TÉCNICO LABORAL EN AUXILIAR ADMINISTRATIVO","2022-1","SEMESTRE 1","19"
"Masculino","Sin respuesta","Colombia","Envigado","La Magnolia","3","Soltero(a)","Nueva Promotora de Salud - Nueva EPS","Sin respuesta","Urbana","Media","Independiente","A Pie","No aplica","Cancelado","2020-02-04T10:00:00Z","DIURNA","27T-TÉCNICO LABORAL EN MERCADEO Y VENTAS (Estudiantes Antiguos)","2020-2","SEMESTRE 2","34"
"Masculino","Sin respuesta","Colombia","Envigado","San Rafael","2","Soltero(a)","No Aplica","Sin respuesta","Urbana","Sin respuesta",,"Sin respuesta","No aplica","Inactivo","2014-06-21T10:00:00Z","NOCHE","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2014-2","SEMESTRE 1","29"
"Masculino","Betulia","Colombia","Itagui","La Aldea","1","Soltero(a)","No Aplica","Sin respuesta","Urbana","Básica secundaria","Estudiante superior","Sin respuesta","No aplica","Inactivo","2016-01-12T10:00:00Z","NOCHE","26T-TÉCNICO LABORAL EN MECÁNICA DE MOTOS  (Estudiantes Antiguos)","2016-2","SEMESTRE 2","26"
"Femenino","Santafé De Antioquia","Colombia","Envigado","San Rafael","1","Casado(a)","EPS Sura","Sin respuesta","Urbana","Básica secundaria","Desempleado","Público Bus o Buseta","No aplica","Graduado","2016-05-16T10:00:00Z","DIURNA","04T-TÉCNICO LABORAL AUXILIAR EN SEGURIDAD Y PREVENCIÓN  DE RIESGOS LABORALES (Estudiantes Antiguos)","2017-1","SEMESTRE 2","37"
"Masculino","Sin respuesta","Colombia","Envigado","Andalucía","3","Soltero(a)","No Aplica","Sin respuesta","Urbana","Sin respuesta",,"Sin respuesta","No aplica","Inactivo","2014-06-21T10:00:00Z","NOCHE","03T-TÉCNICO LABORAL AUXILIAR EN LOGÍSTICA","2015- 1","SEMESTRE 2","58"
"Masculino","Medellín","Colombia","Medellín","12 De Octubre","1","Soltero(a)","Sanitas EPS","Sin respuesta","Urbana","Sin respuesta","Estudiante básica","Público Bus o Buseta","No aplica","Inactivo","2020-07-24T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","17"
"Masculino","Sin respuesta","Colombia","Itagui","Sin respuesta","2","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Estudiante superior","Sin respuesta","No aplica","Graduado","2015-05-13T10:00:00Z","NOCHE","TÉCNICO LABORAL EN ELECTRÓNICA Y ELECTRICIDAD AUTOMOTRIZ","2017-2","SEMESTRE 2","28"
"Masculino","Amagá","Colombia","Envigado","La Sebastiana",,"Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Activo","2020-11-11T10:00:00Z","DIURNA","EXTENSIÓN MANIPULACIÓN DE ALIMENTOS","2020-2","SEMESTRE 1","66"
"Femenino","Medellín","Colombia","Envigado","Loma Del Barro","4","Soltero(a)","EPS Sura","Sin respuesta","Rural","Sin respuesta",,"Sin respuesta","No aplica","Inactivo","2020-08-07T10:00:00Z","MEDIA TÉCNICA","MEDIA TÉCNICA - ORIENTACIÓN VOCACIONAL","2020 - MT","NOVENO","16"
"Femenino","Medellín","Colombia","Medellín","El Poblado",,"Sin Respuesta","No Aplica","Sin respuesta",,"Sin respuesta",,"Sin respuesta","No aplica","Activo","2020-09-24T10:00:00Z","DIURNA","EXTENSION HERRAMIENTAS TICS","2020-2","SEMESTRE 1","25"
"Masculino","Medellín","Colombia","Envigado","El Trianón","3","Casado(a)","Susalud","Sin respuesta","Urbana","Media","Empleado","Particular Motocicleta","No aplica","Graduado","2016-01-08T10:00:00Z","DIURNA","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2016-2","SEMESTRE 2","43"
"Masculino","Medellín","Colombia","Medellín","Villa Hermosa","3","Soltero(a)","No Aplica","Sin respuesta","Urbana","Media","Empleado","Sin respuesta","No aplica","Inactivo","2016-01-19T10:00:00Z","NOCHE","17T-TÉCNICO LABORAL EN ENTRENAMIENTO DEPORTIVO","2016-2","SEMESTRE 2","27"
