"incidentnum","servyr","servnumid","primaryoc","moniker","age_class","from_age","to_age","race","ethnic","sex","height","weight","build","complexion","eyes","glasses","hair","hairlenght","voice","facialhair","facialhaircolor","peculiarities","comment","created_on","updated_on"
"108814-2015","2015","108814-2015-01",,,,"59","60","White","Non-Hispanic or Latino","Male",,,"Slight",,,,"White","Short",,,,,,"2015-05-15 00:35:40.0000000","2015-05-15 00:35:40.0000000"
"084044-2016","2016","084044-2016-02",,,,,,"Black",,"Male",,,,,,,,,,,,,,"2016-04-09 14:06:09.0000000","2016-04-09 14:06:09.0000000"
"025587-2019","2019","025587-2019-01","NA-99999999-X5",,,"15","20","Black",,"Male",,,"Medium",,,,,,,,,,"Clothing Description: GREEN PANTS WITH A RED LINE ON THE SEAM","2019-02-07 00:36:18.0000000","2019-02-07 00:35:56.0000000"
"179052-2015","2015","179052-2015-01",,,,"20","30","Hispanic or Latino","Hispanic or Latino","Male","5'10''","170",,,,,,"Short",,,,,"Shirt: YELLOW Pants: BLACK SHORTS","2015-08-03 17:05:38.0000000","2015-08-03 17:05:38.0000000"
"137225-2020","2020","137225-2020-01","F2-13150005-D4",,,"17","99","Black",,"Male",,,,,,,,,,,,,,"2020-08-07 10:45:02.0000000","2020-08-07 10:45:04.0000000"
"161731-2021","2021","161731-2021-01","NA-99999999-Z3,NA-99999999-Z9",,,"20","29","White","Hispanic or Latino","Male","5'00''","180","Heavy",,,,,,,,,,"Clothing Description: BLACK PANTS, BLACK SHIRT, WHITE TENNIS SHOES, COLUMBIAN.","2021-09-08 18:17:29.0000000","2021-09-08 18:17:29.0000000"
"193924-2018","2018","193924-2018-01","MC-99999999-H34",,,"18","99","White",,"Male",,,,,,,,,,,,,"Clothing Description: GREEN SHIRT","2018-09-04 08:26:40.0000000","2018-09-04 08:26:41.0000000"
"169661-2018","2018","169661-2018-02","MA-23990193-F198",,,"1","98","White","Hispanic or Latino","Male",,,,,,,,,,,,,,"2018-08-04 05:06:00.0000000","2018-08-04 05:06:00.0000000"
"101330-2020","2020","101330-2020-01","FS-23990132-F42",,,"0","0","Black","Non-Hispanic or Latino","Male",,,"Thin","Dark",,,"Black","Medium",,,,,"Clothing Description: WHITE TSHIRT OR TANK TOP Trademark: HAIR POSSIBLY IN CORNWORS","2020-06-09 01:44:27.0000000","2020-06-15 14:05:27.0000000"
"020072-2016","2016","020072-2016-01",,,,"30","30","Hispanic or Latino","Hispanic or Latino","Male","5'06''","220","Heavy",,,,,,,,,,"Shirt: RED SHIRT Pants: JEANS Hat: HAT Additional Clothing: RED SHIRT, JEANS AND A HAT","2016-01-25 23:17:28.0000000","2016-01-25 23:17:28.0000000"
"180694-2018","2018","180694-2018-04","NA-99999999-Z3",,,"20","40","White","Hispanic or Latino","Male",,"250","Heavy",,,,,,,,,,,"2018-08-16 21:03:24.0000000","2018-08-16 21:03:24.0000000"
"051276-2021","2021","051276-2021-01","MC-54010010-V15",,,"18","25","White","Hispanic or Latino","Male","5'06''","150",,,,,"Black","Short",,,,,,"2021-03-27 21:33:43.0000000","2021-03-27 21:33:50.0000000"
"150217-2020","2020","150217-2020-01","F2-13150005-D4",,,"27","28","Black","Non-Hispanic or Latino","Male","6'01''","160","Medium","Light",,,"Black","Long",,,,,"Comments: UNKNOWN COLOR PISTOL WITH MOUNTED FLASH LIGHT AND A RED LASER. Clothing Description: BLACK HOODIE UNKNOWN PANTS-DREADLOCKS-SHOULDER LENGTH","2020-08-25 01:12:04.0000000","2020-08-25 01:12:05.0000000"
"168802-2019","2019","168802-2019-01","FS-22990001-E2",,,"17","99","Black",,"Male",,,,,,,,,,,,,,"2019-08-20 15:03:40.0000000","2019-08-20 15:03:42.0000000"
"010864-2021","2021","010864-2021-03","MA-22990004-F1",,,"0","0","White","Hispanic or Latino","Male",,,,,,,,,,,,,"Comments: WEARING BLACK HOODIE","2021-01-19 03:38:17.0000000","2021-04-23 13:36:52.0000000"
"154779-2017","2017","154779-2017-01",,,,"25","30","Black","Non-Hispanic or Latino","Male","5'57''","240",,,,,,,,,,,"Shirt: NAVY BLUE SHIRT Pants: GRAY JEANS Hat: RED AND WHITE","2017-07-08 12:14:19.0000000","2017-07-08 12:14:19.0000000"
"134249-2020","2020","134249-2020-01","MA-13990001-H1",,,"0","0","Black","Non-Hispanic or Latino","Male","5'07''","150",,,,,,,,,,,,"2020-08-01 21:14:27.0000000","2021-02-05 13:17:03.0000000"
"257688-2018","2018","257688-2018-01","MC-99999999-H34",,,"35","50","White",,"Male","5'01''","140",,,"Blue",,"Blonde","Medium",,,,,"Clothing Description: ORANGE JACKET / BLUE JEANS","2018-12-01 00:16:34.0000000","2018-12-01 00:16:35.0000000"
"001029-2021","2021","001029-2021-02","F1-12990002-C4",,,"17","25","Black","Non-Hispanic or Latino","Male",,,,,,,,,,,,,,"2021-01-02 19:06:26.0000000","2021-01-02 19:06:26.0000000"
"135397-2021","2021","135397-2021-01","MA-29990043-L100",,,"18","21","Black","Non-Hispanic or Latino","Male",,,,,,,"Black","Long",,,,,"Comments: BACK LEFT SEAT, SUSP WHO THREW BRICK. Clothing Description: BLACK SHIRT Trademark: LONG DREADS","2021-08-05 16:30:24.0000000","2021-08-05 16:30:25.0000000"
"037762-2018","2018","037762-2018-01","FS-23990194-F195",,,"21","25","Black",,"Male","6'00''","170",,,,,,,,,,,,"2018-02-21 18:29:52.0000000","2018-02-21 18:30:01.0000000"
"066413-2017","2017","066413-2017-02",,,,,,"Hispanic or Latino",,"Male",,,,,,,,,,,,,,"2017-03-30 18:21:36.0000000","2017-03-30 18:21:36.0000000"
"252093-2018","2018","252093-2018-02","FS-22990001-E1",,,"30","35","White","Non-Hispanic or Latino","Male","5'58''","170","Medium",,,"Yes",,,,,,,"Clothing Description: LONG,  PANTS, SHORT SLEEVE SHIRT","2018-11-22 16:16:07.0000000","2018-11-22 16:16:10.0000000"
"198970-2021","2021","198970-2021-02","FS-22990001-E1",,,"25","35","White","Hispanic or Latino","Male",,,,,,,,,,,,,,"2021-11-07 01:15:57.0000000","2021-11-07 01:15:57.0000000"
"273136-2016","2016","273136-2016-01",,,,,,"Black",,"Male",,,,,,,,,,,,,"Comments: DREADLOCKS","2016-11-15 15:31:59.0000000","2016-11-15 15:31:59.0000000"
"164315-2019","2019","164315-2019-01","FS-24110003-G14","UNK",,"17","22","Black","Unknown","Male",,,,,,,,,,,,,,"2020-03-26 13:01:29.0000000","2020-03-26 13:01:33.0000000"
"007823-2019","2019","007823-2019-02","MB-23990191-F183",,,"17","99","Unknown",,"Male",,,,,,,,,,,,,,"2019-01-12 10:00:37.0000000","2019-01-12 10:00:41.0000000"
"017928-2017","2017","017928-2017-02",,,,,,"Unknown",,"Male",,,,,,,,,,,,,,"2017-01-23 17:54:53.0000000","2017-01-23 17:54:53.0000000"
"130009-2017","2017","130009-2017-01",,"RON",,,,"Black",,"Male",,,,,,,,,,,,,,"2017-06-09 07:06:27.0000000","2017-06-09 07:06:27.0000000"
"239853-2017","2017","239853-2017-01",,,,,,"Hispanic or Latino","Hispanic or Latino","Male",,,,,,,,,,,,,"Shirt: GRAY SWEAT SHIRT Pants: GRAY SWEAT PANTS Hat: BLUE BB CAP","2017-10-20 09:51:09.0000000","2017-10-20 09:51:09.0000000"
