"businessname","contractorlicensenumber","contractorlicensetypecode","contractorlicensetypecodedesc","address1","address2","city","state","zip","phonenumber","licenseeffectivedate","licenseexpirationdate","businesstypecode","businesstypecodedesc","specialtycode1","specialtycode1desc","specialtycode2","specialtycode2desc","ubi","primaryprincipalname","statuscode","contractorlicensestatus","contractorlicensesuspenddate"
"VIKING POOLS INC","VIKINPI066JF","CC","CONSTRUCTION CONTRACTOR","11506 Meridian Ave N",,"SEATTLE","WA","98133","2066691257","1994-04-06T00:00:00.000","2023-03-26T00:00:00.000","C","Corporation","01","GENERAL",,,"601530138","JOHNSON, MIKAL WALTER","S","SUSPENDED","2021-10-06T00:00:00.000"
"OSBORNE LANDSCAPE","OSBORL*822QO","CC","CONSTRUCTION CONTRACTOR","812 N GRANITE AVE",,"GRANITE FALLS","WA","98252","4255957682","2018-11-20T00:00:00.000","2022-11-20T00:00:00.000","I","Individual","BW","LANDSCAPING",,,"604008069","OSBORNE, ANGELA LYNN","A","ACTIVE",
"EARTHHEAT INC","EARTHI*792O7","PC","PLUMBING CONTRACTOR","PO BOX 819",,"DUVALL","WA","98019","4257885214","2021-10-05T00:00:00.000","2023-10-05T00:00:00.000","C","Corporation","01","JOURNEY LEVEL",,,"602593890","MALONEY, GERARD JUDE","A","ACTIVE",
"TUMWATER DRILLING & PUMP INC","TUMWADP780US","EC","ELECTRICAL CONTRACTOR","P O BOX 249",,"DRYDEN","WA","98821","5095485361","2022-03-11T00:00:00.000","2024-03-11T00:00:00.000","C","Corporation","3A","Domestic Pump","91",,"600164144","Webb, Dennis O","A","ACTIVE",
"HOME ENERGY EXPERTS LLC","HOMEEEE831MK","CC","CONSTRUCTION CONTRACTOR","1110 NORTH 650 WEST",,"CENTERVILLE","UT","84014","8553626485","2017-07-12T00:00:00.000","2023-07-12T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603500846","CHRISTENSEN, DON SCOTT","A","ACTIVE",
"GARAGE SOLUTIONS NORTHWEST","GARAGSN805KA","CC","CONSTRUCTION CONTRACTOR","2002 SE 97TH AVE",,"VANCOUVER","WA","98664","5039302822","2020-05-13T00:00:00.000","2024-05-13T00:00:00.000","I","Individual","01","GENERAL",,,"603292673","ERWERT, THOMAS MICHAEL","A","ACTIVE",
"SEATTLE CONCRETE WORKS LLC","SEATTCW835PF","CC","CONSTRUCTION CONTRACTOR","11700 MUKILTEO SPWY 201-3004",,"MUKILTEO","WA","98275","4253993154","2017-10-06T00:00:00.000","2021-10-06T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604177616","FIGUEROA-BLANDIN, CARLOS E","E","EXPIRED","2020-03-18T00:00:00.000"
"NORTHWEST APPLIANCE SOLUTIONS","NORTHAS839M4","CC","CONSTRUCTION CONTRACTOR","8113 COLLINS RD",,"SEDRO WOOLLEY","WA","98284","3608540768","2017-07-24T00:00:00.000","2023-07-24T00:00:00.000","C","Corporation","01","GENERAL",,,"603163964","BOUFFIOU, RYAN ALAN","A","ACTIVE",
"ROBINSON'S RT WY GNRL CNT LLC","ROBINRW809QR","CC","CONSTRUCTION CONTRACTOR","912 S EAST ST",,"COLFAX","WA","99111","2083100106","2020-10-21T00:00:00.000","2022-10-21T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604641401","ROBINSON, DOUGLAS LAVERNE","S","SUSPENDED","2021-10-06T00:00:00.000"
"TRU LINE COMMUNICATIONS LLC","TRULILC853PR","CC","CONSTRUCTION CONTRACTOR","PO Box 11191",,"TACOMA","WA","98411","2532556923","2015-10-19T00:00:00.000","2023-10-19T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"603524257","Lawrence, William P Jr","A","ACTIVE",
"ECOCRAFT LLC","ECOCRL*804DE","CC","CONSTRUCTION CONTRACTOR","4408 NE 38TH AVE",,"PORTLAND","OR","97211","5037566468","2020-03-05T00:00:00.000","2024-03-05T00:00:00.000","L","Limited Liability Company","01","GENERAL",,,"604582587","HOOKER IV, EDWIN STANTON","A","ACTIVE",
