"rec_no","fiscal_year","fiscal_year_period","accounting_period","service","department","fund_code","fund_name","appropriation_code","appropriation_name","program","expense_category","vendor","vendor_id","payment_id","payment_date","invoice_id","invoice_line","invoice_distribution_line","invoice_date","amount","description"
"178826338","2014","2","AUGUST","ADMINISTRATION AND REGULATION","TREASURER OF STATE","0812","STREET CONSTR FUND CITIES",,,"STREET CONSTR. FUND CITIES","REFUNDS-OTHER","FAYETTE, CITY OF","00002128911","GAX-655-GAXRU2013232T0802940-1-0","2013-08-15T00:00:00.000","GAX-655-GAXRU2013232T0802940-1-0","1","1","2013-08-15T00:00:00.000","12973.93","REFUND"
"179531046","2014","2","AUGUST","ADMINISTRATION AND REGULATION","REVENUE","0815","LOCAL SALES & SERV TAX FUND",,,"SAVE-LOCAL OPTION SALES TAX-CITIES & COUNTIES","REFUNDS-LOCAL OPTION","FAYETTE, CITY OF","00002128911","GAX-625-625JJ240336201300336-1-0","2013-08-28T00:00:00.000","GAX-625-625JJ240336201300336-1-0","1","1","2013-08-28T00:00:00.000","7789.84","REFUND - LOCAL OPTION SLS TAX"
"180343748","2014","3","SEPTEMBER","ADMINISTRATION AND REGULATION","TREASURER OF STATE","0812","STREET CONSTR FUND CITIES",,,"STREET CONSTR. FUND CITIES","REFUNDS-OTHER","FAYETTE, CITY OF","00002128911","GAX-655-GAXRU2013260T0902940-1-0","2013-09-12T00:00:00.000","GAX-655-GAXRU2013260T0902940-1-0","1","1","2013-09-12T00:00:00.000","12045.05","REFUND"
"181206704","2014","3","SEPTEMBER","AGRICULTURE AND NATURAL RESOURCES","NATURAL RESOURCES, DEPT OF","0147","RESOURCES ENHANCEMENT & PROTEC",,,"CITY PARK/RECR COMP GRANTS-15%","STATE AID","FAYETTE, CITY OF","00002128911","GAX-542-02092513246-7-0","2013-09-25T00:00:00.000","GAX-542-02092513246-7-0","1","1","2013-07-22T00:00:00.000","75000","STATE AID"
"181280292","2014","3","SEPTEMBER","ADMINISTRATION AND REGULATION","REVENUE","0815","LOCAL SALES & SERV TAX FUND",,,"SAVE-LOCAL OPTION SALES TAX-CITIES & COUNTIES","REFUNDS-LOCAL OPTION","FAYETTE, CITY OF","00002128911","GAX-625-625JJ269336201300336-1-0","2013-09-27T00:00:00.000","GAX-625-625JJ269336201300336-1-0","1","1","2013-09-27T00:00:00.000","7789.84","REFUND - LOCAL OPTION SLS TAX"
"182059098","2014","4","OCTOBER","ADMINISTRATION AND REGULATION","TREASURER OF STATE","0812","STREET CONSTR FUND CITIES",,,"STREET CONSTR. FUND CITIES","REFUNDS-OTHER","FAYETTE, CITY OF","00002128911","GAX-655-GAXRU2013288T1002940-1-0","2013-10-10T00:00:00.000","GAX-655-GAXRU2013288T1002940-1-0","1","1","2013-10-10T00:00:00.000","14161.29","REFUND"
"182625296","2014","4","OCTOBER","EDUCATION","EDUCATION, DEPT OF","0001","GENERAL FUND","I98","ENRICH IOWA LIBRARIES","ENRICH IOWA","STATE AID","FAYETTE CITY OF","00002128912","GAX-282-101613AC157-1-0","2013-10-16T00:00:00.000","GAX-282-101613AC157-1-0","1","1","2013-10-16T00:00:00.000","1271.32","STATE AID"
"183091684","2014","4","OCTOBER","ADMINISTRATION AND REGULATION","REVENUE","0815","LOCAL SALES & SERV TAX FUND",,,"SAVE-LOCAL OPTION SALES TAX-CITIES & COUNTIES","REFUNDS-LOCAL OPTION","FAYETTE, CITY OF","00002128911","GAX-625-625JJ302337201300337-1-0","2013-10-29T00:00:00.000","GAX-625-625JJ302337201300337-1-0","1","1","2013-10-29T00:00:00.000","7789.85","REFUND - LOCAL OPTION SLS TAX"
"183777384","2014","5","NOVEMBER","ADMINISTRATION AND REGULATION","REVENUE","0815","LOCAL SALES & SERV TAX FUND",,,"SAVE-LOCAL OPTION SALES TAX-CITIES & COUNTIES","REFUNDS-LOCAL OPTION","FAYETTE, CITY OF","00002128911","GAX-625-625JJ310287201300287-1-0","2013-11-07T00:00:00.000","GAX-625-625JJ310287201300287-1-0","1","1","2013-11-07T00:00:00.000","2002.18","REFUND - LOCAL OPTION SLS TAX"
"183767456","2014","5","NOVEMBER","ECONOMIC DEVELOPMENT","IOWA ECONOMIC DEVELOPMENT AUTHORITY","0340","CDBG SUBGRANTS",,,"SUB-GRANTS","STATE AID","FAYETTE, CITY OF","00002128911","GAX-269-14BHGAX236-8-0","2013-11-07T00:00:00.000","GAX-269-14BHGAX236-8-0","1","1","2013-11-07T00:00:00.000","12300","FEDERAL PASS THROUGH"
"184168300","2014","5","NOVEMBER","ADMINISTRATION AND REGULATION","ALCOHOLIC BEVERAGES","0631","LIQUOR CONTROL ACT FUND",,,"LICENSE OPERATIONS","STATE AID","FAYETTE, CITY OF","00002128911","GAX-212-212CY311130125-1-0","2013-11-13T00:00:00.000","GAX-212-212CY311130125-1-0","1","1","2013-11-13T00:00:00.000","390","CITIES-LIQUOR SALES DIST."
"184271738","2014","5","NOVEMBER","ADMINISTRATION AND REGULATION","TREASURER OF STATE","0812","STREET CONSTR FUND CITIES",,,"STREET CONSTR. FUND CITIES","REFUNDS-OTHER","FAYETTE, CITY OF","00002128911","GAX-655-GAXRU2013323T1102940-1-0","2013-11-14T00:00:00.000","GAX-655-GAXRU2013323T1102940-1-0","1","1","2013-11-14T00:00:00.000","10117.36","REFUND"
"184955344","2014","5","NOVEMBER","ADMINISTRATION AND REGULATION","REVENUE","0815","LOCAL SALES & SERV TAX FUND",,,"SAVE-LOCAL OPTION SALES TAX-CITIES & COUNTIES","REFUNDS-LOCAL OPTION","FAYETTE, CITY OF","00002128911","GAX-625-625JJ330336201300336-1-0","2013-11-26T00:00:00.000","GAX-625-625JJ330336201300336-1-0","1","1","2013-11-26T00:00:00.000","8059.37","REFUND - LOCAL OPTION SLS TAX"
