"rec_no","fiscal_year","fiscal_year_period","accounting_period","service","department","fund_code","fund_name","appropriation_code","appropriation_name","program","expense_category","vendor","vendor_id","payment_id","payment_date","invoice_id","invoice_line","invoice_distribution_line","invoice_date","amount","description"
"226318262","2016","3","SEPTEMBER","ADMINISTRATION AND REGULATION","ALCOHOLIC BEVERAGES","0631","LIQUOR CONTROL ACT FUND",,,"LICENSE OPERATIONS","STATE AID","VINTON, CITY OF","00002130718","GAX-212-212CY258150257-1-0","2015-09-18T00:00:00.000","GAX-212-212CY258150257-1-0","1","1","2015-09-18T00:00:00.000","100","CITIES-LIQUOR SALES DIST."
"226368398","2016","3","SEPTEMBER","TRANSPORTATION","TRANSPORTATION, DEPT OF","0137","PRIMARY ROAD FUND",,,"PRIMARY ROAD ROAD FUND","UTILITIES","VINTON, CITY OF","00002130718","GAX-645-6452016057491552-1-0","2015-09-21T00:00:00.000","GAX-645-6452016057491552-1-0","1","1","2015-09-21T00:00:00.000","33.7","ELECTRICITY"
"226626382","2016","3","SEPTEMBER","ADMINISTRATION AND REGULATION","REVENUE","0815","LOCAL SALES & SERV TAX FUND",,,"SAVE-LOCAL OPTION SALES TAX-CITIES & COUNTIES","REFUNDS-LOCAL OPTION","VINTON, CITY OF","00002130718","GAX-625-625JJ271039201500039-1-0","2015-09-28T00:00:00.000","GAX-625-625JJ271039201500039-1-0","1","1","2015-09-28T00:00:00.000","28137.87","REFUND - LOCAL OPTION SLS TAX"
"225722578","2016","3","SEPTEMBER","JUSTICE SYSTEM","DEPT OF HOMELAND SECURITY AND EMERGENCY MANAGEMENT","0267","EMPG TERRORISM",,,"PA DR 1763 NON-FEDERAL FUNDS","STATE AID","VINTON, CITY OF","00002130718","GAX-583-165830090041-9-0","2015-09-11T00:00:00.000","GAX-583-165830090041-9-0","1","1","2015-09-11T00:00:00.000","17190.79","STATE AID"
"223922866","2016","2","AUGUST","ADMINISTRATION AND REGULATION","TREASURER OF STATE","0812","STREET CONSTR FUND CITIES",,,"STREET CONSTR. FUND CITIES","REFUNDS-OTHER","VINTON, CITY OF","00002130718","GAX-655-GAXRU2015230T0808860-1-0","2015-08-13T00:00:00.000","GAX-655-GAXRU2015230T0808860-1-0","1","1","2015-08-13T00:00:00.000","72817.36","REFUND"
"224696414","2015","2","JUNE +60","TRANSPORTATION","TRANSPORTATION, DEPT OF","0148","OTHER FED FNDS-CITIES,CTYS",,,"OTHER FEDERAL FUNDS","CAPITALS","VINTON, CITY OF","00002130718","GAX-645-6452016040476799-1-0","2015-08-26T00:00:00.000","GAX-645-6452016040476799-1-0","1","1","2015-08-26T00:00:00.000","1908.93","CONSTR HWY,BRDGS,RIGHT OF WAY"
"225227642","2016","3","SEPTEMBER","EDUCATION","EDUCATION, DEPT OF","0001","GENERAL FUND","I98","ENRICH IOWA LIBRARIES","ENRICH IOWA","STATE AID","VINTON PUBLIC LIBRARY","00002130719","GAX-282-090215AC445-1-0","2015-09-02T00:00:00.000","GAX-282-090215AC445-1-0","1","1","2015-09-02T00:00:00.000","2076.18","STATE AID"
"224691290","2016","2","AUGUST","ADMINISTRATION AND REGULATION","REVENUE","0815","LOCAL SALES & SERV TAX FUND",,,"SAVE-LOCAL OPTION SALES TAX-CITIES & COUNTIES","REFUNDS-LOCAL OPTION","VINTON, CITY OF","00002130718","GAX-625-625JJ238039201500039-1-0","2015-08-26T00:00:00.000","GAX-625-625JJ238039201500039-1-0","1","1","2015-08-26T00:00:00.000","28137.87","REFUND - LOCAL OPTION SLS TAX"
"225621960","2016","3","SEPTEMBER","ADMINISTRATION AND REGULATION","TREASURER OF STATE","0812","STREET CONSTR FUND CITIES",,,"STREET CONSTR. FUND CITIES","REFUNDS-OTHER","VINTON, CITY OF","00002130718","GAX-655-GAXRU2015258T0908860-1-0","2015-09-10T00:00:00.000","GAX-655-GAXRU2015258T0908860-1-0","1","1","2015-09-10T00:00:00.000","64586.92","REFUND"
"224696410","2015","2","JUNE +60","TRANSPORTATION","TRANSPORTATION, DEPT OF","0228","REVITALIZE IOWAS SOUND ECONOMY",,,"RISE - CITY","CAPITALS","VINTON, CITY OF","00002130718","GAX-645-6452016040476799-1-0","2015-08-26T00:00:00.000","GAX-645-6452016040476799-1-0","2","1","2015-08-26T00:00:00.000","36153.87","CONSTR HWY,BRDGS,RIGHT OF WAY"
