"date","transaction_type","committee_cd","committee_type","committee_nm","rec_committee_cd","organization_nm","first_nm","last_nm","address_line_1","address_line_2","city","state_cd","zip","amount","check_number"
"2004-10-12T00:00:00.000","EXP","9103","County Central Committee","Jefferson County Democratic Central Committee",,"Metcalf for Supervisor",,,"2642 Hawthorne",,"Fairfield","IA","52556","50.00","518"
"2004-09-09T00:00:00.000","EXP","9103","County Central Committee","Jefferson County Democratic Central Committee",,"Morning Star Studio",,,"51 1/2 South Court St.",,"Fairfield","IA","52556","800.00","512"
"2004-12-06T00:00:00.000","EXP","9103","County Central Committee","Jefferson County Democratic Central Committee",,"Morning Star Studio",,,"51 1/2 South Court St.",,"Fairfield","IA","52556","354.56","525"
"2004-09-18T00:00:00.000","EXP","9103","County Central Committee","Jefferson County Democratic Central Committee",,"Morning Star Studio",,,"51 1/2 South Court St.",,"Fairfield","IA","52556","119.79","513"
"2011-06-13T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","158.40","1602"
"2010-03-25T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","176.00","1633"
"2010-08-10T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","40.00","1648"
"2012-08-29T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","45.00","1614"
"2014-04-30T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","49.00","1814"
"2015-03-24T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","3.67","28291"
"2014-08-11T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","4.56","1828"
"2009-12-28T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","184.80","1630"
"2010-03-09T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","20.00","1627"
"2016-01-02T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","4.76","1849"
"2008-01-02T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","328.00","1573"
"2012-08-24T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","52.00","1613"
"2014-08-11T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","56.00","1827"
"2010-08-10T00:00:00.000","EXP","9645","Iowa PAC","Linn Phoenix Club",,"Postmaster",,,"Main Post Office",,"Cedar Rapids","IA","52401","140.80","1649"
