Date,Start Time,End Time,Event Title,Description,Location,County,Contact,Contact Title,Phone,Email,Directions,Registration Link,Location 1,Counties,Zip Codes
,,,,,,Sussex,,,,,,,,,
12/09/2019 12:00:00 AM,9:30 am,11:00 am,Path to Employment-Starting Your Job Search,"An in-depth Orientation that includes a discussion of the emotional impact of job loss, and setting effective career goals. Traditional work search methods and how to develop job search plans are also discussed.",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
12/13/2019 12:00:00 AM,9:30 am,11:00 am,Top Notch Resume - I,"The use of branding, marketing yourself, and the importance of having a competent resume is discussed. Participants will see the advantages and disadvantages of different resume formats, and review the basic elements of an effective resume and cover letter. ",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
01/06/2020 12:00:00 AM,9:30 am,11:00 am,Path to Employment-Starting Your Job Search,"An in-depth Orientation that includes a discussion of the emotional impact of job loss, and setting effective career goals. Traditional work search methods and how to develop job search plans are also discussed.",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
01/27/2020 12:00:00 AM,9:30 am,11:00 am,Top Notch Resume - II,"Build on the topics covered in the Basic Resume workshop. In addition to the different resume formats and basic layouts, participants will see the advantages of targeting custom resumes for a specific employer, job openings and/or industry. Topics will also include how to detail accomplishments, achievements, and develop an effective summary/profile. A discussion of a using a professional cover letter and references is included as well.",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
02/03/2020 12:00:00 AM,9:30 am,11:00 am,Path to Employment-Starting Your Job Search,"An in-depth Orientation that includes a discussion of the emotional impact of job loss, and setting effective career goals. Traditional work search methods and how to develop job search plans are also discussed.",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
11/08/2019 12:00:00 AM,9:30 am,11:00 am,Top Notch Resume 1,"The use of branding, marketing yourself",Sussex County Mall,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,,,
11/08/2019 12:00:00 AM,,,,,,Sussex,,,9733832775,Paula.Genschow@dol.nj.gov,,,,,
,,,,,,Sussex,,,,,,,"Newton
(42.338028, -71.211578)",1915,159
12/16/2019 12:00:00 AM,9:30 am,11:00 am,Master the Art of Networking,"An overview of current strategies for effective networking. Topics include use of professional associations, developing an elevator speech, and how to develop your network using social media.",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
01/10/2020 12:00:00 AM,9:30 am,11:00 am,Top Notch Resume - I,"The use of branding, marketing yourself, and the importance of having a competent resume is discussed. Participants will see the advantages and disadvantages of different resume formats, and review the basic elements of an effective resume and cover letter. ",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
02/07/2020 12:00:00 AM,9:30 am,11:00 am,Top Notch Resume - I,"The use of branding, marketing yourself, and the importance of having a competent resume is discussed. Participants will see the advantages and disadvantages of different resume formats, and review the basic elements of an effective resume and cover letter. ",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
12/20/2019 12:00:00 AM,9:30 am,11:00 am,Acing the Job Interview,"An overview of the interview process, including how to prepare for the interview; and what to expect during each phase of the interview process. Including how to follow up after the conclusion of the interview. There will also be an in-depth review of typical interview questions and answers, including the use of SOARS and other formats to develop your own answers to these questions Attendees will be given the opportunity to participate in a mock interview session.",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
11/25/2019 12:00:00 AM,9:30 am,11:00 am,Top Notch Resume - II,"Build on the topics covered in the Basic Resume workshop. In addition to the different resume formats and basic layouts, participants will see the advantages of targeting custom resumes for a specific employer, job openings and/or industry. Topics will also include how to detail accomplishments, achievements, and develop an effective summary/profile. A discussion of a using a professional cover letter and references is included as well.",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
01/13/2020 12:00:00 AM,9:30 am,11:00 am,Master the Art of Networking,"An overview of current strategies for effective networking. Topics include use of professional associations, developing an elevator speech, and how to develop your network using social media.",Sussex - Newton OSCC,Sussex,Paula Genschow,JJC Coordinator,973-383-2775,Paula.Genschow@dol.nj.gov,,,"Sussex County Mall, Route 206 North
Newton, NJ 07860-1818",,
