Date,Start Time,End Time,Event Title,Description,Location,County,Contact,Contact Title,Phone,Email,Directions,Registration Link,Location 1,Counties,Zip Codes
07/04/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Independence Day - LWD closed,ALL,ALL,,,,,,,,,
04/19/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Good Friday - LWD closed,ALL,ALL,,,,,,,,,
12/27/2018 12:00:00 AM,10.00am,11.00am,GA/SNAP Orientation,,Phillipsburg OSCC,Warren,Brad Schmitt,CWEP Coordinator,908 329 9156,JSAPhillipsburg@dol.nj.gov,,,,,
12/25/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Christmas Holiday - LWD closed,ALL,ALL,,,,,,,,,
11/22/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Thanksgiving Day - LWD closed,ALL,ALL,,,,,,,,,
11/06/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Election Day - LWD closed,ALL,ALL,,,,,,,,,
10/11/2018 12:00:00 AM,10.00am,11.00am,GA/SNAP Orientation,,Phillipsburg OSCC,Warren,Brad Schmitt,CWEP Coordinator,908 329 9156,JSAPhillipsburg@dol.nj.gov,,,,,
08/30/2018 12:00:00 AM,9.30am,10.30am,Reemployment Orientation,,Phillipsburg OSCC,Warren,Christine Widgren,Interviewer,908 329 9190,JSAPhillipsburg@dol.nj.gov,,,,,
02/19/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Presidents Day - LWD closed,ALL,ALL,,,,,,,,,
01/15/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Martin Luther King Day - LWD closed,ALL,ALL,,,,,,,,,
12/25/2019 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,Christmas Holiday - LWD closed,ALL,ALL,,,,,,,,,
01/01/2018 12:00:00 AM,1899-12-31T07:00:00.000,1899-12-31T19:00:00.000,Holiday,New Year's Day - LWD closed,ALL,ALL,,,,,,,,,
08/21/2018 12:00:00 AM,1899-12-31T10:00:00.000,1899-12-31T11:00:00.000,Jersey Job Club Online Webinar: Master the Art of Networking,Learn how to use networking to find a job. Go to the calendar section at www.warrenlib.org to access the link to register.,,Warren,Nancy,Library Associate,(908) 475-6322,npropsner@warrenlib.org,,,,,
12/13/2018 12:00:00 AM,10.00am,11.00am,GA/SNAP Orientation,,Phillipsburg OSCC,Warren,Brad Schmitt,CWEP Coordinator,908 329 9156,JSAPhillipsburg@dol.nj.gov,,,,,
