"id_number","fiscal_year","department_name","vendor_name","transaction_date","dollar_amount","authority","btrc","government_activity","fund_group_name","fund_type","fund_name","fund","account_name","account_code","transaction_id","expenditure_type","settlement_judgment","fiscal_month_number","fiscal_year_month","fiscal_year_quarter","calendar_month_number","calendar_month_year","calendar_month","data_source","authority_name","authority_link","department_number","program","vendor_id","zip","payment_method","payment_status","inv_num","invoice_due_date","invoice_discount_due_date","inv_date","inv_line","inv_dist_line","po_num","description","detailed_item_description","unit_price","unit_of_measure","quantity","sales_tax_percent","sales_tax","discount","receiver_id","po_date","po_line_number","procurement_organization","buyer_name","supplier_city","supplier_country","bu_name","site_location","item_code","item_code_name","currency","value_of_spend","vendor_num"
"4120810","2017","NEIGHBORHOOD EMPOWERMENT","MID TOWN NORTH HOLLYWOOD NC","2017-04-03T00:00:00.000","11219.55","CF160600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","MID-TOWN NORTH HOLLYWOOD NC","471058","EFT26170000007676","CONTRIBUTIONS TO OTHER AGENCIES",,"10","2017-10 (APR)","2017-04","4","APRIL,2017","APRIL","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015888",,"EFT","PAID","DEX471744B470435",,,"2017-03-30T00:00:00.000","1","1",,"MID-TOWN NORTH HOLLYWOOD NC",,,,,,,,,,"1",,,,,,,,,,,"VC0000015888 - MID TOWN NORTH HOLLYWOOD NC"
"3994592","2017","NEIGHBORHOOD EMPOWERMENT","MID TOWN NORTH HOLLYWOOD NC","2017-02-09T00:00:00.000","5000","CF160600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","MID-TOWN NORTH HOLLYWOOD NC","471058","EFT26170000006232","CONTRIBUTIONS TO OTHER AGENCIES",,"8","2017-08 (FEB)","2017-03","2","FEBRUARY,2017","FEBRUARY","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015888",,"EFT","PAID","DEX471744B470339",,,"2017-02-07T00:00:00.000","1","1",,"MID-TOWN NORTH HOLLYWOOD NC",,,,,,,,,,"1",,,,,,,,,,,"VC0000015888 - MID TOWN NORTH HOLLYWOOD NC"
"3858957","2017","NEIGHBORHOOD EMPOWERMENT","MID TOWN NORTH HOLLYWOOD NC","2016-12-30T00:00:00.000","9250","CF160600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","MID-TOWN NORTH HOLLYWOOD NC","471058","EFT26170000005050","CONTRIBUTIONS TO OTHER AGENCIES",,"6","2017-06 (DEC)","2017-02","12","DECEMBER,2016","DECEMBER","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015888",,"EFT","PAID","DEX471744B470250",,,"2016-12-28T00:00:00.000","1","1",,"MID-TOWN NORTH HOLLYWOOD NC",,,,,,,,,,"1",,,,,,,,,,,"VC0000015888 - MID TOWN NORTH HOLLYWOOD NC"
"3764875","2017","NEIGHBORHOOD EMPOWERMENT","MID TOWN NORTH HOLLYWOOD NC","2016-10-05T00:00:00.000","9250","CF160600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","MID-TOWN NORTH HOLLYWOOD NC","471058","EFT26170000002682","CONTRIBUTIONS TO OTHER AGENCIES",,"4","2017-04 (OCT)","2017-02","10","OCTOBER,2016","OCTOBER","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015888",,"EFT","PAID","DEX471744B470147",,,"2016-10-03T00:00:00.000","1","1",,"MID-TOWN NORTH HOLLYWOOD NC",,,,,,,,,,"1",,,,,,,,,,,"VC0000015888 - MID TOWN NORTH HOLLYWOOD NC"
"3717166","2017","NEIGHBORHOOD EMPOWERMENT","MID-TOWN NORTH HOLLYWOOD NC","2016-09-06T00:00:00.000","-2018.79","CF160600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","MID-TOWN NORTH HOLLYWOOD NC","471058","EFT26170000000256","CONTRIBUTIONS TO OTHER AGENCIES",,"3","2017-03 (SEP)","2017-01","9","SEPTEMBER,2016","SEPTEMBER","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015851",,"CANCELLATION","CANCELLED","DEX471744B470044",,,"2016-07-08T00:00:00.000","1","1",,"MID-TOWN NORTH HOLLYWOOD NC",,,,,,,,,,"1",,,,,,,,,,,"VC0000015851 - MID-TOWN NORTH HOLLYWOOD NC"
"3458104","2017","NEIGHBORHOOD EMPOWERMENT","MID-TOWN NORTH HOLLYWOOD NC","2016-07-08T00:00:00.000","2018.79","CF160600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","MID-TOWN NORTH HOLLYWOOD NC","471058","EFT26170000000256","CONTRIBUTIONS TO OTHER AGENCIES",,"1","2017-01 (JUL)","2017-01","7","JULY,2016","JULY","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=16-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015851",,"EFT","PAID","DEX471744B470044",,,"2016-07-08T00:00:00.000","1","1",,"MID-TOWN NORTH HOLLYWOOD NC",,,,,,,,,,"1",,,,,,,,,,,"VC0000015851 - MID-TOWN NORTH HOLLYWOOD NC"
"3407917","2016","NEIGHBORHOOD EMPOWERMENT","MID TOWN NORTH HOLLYWOOD NC","2016-06-02T00:00:00.000","10250","CF150600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","MID-TOWN NORTH HOLLYWOOD NC","471058","EFT26160000008998","CONTRIBUTIONS TO OTHER AGENCIES",,"12","2016-12 (JUN)","2016-04","6","JUNE,2016","JUNE","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=15-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015888",,"EFT","PAID","DEX471644B470478",,,"2016-06-01T00:00:00.000","1","1",,"MID-TOWN NORTH HOLLYWOOD NC",,,,,,,,,,"1",,,,,,,,,,,"VC0000015888 - MID TOWN NORTH HOLLYWOOD NC"
"3304104","2016","NEIGHBORHOOD EMPOWERMENT","MID-TOWN NORTH HOLLYWOOD NC","2016-04-18T00:00:00.000","-10250","CF150600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","MID-TOWN NORTH HOLLYWOOD NC","471058","EFT26160000007258","CONTRIBUTIONS TO OTHER AGENCIES",,"10","2016-10 (APR)","2016-04","4","APRIL,2016","APRIL","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=15-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015851",,"CANCELLATION","CANCELLED","DEX471644B470411",,,"2016-04-04T00:00:00.000","1","1",,"MID-TOWN NORTH HOLLYWOOD NC",,,,,,,,,,"1",,,,,,,,,,,"VC0000015851 - MID-TOWN NORTH HOLLYWOOD NC"
"3304103","2016","NEIGHBORHOOD EMPOWERMENT","MID-TOWN NORTH HOLLYWOOD NC","2016-04-07T00:00:00.000","10250","CF150600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","MID-TOWN NORTH HOLLYWOOD NC","471058","EFT26160000007258","CONTRIBUTIONS TO OTHER AGENCIES",,"10","2016-10 (APR)","2016-04","4","APRIL,2016","APRIL","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=15-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015851",,"EFT","PAID","DEX471644B470411",,,"2016-04-04T00:00:00.000","1","1",,"MID-TOWN NORTH HOLLYWOOD NC",,,,,,,,,,"1",,,,,,,,,,,"VC0000015851 - MID-TOWN NORTH HOLLYWOOD NC"
"2980179","2016","NEIGHBORHOOD EMPOWERMENT","MID-TOWN NORTH HOLLYWOOD NC","2015-12-31T00:00:00.000","11250","CF150600","6666666666","GENERAL GOVERNMENT","GOVERNMENTAL","GENERAL FUND","DEPT OF NEIGHBORHOOD EMPOWERE","44B","MID-TOWN NORTH HOLLYWOOD NC","471058","EFT26160000004615","CONTRIBUTIONS TO OTHER AGENCIES",,"6","2016-06 (DEC)","2016-02","12","DECEMBER,2015","DECEMBER","FMS","MULTI VENDOR","http://cityclerk.lacity.org/lacityclerkconnect/index.cfm?fa=ccfi.viewrecord&cfnumber=15-0600","47","NEIGHBORHOOD COUNCIL SYSTEM DEVELOPMENT","VC0000015851",,"EFT","PAID","DEX471644B470325",,,"2016-01-01T00:00:00.000","1","1",,"MID-TOWN NORTH HOLLYWOOD NC",,,,,,,,,,"1",,,,,,,,,,,"VC0000015851 - MID-TOWN NORTH HOLLYWOOD NC"
