"fiscal_year","department_name","vendor_name","transaction_date","dollar_amount","authority","fund_name","account_name","data_source","authority_name","zip","payment_method","po_num","description","detailed_item_description","unit_price","unit_of_measure","quantity","sales_tax_percent","sales_tax","discount","po_date","supplier_city","supplier_country","item_code_name","currency","value_of_spend"
"2016","POLICE","NEWCO DISTRIBUTORS","2015-08-10T00:00:00.000","4908.85","59380","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","SMS","NEWCO DISTRIBUTORS","91729","CHECK","1533984","FOOD, DOG, VENISON / SWEET POT","FOOD, DOG, VENISON / SWEET POTATO, 26 LB BAG, UPC# 723633420754, ITEM# 42075, ""NATURAL BALANCE"" (NEWCO# 998411","47.91","BG","94","9","405.31","90.07","2014-08-14T00:00:00.000","RANCHO CUCAMONGA","USA","MOIST FOOD FOR DOGS OR CATS","USD","4503.54"
"2016","POLICE","NEWCO DISTRIBUTORS","2015-08-10T00:00:00.000","187.92","59380","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","SMS","NEWCO DISTRIBUTORS","91729","CHECK","1533984","FOOD, DOG, FISH / SWEET POTATO","FOOD, DOG, FISH / SWEET POTATO, 26 LB BAG, UPC# 723633420372, ITEM# 42037, ""NATURAL BALANCE"" (NEWCO# 998408","43.1","BG","4","9","15.52","3.45","2014-08-14T00:00:00.000","RANCHO CUCAMONGA","USA","MOIST FOOD FOR DOGS OR CATS","USD","172.4"
"2016","POLICE","NEWCO DISTRIBUTORS","2015-10-02T00:00:00.000","2088.88","59380","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","SMS","NEWCO DISTRIBUTORS","91729","CHECK","0001643820","FOOD, DOG, VENISON / SWEET POT","FOOD, DOG, VENISON / SWEET POTATO, 28 LB BAG, UPC# 723633886284, ""NATURAL BALANCE"" (ITEM# 42888; NEWCO# 7752","51.6","BG","40","9","172.48","38.33","2015-08-27T00:00:00.000","RANCHO CUCAMONGA","USA","MOIST FOOD FOR DOGS OR CATS","USD","2064"
"2016","POLICE","NEWCO DISTRIBUTORS","2015-11-25T00:00:00.000","521.09","59380","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","SMS","NEWCO DISTRIBUTORS","91729","CHECK","0001663693","PUPPY, DOG FOOD, NATURAL BALAN","PUPPY, DOG FOOD, NATURAL BALANCE, WHOLE BODY HEALTH, CHICKEN, BRN RICE AND DUCK - FOOD, DOG, VENISON / SWEET POTATO, 28 LB BAG, UPC# 723633886284, ""NATURAL BALANCE"" (ITEM# 42888; NEWCO# 7752","51.6","BG","10","9","43.83","9.74","2015-11-03T00:00:00.000","RANCHO CUCAMONGA","USA","MOIST FOOD FOR DOGS OR CATS","USD","516"
"2016","POLICE","NEWCO DISTRIBUTORS","2015-11-17T00:00:00.000","4921.31","59380","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","SMS","NEWCO DISTRIBUTORS","91729","CHECK","0001635503","FOOD, DOG, VENISON / SWEET POT","FOOD, DOG, VENISON / SWEET POTATO, 26 LB BAG, UPC# 723633420754, ITEM# 42075, ""NATURAL BALANCE"" (NEWCO# 998411","47.91","BG","96","9","413.94","91.99","2015-07-30T00:00:00.000","RANCHO CUCAMONGA","USA","MOIST FOOD FOR DOGS OR CATS","USD","4599.36"
"2016","POLICE","NEWCO DISTRIBUTORS","2015-10-27T00:00:00.000","428","59380","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","SMS","NEWCO DISTRIBUTORS","91729","CHECK","0001653724","FOOD, DRY DOG, ALS, 44 LB BAG","FOOD, DRY DOG, ALS, 44 LB BAG, ITEM# 1044, ""CANIDAE","40","BG","10","9","36","8","2015-09-30T00:00:00.000","RANCHO CUCAMONGA","USA","ANIMAL FEED","USD","400"
"2015","POLICE","NEWCO DISTRIBUTORS","2015-05-18T00:00:00.000","2768.24","59380","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","SMS","NEWCO DISTRIBUTORS","91729","CHECK","0001604942","FOOD, DOG, VENISON / SWEET POT","FOOD, DOG, VENISON / SWEET POTATO, 26 LB BAG, UPC# 723633420754, ITEM# 42075, ""NATURAL BALANCE"" (NEWCO# 998411","47.91","BG","54","9","232.84","51.74","2015-04-23T00:00:00.000","RANCHO CUCAMONGA","USA","MOIST FOOD FOR DOGS OR CATS","USD","2587.14"
"2016","POLICE","NEWCO DISTRIBUTORS","2016-03-21T00:00:00.000","3133.31","59380","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","SMS","NEWCO DISTRIBUTORS","91729","CHECK","0001685145","FOOD, DOG, VENISON / SWEET POT","FOOD, DOG, VENISON / SWEET POTATO, 28 LB BAG, UPC# 723633886284, ""NATURAL BALANCE"" (ITEM# 42888; NEWCO# 7752","51.6","BG","60","9","258.71","0","2016-01-21T00:00:00.000","RANCHO CUCAMONGA","USA","MOIST FOOD FOR DOGS OR CATS","USD","3096"
"2017","POLICE","NEWCO DISTRIBUTORS","2016-10-11T00:00:00.000","5741.53","59380","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","SMS","NEWCO DISTRIBUTORS","91729","CHECK","0001739479","FOOD, DOG, VENISON / SWEET POT","FOOD, DOG, VENISON / SWEET POTATO, 26 LB BAG, UPC# 723633420754, ITEM# 42075, ""NATURAL BALANCE"" (NEWCO# 998411","47.91","BG","112","9","482.93","107.32","2016-07-15T00:00:00.000","RANCHO CUCAMONGA","USA","MOIST FOOD FOR DOGS OR CATS","USD","5365.92"
"2017","POLICE","NEWCO DISTRIBUTORS","2017-02-27T00:00:00.000","4909.81","59380","GENERAL FUND (GENERAL BUDGET)","OPERATING SUPPLIES","SMS","NEWCO DISTRIBUTORS","91729","CHECK","0001739483","FOOD, DOG, VENISON / SWEET POT","FOOD, DOG, VENISON / SWEET POTATO, 26 LB BAG, UPC# 723633420754, ITEM# 42075, ""NATURAL BALANCE"" (NEWCO# 998411","47.91","BG","96","8.75","402.44","91.99","2016-07-15T00:00:00.000","RANCHO CUCAMONGA","USA","MOIST FOOD FOR DOGS OR CATS","USD","4599.36"
